customer_id,contract_type,tenure_months,monthly_charge,support_tickets,internet_type,paperless_billing,auto_payment,churned
CU-10047,1 ปี,67,1146.87,0,ADSL,ไม่,ใช่,0
CU-10048,1 ปี,44,588.16,1,ADSL,ใช่,ใช่,0
CU-10049,1 ปี,63,1085.21,1,ไฟเบอร์,ใช่,ใช่,0
CU-10050,รายเดือน,61,700.66,1,ADSL,ใช่,ใช่,0
CU-10051,2 ปี,32,968.10,2,ไฟเบอร์,ใช่,ใช่,0
CU-10052,1 ปี,68,329.28,0,ไฟเบอร์,ใช่,ใช่,0
CU-10053,2 ปี,64,1179.88,4,ADSL,ไม่,ไม่,0
CU-10054,รายเดือน,29,953.86,4,ไฟเบอร์,ไม่,ไม่,1
CU-10055,1 ปี,31,1235.23,2,ADSL,ไม่,ไม่,0
CU-10056,รายเดือน,36,751.24,0,ADSL,ใช่,ไม่,1
CU-10057,1 ปี,14,415.77,1,ADSL,ใช่,ใช่,0
CU-10058,รายเดือน,16,1562.05,1,ไฟเบอร์,ใช่,ใช่,1
CU-10059,รายเดือน,50,1025.56,2,ไฟเบอร์,ไม่,ใช่,1
CU-10060,2 ปี,2,476.46,5,ไฟเบอร์,ใช่,ใช่,0
CU-10061,1 ปี,3,797.44,0,ADSL,ใช่,ไม่,0
CU-10062,1 ปี,69,1129.80,1,ไฟเบอร์,ไม่,ใช่,0
CU-10063,รายเดือน,20,1351.09,3,ไฟเบอร์,ใช่,ไม่,1
CU-10064,1 ปี,27,369.14,1,ADSL,ใช่,ไม่,0
CU-10065,2 ปี,72,830.00,1,ไฟเบอร์,ไม่,ไม่,0
CU-10066,รายเดือน,36,905.33,0,ไฟเบอร์,ใช่,ไม่,1
CU-10067,รายเดือน,51,1521.73,0,ADSL,ใช่,ไม่,1
CU-10068,รายเดือน,15,1052.91,1,ADSL,ไม่,ใช่,1
CU-10069,2 ปี,60,1571.13,1,ADSL,ใช่,ใช่,0
CU-10070,รายเดือน,40,1271.29,1,ADSL,ไม่,ใช่,0
CU-10071,1 ปี,63,1244.01,3,ADSL,ใช่,ใช่,0
CU-10072,2 ปี,27,592.75,0,ADSL,ไม่,ไม่,0
CU-10073,รายเดือน,68,412.45,0,ADSL,ใช่,ใช่,0
CU-10074,2 ปี,4,814.29,1,ไฟเบอร์,ใช่,ไม่,0
CU-10075,2 ปี,5,714.34,0,ADSL,ใช่,ใช่,1
CU-10076,2 ปี,1,1088.35,0,ADSL,ไม่,ใช่,0
CU-10077,รายเดือน,19,1038.50,3,ADSL,ไม่,ใช่,1
CU-10078,2 ปี,36,1517.21,3,ไฟเบอร์,ใช่,ใช่,1
CU-10079,รายเดือน,62,542.96,0,ADSL,ใช่,ใช่,0
CU-10080,2 ปี,42,821.98,1,ADSL,ใช่,ใช่,0
CU-10081,รายเดือน,26,1109.30,0,ADSL,ไม่,ไม่,1
CU-10082,รายเดือน,63,1271.54,0,ADSL,ใช่,ไม่,1
CU-10083,รายเดือน,32,1106.28,0,ADSL,ใช่,ใช่,0
CU-10084,2 ปี,12,1149.95,3,ไฟเบอร์,ใช่,ไม่,0
CU-10085,รายเดือน,62,1071.30,5,ADSL,ไม่,ใช่,1
CU-10086,2 ปี,30,806.85,0,ADSL,ใช่,ไม่,0
CU-10087,รายเดือน,22,616.00,0,ไฟเบอร์,ไม่,ใช่,1
CU-10088,รายเดือน,72,1022.70,0,ADSL,ใช่,ไม่,0
CU-10089,รายเดือน,39,1217.57,2,ADSL,ใช่,ใช่,0
CU-10090,รายเดือน,54,779.50,5,ไฟเบอร์,ไม่,ใช่,1
CU-10091,2 ปี,22,514.47,2,ไฟเบอร์,ใช่,ใช่,0
CU-10092,1 ปี,32,625.95,3,ADSL,ไม่,ใช่,0
CU-10093,2 ปี,69,1113.51,1,ไฟเบอร์,ใช่,ใช่,0
CU-10094,1 ปี,5,346.04,0,ADSL,ใช่,ไม่,1
CU-10095,รายเดือน,18,375.97,2,ADSL,ใช่,ไม่,1
CU-10096,รายเดือน,69,864.90,3,ไฟเบอร์,ใช่,ใช่,1
CU-10097,รายเดือน,24,1389.07,2,ไฟเบอร์,ใช่,ไม่,1
CU-10098,รายเดือน,46,983.70,0,ADSL,ใช่,ไม่,0
CU-10099,รายเดือน,36,1075.19,1,ไฟเบอร์,ใช่,ไม่,1
CU-10100,รายเดือน,37,1525.25,2,ไฟเบอร์,ไม่,ใช่,1
CU-10101,รายเดือน,20,1198.43,0,ADSL,ใช่,ไม่,1
CU-10102,รายเดือน,21,1182.01,0,ADSL,ใช่,ไม่,1
CU-10103,รายเดือน,7,1324.96,2,ไฟเบอร์,ใช่,ใช่,0
CU-10104,1 ปี,60,501.62,2,ADSL,ไม่,ไม่,0
CU-10105,รายเดือน,38,1518.27,0,ADSL,ใช่,ไม่,1
CU-10106,2 ปี,12,921.53,0,ADSL,ใช่,ใช่,0
CU-10107,รายเดือน,39,620.33,2,ไฟเบอร์,ไม่,ใช่,0
CU-10108,2 ปี,16,824.44,0,ไฟเบอร์,ใช่,ใช่,0
CU-10109,1 ปี,65,1320.19,1,ADSL,ใช่,ไม่,0
CU-10110,1 ปี,32,1197.88,1,ไฟเบอร์,ไม่,ไม่,0
CU-10111,รายเดือน,60,936.25,1,ADSL,ใช่,ใช่,0
CU-10112,รายเดือน,61,1360.81,1,ไฟเบอร์,ใช่,ไม่,0
CU-10113,รายเดือน,66,1172.98,1,ADSL,ไม่,ไม่,0
CU-10114,รายเดือน,16,1176.27,2,ADSL,ใช่,ใช่,1
CU-10115,รายเดือน,14,803.59,1,ADSL,ใช่,ไม่,0
CU-10116,รายเดือน,55,1480.91,1,ADSL,ไม่,ใช่,1
CU-10117,รายเดือน,59,787.41,1,ไฟเบอร์,ใช่,ใช่,1
CU-10118,รายเดือน,42,907.37,0,ไฟเบอร์,ใช่,ไม่,0
CU-10119,รายเดือน,6,644.75,1,ไฟเบอร์,ไม่,ไม่,1
CU-10120,2 ปี,11,607.97,0,ADSL,ใช่,ใช่,0
CU-10121,1 ปี,43,904.23,0,ไฟเบอร์,ไม่,ใช่,0
CU-10122,1 ปี,65,977.27,3,ไฟเบอร์,ไม่,ใช่,0
CU-10123,รายเดือน,32,404.18,0,ADSL,ไม่,ไม่,0
CU-10124,รายเดือน,71,1059.97,3,ADSL,ไม่,ใช่,0
CU-10125,2 ปี,43,469.73,1,ADSL,ไม่,ไม่,0
CU-10126,2 ปี,48,909.71,1,ไฟเบอร์,ไม่,ใช่,0
CU-10127,รายเดือน,54,947.72,1,ไฟเบอร์,ไม่,ใช่,1
CU-10128,รายเดือน,31,309.67,3,ADSL,ใช่,ไม่,1
CU-10129,รายเดือน,58,466.25,3,ADSL,ใช่,ใช่,0
CU-10130,2 ปี,47,1445.16,3,ไฟเบอร์,ใช่,ไม่,0
CU-10131,1 ปี,47,1492.66,1,ไฟเบอร์,ใช่,ใช่,1
CU-10132,1 ปี,71,955.67,0,ADSL,ใช่,ใช่,0
CU-10133,2 ปี,15,1481.95,1,ไฟเบอร์,ใช่,ไม่,0
CU-10134,รายเดือน,40,1446.74,1,ADSL,ใช่,ใช่,0
CU-10135,รายเดือน,70,701.38,0,ADSL,ใช่,ใช่,0
CU-10136,รายเดือน,54,333.50,0,ไฟเบอร์,ไม่,ไม่,1
CU-10137,2 ปี,4,1345.60,2,ADSL,ไม่,ไม่,1
CU-10138,รายเดือน,44,480.03,2,ไฟเบอร์,ใช่,ใช่,0
CU-10139,รายเดือน,43,643.35,1,ADSL,ใช่,ใช่,1
CU-10140,2 ปี,64,1424.70,0,ADSL,ใช่,ไม่,0
CU-10141,รายเดือน,48,1223.32,0,ไฟเบอร์,ไม่,ไม่,0
CU-10142,1 ปี,32,865.94,4,ไฟเบอร์,ไม่,ใช่,0
CU-10143,รายเดือน,40,951.02,3,ไฟเบอร์,ใช่,ใช่,1
CU-10144,1 ปี,18,523.77,1,ADSL,ใช่,ไม่,0
CU-10145,2 ปี,33,1468.23,4,ไฟเบอร์,ใช่,ใช่,0
CU-10146,1 ปี,15,1002.19,2,ไฟเบอร์,ใช่,ไม่,1
CU-10147,1 ปี,36,317.78,1,ADSL,ใช่,ใช่,0
CU-10148,2 ปี,57,731.12,0,ไฟเบอร์,ใช่,ใช่,0
CU-10149,รายเดือน,50,958.71,1,ADSL,ใช่,ใช่,0
CU-10150,รายเดือน,7,1323.30,2,ไฟเบอร์,ใช่,ใช่,1
CU-10151,2 ปี,55,1100.33,2,ไฟเบอร์,ไม่,ใช่,0
CU-10152,รายเดือน,1,804.74,3,ADSL,ไม่,ไม่,1
CU-10153,รายเดือน,50,1152.40,0,ไฟเบอร์,ใช่,ไม่,1
CU-10154,1 ปี,50,1151.86,2,ADSL,ใช่,ไม่,0
CU-10155,รายเดือน,19,447.38,0,ADSL,ใช่,ใช่,0
CU-10156,2 ปี,17,1495.87,5,ไฟเบอร์,ใช่,ไม่,0
CU-10157,2 ปี,30,698.93,0,ไฟเบอร์,ใช่,ใช่,0
CU-10158,2 ปี,5,617.63,0,ไฟเบอร์,ใช่,ใช่,0
CU-10159,1 ปี,23,1108.31,0,ADSL,ใช่,ใช่,0
CU-10160,2 ปี,62,1451.99,1,ADSL,ใช่,ไม่,0
CU-10161,1 ปี,56,1109.68,5,ADSL,ใช่,ใช่,0
CU-10162,2 ปี,60,778.36,0,ไฟเบอร์,ไม่,ใช่,0
CU-10163,รายเดือน,60,594.37,3,ไฟเบอร์,ไม่,ใช่,0
CU-10164,รายเดือน,61,482.12,1,ADSL,ไม่,ไม่,0
CU-10165,รายเดือน,19,1493.45,1,ADSL,ใช่,ใช่,0
CU-10166,2 ปี,34,1040.38,3,ADSL,ใช่,ไม่,0
CU-10167,รายเดือน,42,1169.14,0,ADSL,ไม่,ใช่,0
CU-10168,1 ปี,34,1118.70,3,ไฟเบอร์,ใช่,ใช่,0
CU-10169,รายเดือน,19,1355.15,3,ADSL,ใช่,ใช่,1
CU-10170,2 ปี,2,1261.47,0,ADSL,ไม่,ใช่,0
CU-10171,1 ปี,52,1209.19,2,ไฟเบอร์,ใช่,ใช่,1
CU-10172,รายเดือน,57,1136.19,1,ADSL,ไม่,ไม่,0
CU-10173,รายเดือน,18,717.22,0,ไฟเบอร์,ใช่,ไม่,1
CU-10174,รายเดือน,6,983.24,3,ADSL,ใช่,ใช่,1
CU-10175,รายเดือน,37,306.64,1,ไฟเบอร์,ไม่,ใช่,0
CU-10176,รายเดือน,43,969.59,0,ไฟเบอร์,ไม่,ใช่,1
CU-10177,1 ปี,68,798.65,0,ไฟเบอร์,ไม่,ใช่,0
CU-10178,รายเดือน,53,933.63,3,ADSL,ไม่,ใช่,0
CU-10179,รายเดือน,5,1495.30,0,ไฟเบอร์,ใช่,ไม่,1
CU-10180,รายเดือน,34,545.28,0,ADSL,ใช่,ไม่,0
CU-10181,รายเดือน,12,1004.29,0,ADSL,ไม่,ใช่,0
CU-10182,2 ปี,22,670.68,3,ADSL,ใช่,ไม่,0
CU-10183,รายเดือน,51,787.92,1,ไฟเบอร์,ใช่,ไม่,1
CU-10184,2 ปี,19,1399.96,1,ไฟเบอร์,ใช่,ใช่,0
CU-10185,รายเดือน,37,1568.28,2,ADSL,ไม่,ใช่,0
CU-10186,1 ปี,43,1152.12,0,ADSL,ไม่,ไม่,0
CU-10187,1 ปี,2,744.50,1,ADSL,ใช่,ใช่,0
CU-10188,รายเดือน,28,1091.56,2,ไฟเบอร์,ไม่,ใช่,1
CU-10189,รายเดือน,9,1185.10,3,ADSL,ไม่,ใช่,0
CU-10190,1 ปี,31,398.39,0,ไฟเบอร์,ไม่,ใช่,0
CU-10191,2 ปี,21,487.78,0,ไฟเบอร์,ใช่,ไม่,0
CU-10192,รายเดือน,44,1275.43,0,ADSL,ใช่,ไม่,0
CU-10193,1 ปี,39,432.30,1,ไฟเบอร์,ใช่,ไม่,0
CU-10194,รายเดือน,57,1162.15,2,ไฟเบอร์,ใช่,ไม่,1
CU-10195,รายเดือน,63,307.87,2,ADSL,ใช่,ใช่,0
CU-10196,1 ปี,35,994.79,4,ADSL,ใช่,ใช่,0
CU-10197,1 ปี,29,1577.66,1,ADSL,ไม่,ใช่,0
CU-10198,1 ปี,11,1337.41,3,ไฟเบอร์,ใช่,ไม่,1
CU-10199,รายเดือน,44,661.04,1,ไฟเบอร์,ไม่,ไม่,0
CU-10200,1 ปี,26,1342.57,1,ADSL,ไม่,ไม่,1
CU-10201,รายเดือน,44,1395.70,4,ADSL,ใช่,ไม่,1
CU-10202,รายเดือน,40,1249.71,0,ไฟเบอร์,ไม่,ใช่,1
CU-10203,รายเดือน,55,1083.34,3,ADSL,ไม่,ใช่,0
CU-10204,1 ปี,62,812.81,0,ADSL,ใช่,ใช่,0
CU-10205,2 ปี,32,1418.07,0,ADSL,ไม่,ไม่,0
CU-10206,รายเดือน,6,329.55,4,ADSL,ไม่,ใช่,0
CU-10207,1 ปี,17,1307.95,0,ไฟเบอร์,ใช่,ใช่,0
CU-10208,1 ปี,47,376.48,0,ไฟเบอร์,ใช่,ใช่,0
CU-10209,รายเดือน,59,804.39,0,ADSL,ไม่,ไม่,0
CU-10210,รายเดือน,51,379.52,1,ไฟเบอร์,ใช่,ใช่,0
CU-10211,รายเดือน,7,1066.80,0,ADSL,ใช่,ไม่,1
CU-10212,2 ปี,20,1437.68,5,ADSL,ใช่,ใช่,0
CU-10213,1 ปี,70,1048.08,1,ไฟเบอร์,ไม่,ไม่,0
CU-10214,รายเดือน,28,947.65,1,ไฟเบอร์,ไม่,ใช่,1
CU-10215,1 ปี,65,840.88,0,ADSL,ไม่,ใช่,0
CU-10216,1 ปี,48,1511.33,1,ไฟเบอร์,ใช่,ใช่,0
CU-10217,2 ปี,5,661.54,3,ไฟเบอร์,ใช่,ใช่,0
CU-10218,1 ปี,21,786.14,0,ไฟเบอร์,ไม่,ไม่,1
CU-10219,รายเดือน,2,697.66,0,ไฟเบอร์,ใช่,ใช่,0
CU-10220,1 ปี,11,1398.16,2,ไฟเบอร์,ใช่,ไม่,0
CU-10221,รายเดือน,39,849.41,1,ไฟเบอร์,ใช่,ใช่,0
CU-10222,2 ปี,33,649.74,0,ADSL,ไม่,ใช่,0
CU-10223,รายเดือน,30,679.49,5,ADSL,ใช่,ใช่,1
CU-10224,รายเดือน,49,1588.25,3,ADSL,ไม่,ไม่,0
CU-10225,รายเดือน,23,1300.78,2,ไฟเบอร์,ไม่,ไม่,0
CU-10226,1 ปี,55,1260.10,1,ไฟเบอร์,ไม่,ไม่,0
CU-10227,2 ปี,31,810.59,3,ไฟเบอร์,ใช่,ไม่,1
CU-10228,รายเดือน,37,918.90,5,ADSL,ไม่,ใช่,0
CU-10229,2 ปี,53,470.60,1,ไฟเบอร์,ไม่,ไม่,0
CU-10230,1 ปี,6,1405.08,1,ADSL,ใช่,ใช่,1
CU-10231,รายเดือน,58,749.68,0,ไฟเบอร์,ใช่,ใช่,0
CU-10232,รายเดือน,25,1435.92,0,ไฟเบอร์,ใช่,ไม่,1
CU-10233,รายเดือน,36,1442.97,0,ADSL,ใช่,ไม่,1
CU-10234,รายเดือน,58,891.01,0,ADSL,ไม่,ไม่,1
CU-10235,รายเดือน,35,598.88,0,ไฟเบอร์,ไม่,ไม่,0
CU-10236,2 ปี,38,1160.35,0,ADSL,ใช่,ไม่,0
CU-10237,1 ปี,23,1487.57,0,ไฟเบอร์,ไม่,ไม่,0
CU-10238,2 ปี,22,934.06,4,ไฟเบอร์,ไม่,ไม่,0
CU-10239,1 ปี,48,913.27,3,ADSL,ใช่,ใช่,0
CU-10240,รายเดือน,38,1515.99,3,ไฟเบอร์,ใช่,ใช่,0
CU-10241,รายเดือน,6,974.00,1,ADSL,ใช่,ใช่,1
CU-10242,1 ปี,50,1278.97,4,ADSL,ใช่,ไม่,0
CU-10243,รายเดือน,67,473.19,1,ไฟเบอร์,ใช่,ใช่,0
CU-10244,2 ปี,66,1094.78,0,ADSL,ใช่,ใช่,0
CU-10245,รายเดือน,54,307.33,1,ไฟเบอร์,ใช่,ใช่,1
CU-10246,รายเดือน,71,1348.46,1,ไฟเบอร์,ไม่,ใช่,0
CU-10247,รายเดือน,54,1256.41,2,ไฟเบอร์,ใช่,ไม่,1
CU-10248,รายเดือน,57,1531.51,0,ADSL,ไม่,ใช่,0
CU-10249,1 ปี,62,302.50,4,ADSL,ใช่,ใช่,0
CU-10250,1 ปี,67,1312.77,1,ไฟเบอร์,ใช่,ไม่,0
CU-10251,1 ปี,18,573.99,0,ADSL,ใช่,ใช่,0
CU-10252,รายเดือน,1,386.15,0,ไฟเบอร์,ใช่,ใช่,1
CU-10253,1 ปี,3,878.74,0,ADSL,ใช่,ไม่,0
CU-10254,รายเดือน,34,515.80,1,ไฟเบอร์,ใช่,ใช่,0
CU-10255,1 ปี,43,1403.65,1,ADSL,ใช่,ใช่,0
CU-10256,2 ปี,18,1185.10,3,ไฟเบอร์,ไม่,ไม่,0
CU-10257,รายเดือน,39,584.28,0,ADSL,ใช่,ใช่,0
CU-10258,1 ปี,71,1313.84,2,ไฟเบอร์,ใช่,ไม่,0
CU-10259,1 ปี,69,833.78,0,ไฟเบอร์,ไม่,ไม่,0
CU-10260,รายเดือน,69,857.78,0,ไฟเบอร์,ไม่,ไม่,1
CU-10261,1 ปี,67,936.82,1,ADSL,ใช่,ใช่,0
CU-10262,รายเดือน,5,858.88,0,ไฟเบอร์,ใช่,ใช่,0
CU-10263,รายเดือน,47,302.92,0,ADSL,ใช่,ใช่,0
CU-10264,1 ปี,36,901.37,0,ADSL,ไม่,ไม่,0
CU-10265,1 ปี,18,1178.04,2,ไฟเบอร์,ไม่,ไม่,0
CU-10266,1 ปี,52,758.09,0,ADSL,ไม่,ใช่,0
CU-10267,1 ปี,57,738.68,0,ADSL,ไม่,ใช่,0
CU-10268,รายเดือน,29,684.50,4,ADSL,ไม่,ไม่,1
CU-10269,1 ปี,1,327.23,0,ไฟเบอร์,ไม่,ใช่,0
CU-10270,2 ปี,26,497.73,0,ไฟเบอร์,ไม่,ไม่,0
CU-10271,1 ปี,63,1465.82,2,ADSL,ไม่,ใช่,0
CU-10272,รายเดือน,61,1252.15,0,ADSL,ใช่,ใช่,1
CU-10273,1 ปี,43,600.76,4,ไฟเบอร์,ไม่,ไม่,0
CU-10274,รายเดือน,1,531.46,4,ไฟเบอร์,ใช่,ใช่,1
CU-10275,รายเดือน,72,1514.33,0,ADSL,ไม่,ใช่,0
CU-10276,รายเดือน,17,1569.69,4,ไฟเบอร์,ไม่,ไม่,1
CU-10277,2 ปี,6,493.55,1,ไฟเบอร์,ใช่,ไม่,0
CU-10278,รายเดือน,60,578.12,4,ไฟเบอร์,ไม่,ใช่,1
CU-10279,1 ปี,51,429.69,0,ADSL,ไม่,ใช่,0
CU-10280,รายเดือน,38,785.53,0,ไฟเบอร์,ไม่,ใช่,1
CU-10281,รายเดือน,2,833.00,2,ไฟเบอร์,ใช่,ไม่,1
CU-10282,รายเดือน,9,653.64,1,ไฟเบอร์,ใช่,ใช่,0
CU-10283,รายเดือน,65,594.47,0,ADSL,ใช่,ไม่,1
CU-10284,2 ปี,55,308.86,2,ไฟเบอร์,ไม่,ไม่,0
CU-10285,1 ปี,43,951.36,0,ADSL,ใช่,ใช่,0
CU-10286,รายเดือน,4,967.76,1,ADSL,ไม่,ไม่,0
CU-10287,รายเดือน,11,1295.94,3,ไฟเบอร์,ไม่,ไม่,1
CU-10288,2 ปี,26,1493.19,2,ไฟเบอร์,ใช่,ไม่,1
CU-10289,2 ปี,38,553.07,1,ไฟเบอร์,ไม่,ใช่,1
CU-10290,รายเดือน,54,1510.32,1,ไฟเบอร์,ใช่,ใช่,1
CU-10291,รายเดือน,1,312.43,3,ADSL,ไม่,ไม่,0
CU-10292,รายเดือน,21,602.81,2,ADSL,ใช่,ไม่,1
CU-10293,1 ปี,5,451.17,0,ไฟเบอร์,ใช่,ไม่,0
CU-10294,1 ปี,17,958.81,5,ไฟเบอร์,ไม่,ไม่,1
CU-10295,1 ปี,55,805.06,1,ADSL,ใช่,ใช่,0
CU-10296,รายเดือน,42,914.54,2,ไฟเบอร์,ไม่,ไม่,0
CU-10297,1 ปี,15,565.83,0,ไฟเบอร์,ไม่,ใช่,0
CU-10298,รายเดือน,71,710.79,1,ADSL,ใช่,ไม่,1
CU-10299,2 ปี,27,1419.87,3,ไฟเบอร์,ไม่,ใช่,0
CU-10300,2 ปี,44,363.89,0,ไฟเบอร์,ใช่,ใช่,0
CU-10301,2 ปี,55,958.44,0,ไฟเบอร์,ใช่,ใช่,0
CU-10302,รายเดือน,71,563.59,2,ADSL,ไม่,ใช่,0
CU-10303,รายเดือน,32,964.63,2,ADSL,ใช่,ใช่,1
CU-10304,1 ปี,38,355.76,1,ADSL,ไม่,ไม่,0
CU-10305,1 ปี,60,424.84,0,ADSL,ใช่,ใช่,0
CU-10306,2 ปี,61,1255.12,1,ไฟเบอร์,ไม่,ใช่,0
CU-10307,2 ปี,8,1090.93,0,ADSL,ใช่,ใช่,1
CU-10308,รายเดือน,56,1422.58,2,ไฟเบอร์,ไม่,ไม่,0
CU-10309,2 ปี,47,1074.83,2,ADSL,ไม่,ไม่,0
CU-10310,1 ปี,36,1588.20,2,ADSL,ใช่,ใช่,0
CU-10311,2 ปี,36,1111.47,2,ไฟเบอร์,ใช่,ใช่,0
CU-10312,1 ปี,41,1086.01,1,ไฟเบอร์,ไม่,ใช่,0
CU-10313,รายเดือน,62,691.74,1,ADSL,ใช่,ใช่,0
CU-10314,รายเดือน,43,1453.94,0,ไฟเบอร์,ใช่,ไม่,0
CU-10315,2 ปี,59,466.75,1,ADSL,ใช่,ใช่,0
CU-10316,รายเดือน,26,664.74,3,ไฟเบอร์,ใช่,ใช่,1
CU-10317,รายเดือน,20,1573.15,1,ADSL,ใช่,ไม่,0
CU-10318,รายเดือน,15,1462.24,5,ADSL,ใช่,ใช่,1
CU-10319,2 ปี,64,1284.54,1,ADSL,ใช่,ไม่,0
CU-10320,รายเดือน,1,735.29,2,ADSL,ไม่,ใช่,1
CU-10321,รายเดือน,5,946.01,0,ไฟเบอร์,ใช่,ไม่,1
CU-10322,รายเดือน,38,696.96,1,ไฟเบอร์,ไม่,ไม่,1
CU-10323,รายเดือน,32,374.23,2,ADSL,ใช่,ไม่,0
CU-10324,รายเดือน,59,1131.61,0,ADSL,ไม่,ไม่,1
CU-10325,รายเดือน,27,1578.58,3,ADSL,ไม่,ไม่,0
CU-10326,รายเดือน,12,556.62,0,ADSL,ใช่,ใช่,1
CU-10327,รายเดือน,19,310.26,3,ADSL,ใช่,ใช่,0
CU-10328,รายเดือน,6,1226.86,2,ไฟเบอร์,ไม่,ใช่,1
CU-10329,รายเดือน,68,1496.65,0,ไฟเบอร์,ไม่,ไม่,1
CU-10330,รายเดือน,63,1444.36,1,ADSL,ไม่,ใช่,0
CU-10331,2 ปี,64,1269.24,0,ไฟเบอร์,ไม่,ใช่,0
CU-10332,2 ปี,54,1075.09,2,ADSL,ไม่,ไม่,0
CU-10333,รายเดือน,52,1538.22,2,ADSL,ไม่,ไม่,0
CU-10334,รายเดือน,15,617.56,0,ADSL,ไม่,ไม่,1
CU-10335,2 ปี,29,622.76,2,ไฟเบอร์,ใช่,ใช่,0
CU-10336,รายเดือน,24,515.46,1,ไฟเบอร์,ไม่,ไม่,1
CU-10337,รายเดือน,6,1226.59,1,ไฟเบอร์,ใช่,ใช่,0
CU-10338,1 ปี,24,1455.77,0,ADSL,ใช่,ใช่,0
CU-10339,รายเดือน,47,916.47,5,ไฟเบอร์,ใช่,ไม่,1
CU-10340,รายเดือน,68,557.40,1,ไฟเบอร์,ไม่,ใช่,0
CU-10341,2 ปี,53,1502.57,2,ADSL,ไม่,ไม่,0
CU-10342,2 ปี,14,361.56,0,ADSL,ใช่,ไม่,0
CU-10343,รายเดือน,28,563.15,2,ไฟเบอร์,ใช่,ใช่,1
