loan_id,application_date,income_at_application,debt_ratio_at_application,credit_history_months_at_application,age_at_application,prev_loans_at_application,loan_amount_at_application,occupation_at_application,collection_calls,account_status,days_since_last_payment,defaulted
L-23350,2023-01-06,48812.16,0.254,47,64,5,300000.00,พนักงานประจำ,1,ปิดบัญชีแล้ว,10,0
L-23805,2023-01-06,40479.39,0.247,30,61,0,500000.00,อาชีพอิสระ,0,ปกติ,12,0
L-24326,2023-01-06,36569.42,0.449,62,61,0,50000.00,พนักงานประจำ,0,ปิดบัญชีแล้ว,5,0
L-24766,2023-01-06,37878.15,0.386,53,64,0,200000.00,พนักงานประจำ,1,ปิดบัญชีแล้ว,22,0
L-25643,2023-01-06,9000.00,0.02,30,59,3,500000.00,ธุรกิจส่วนตัว,2,ปกติ,7,0
L-26114,2023-01-06,21934.51,0.493,38,48,3,50000.00,อาชีพอิสระ,0,ปกติ,29,0
L-27994,2023-01-06,23574.27,0.515,145,42,5,150000.00,ข้าราชการ,0,ปกติ,11,0
L-28575,2023-01-06,62994.12,0.385,51,32,3,300000.00,พนักงานประจำ,1,ปกติ,18,0
L-28600,2023-01-06,13086.69,0.581,58,38,1,500000.00,พนักงานประจำ,0,ปกติ,4,0
L-29379,2023-01-06,35539.37,0.246,91,27,3,100000.00,ข้าราชการ,2,ปกติ,26,0
L-29839,2023-01-06,42647.29,0.361,143,45,2,500000.00,อาชีพอิสระ,2,ปิดบัญชีแล้ว,5,0
L-31676,2023-01-06,25272.32,0.484,188,44,2,150000.00,ธุรกิจส่วนตัว,3,ค้างชำระ,129,1
L-20340,2023-01-07,15954.16,0.414,83,23,0,50000.00,ข้าราชการ,2,ปกติ,5,0
L-21726,2023-01-07,13834.50,0.366,237,41,6,300000.00,พนักงานประจำ,0,ปิดบัญชีแล้ว,27,0
L-22482,2023-01-07,69057.71,0.35,76,57,2,50000.00,ธุรกิจส่วนตัว,2,ปกติ,22,0
L-23053,2023-01-07,23632.61,0.543,77,52,3,300000.00,ธุรกิจส่วนตัว,1,ปกติ,17,0
L-23216,2023-01-07,11155.90,0.422,84,56,1,300000.00,พนักงานประจำ,0,ปิดบัญชีแล้ว,12,0
L-23463,2023-01-07,26668.96,0.02,40,31,2,100000.00,พนักงานประจำ,2,ปิดบัญชีแล้ว,6,0
L-23705,2023-01-07,31631.34,0.558,226,39,3,50000.00,ธุรกิจส่วนตัว,2,ปกติ,22,0
L-24480,2023-01-07,9000.00,0.566,1,43,5,200000.00,ธุรกิจส่วนตัว,2,ปกติ,25,0
L-25112,2023-01-07,24239.37,0.25,79,52,4,200000.00,ข้าราชการ,2,ปิดบัญชีแล้ว,19,0
L-25131,2023-01-07,40627.94,0.192,166,65,5,200000.00,พนักงานประจำ,1,ปกติ,15,0
L-25158,2023-01-07,23556.14,0.689,201,34,4,150000.00,พนักงานประจำ,13,ค้างชำระ,49,1
L-26068,2023-01-07,13605.98,0.326,36,32,2,500000.00,อาชีพอิสระ,0,ปิดบัญชีแล้ว,10,0
L-26163,2023-01-07,21716.43,0.205,174,59,4,100000.00,ธุรกิจส่วนตัว,0,ปิดบัญชีแล้ว,29,0
L-26240,2023-01-07,36383.31,0.441,48,31,4,100000.00,ธุรกิจส่วนตัว,1,ปิดบัญชีแล้ว,18,0
L-26638,2023-01-07,43489.14,0.339,64,61,6,300000.00,อาชีพอิสระ,0,ปกติ,26,0
L-26902,2023-01-07,26556.54,0.247,234,32,4,100000.00,ธุรกิจส่วนตัว,1,ปกติ,21,0
L-26980,2023-01-07,62090.33,0.538,231,65,0,300000.00,พนักงานประจำ,2,ปกติ,5,0
L-27056,2023-01-07,28494.52,0.279,211,54,4,150000.00,พนักงานประจำ,1,ปกติ,11,0
L-28994,2023-01-07,29678.67,0.564,231,37,5,300000.00,อาชีพอิสระ,1,ปกติ,24,0
L-29619,2023-01-07,31408.13,0.219,108,46,3,50000.00,ธุรกิจส่วนตัว,0,ปกติ,21,0
L-29990,2023-01-07,48938.18,0.311,230,60,2,150000.00,พนักงานประจำ,0,ปกติ,18,0
L-30560,2023-01-07,9000.00,0.437,108,57,1,100000.00,ธุรกิจส่วนตัว,2,ปกติ,10,0
L-31302,2023-01-07,36003.78,0.535,214,60,0,500000.00,ข้าราชการ,9,ค้างชำระ,165,1
L-31344,2023-01-07,38239.12,0.698,98,36,3,100000.00,พนักงานประจำ,1,ปกติ,0,0
L-31860,2023-01-07,40225.06,0.546,202,24,6,150000.00,ธุรกิจส่วนตัว,9,ค้างชำระ,64,1
L-20775,2023-01-08,27451.35,0.559,216,30,5,150000.00,อาชีพอิสระ,2,ปกติ,12,0
L-21000,2023-01-08,40707.58,0.417,189,35,2,50000.00,พนักงานประจำ,1,ปกติ,21,0
L-22084,2023-01-08,51214.03,0.449,12,39,2,50000.00,ธุรกิจส่วนตัว,0,ปิดบัญชีแล้ว,5,0
L-22779,2023-01-08,39602.80,0.152,181,52,2,50000.00,ธุรกิจส่วนตัว,2,ปิดบัญชีแล้ว,3,0
L-23071,2023-01-08,39688.38,0.229,130,61,3,150000.00,ข้าราชการ,2,ปกติ,18,0
L-25998,2023-01-08,37270.16,0.287,140,60,0,300000.00,ธุรกิจส่วนตัว,2,ปิดบัญชีแล้ว,24,0
L-26992,2023-01-08,22691.62,0.553,42,31,6,150000.00,ข้าราชการ,0,ปกติ,27,0
L-27121,2023-01-08,32671.59,0.511,60,51,3,100000.00,ข้าราชการ,0,ปกติ,22,0
L-27258,2023-01-08,30690.97,0.242,5,30,0,50000.00,อาชีพอิสระ,1,ปิดบัญชีแล้ว,18,0
L-29048,2023-01-08,31165.08,0.33,196,39,5,50000.00,อาชีพอิสระ,2,ปกติ,5,0
L-30656,2023-01-08,9000.00,0.718,158,24,0,200000.00,ธุรกิจส่วนตัว,0,ปกติ,2,0
L-20988,2023-01-09,12684.31,0.578,101,62,0,50000.00,อาชีพอิสระ,0,ปกติ,28,0
L-22615,2023-01-09,36751.73,0.425,99,37,4,300000.00,พนักงานประจำ,1,ปกติ,10,0
L-24726,2023-01-09,23631.64,0.116,146,38,0,300000.00,พนักงานประจำ,1,ปิดบัญชีแล้ว,27,0
L-25324,2023-01-09,42311.42,0.319,171,64,2,50000.00,พนักงานประจำ,2,ปิดบัญชีแล้ว,10,0
L-25413,2023-01-09,25295.77,0.816,135,47,0,100000.00,อาชีพอิสระ,1,ปิดบัญชีแล้ว,2,0
L-25502,2023-01-09,30393.39,0.088,218,51,2,300000.00,พนักงานประจำ,2,ปิดบัญชีแล้ว,26,0
L-27591,2023-01-09,24863.32,0.409,46,34,1,150000.00,ข้าราชการ,0,ปกติ,2,0
L-27702,2023-01-09,37234.80,0.265,18,31,6,200000.00,อาชีพอิสระ,0,ปกติ,1,0
L-29221,2023-01-09,24526.06,0.168,197,50,4,300000.00,อาชีพอิสระ,2,ปกติ,4,0
L-30511,2023-01-09,24336.56,0.02,131,22,0,500000.00,ข้าราชการ,2,ปกติ,9,0
L-31065,2023-01-09,28559.71,0.294,212,24,1,100000.00,ธุรกิจส่วนตัว,1,ปกติ,24,0
L-20017,2023-01-10,34725.59,0.402,10,36,6,500000.00,ธุรกิจส่วนตัว,1,ปกติ,16,0
L-20244,2023-01-10,27200.37,0.382,186,39,3,100000.00,อาชีพอิสระ,2,ปกติ,2,0
L-21018,2023-01-10,10265.66,0.096,76,45,0,200000.00,พนักงานประจำ,4,ค้างชำระ,89,1
L-21244,2023-01-10,27193.95,0.557,116,63,2,300000.00,อาชีพอิสระ,0,ปกติ,6,0
L-22381,2023-01-10,35368.55,0.456,153,26,1,50000.00,พนักงานประจำ,2,ปกติ,5,0
L-22468,2023-01-10,56877.48,0.258,177,24,1,100000.00,ธุรกิจส่วนตัว,0,ปกติ,24,0
L-23657,2023-01-10,49436.84,0.466,149,28,1,200000.00,พนักงานประจำ,0,ปกติ,28,0
L-28505,2023-01-10,40512.76,0.292,22,51,4,200000.00,ข้าราชการ,2,ปกติ,30,0
L-29784,2023-01-10,30224.93,0.338,141,34,2,150000.00,อาชีพอิสระ,1,ปกติ,10,0
L-29930,2023-01-10,39596.69,0.358,209,27,4,300000.00,พนักงานประจำ,0,ปิดบัญชีแล้ว,14,0
L-30946,2023-01-10,40422.90,0.293,65,51,1,50000.00,พนักงานประจำ,2,ปกติ,9,0
L-31178,2023-01-10,34369.45,0.662,190,65,1,100000.00,ข้าราชการ,1,ปกติ,0,0
L-20311,2023-01-11,13438.99,0.599,166,50,2,300000.00,พนักงานประจำ,2,ปกติ,9,0
L-21389,2023-01-11,48381.14,0.392,129,29,4,500000.00,ข้าราชการ,0,ปกติ,20,0
L-26674,2023-01-11,39010.32,0.274,115,27,5,50000.00,อาชีพอิสระ,0,ปิดบัญชีแล้ว,4,0
L-28628,2023-01-11,20783.08,0.378,88,31,0,100000.00,พนักงานประจำ,2,ปกติ,1,0
L-20066,2023-01-12,53336.78,0.359,64,61,6,500000.00,อาชีพอิสระ,1,ปกติ,15,0
L-20889,2023-01-12,40085.40,0.071,229,64,1,50000.00,พนักงานประจำ,2,ปกติ,0,0
L-22319,2023-01-12,16079.99,0.412,178,50,4,50000.00,ธุรกิจส่วนตัว,2,ปกติ,12,0
L-23888,2023-01-12,36886.50,0.725,88,65,5,150000.00,ธุรกิจส่วนตัว,9,ค้างชำระ,45,1
L-27361,2023-01-12,15970.70,0.439,126,45,6,100000.00,อาชีพอิสระ,0,ปกติ,6,0
L-28038,2023-01-12,50224.83,0.599,30,63,5,500000.00,ข้าราชการ,1,ปกติ,3,0
L-29465,2023-01-12,15527.81,0.539,80,50,0,50000.00,พนักงานประจำ,1,ปิดบัญชีแล้ว,12,0
L-30748,2023-01-12,46756.60,0.514,134,59,2,300000.00,ข้าราชการ,1,ปิดบัญชีแล้ว,10,0
L-31257,2023-01-12,20542.96,0.299,58,43,3,100000.00,พนักงานประจำ,2,ปิดบัญชีแล้ว,16,0
L-20878,2023-01-13,23057.99,0.531,232,37,0,500000.00,ข้าราชการ,0,ปกติ,25,0
L-23613,2023-01-13,43663.08,0.427,186,45,3,50000.00,ข้าราชการ,1,ปกติ,22,0
L-24288,2023-01-13,14575.06,0.545,158,32,0,50000.00,ธุรกิจส่วนตัว,0,ปกติ,23,0
L-24824,2023-01-13,48565.04,0.372,218,26,1,300000.00,อาชีพอิสระ,2,ปกติ,11,0
L-26010,2023-01-13,47309.33,0.521,215,56,4,500000.00,พนักงานประจำ,0,ปิดบัญชีแล้ว,15,0
L-26430,2023-01-13,20636.74,0.419,5,22,4,300000.00,ข้าราชการ,1,ปกติ,0,0
L-27112,2023-01-13,23683.61,0.196,161,46,5,200000.00,ข้าราชการ,0,ปกติ,6,0
L-27803,2023-01-13,23064.08,0.714,218,40,3,200000.00,อาชีพอิสระ,1,ปิดบัญชีแล้ว,26,0
L-29300,2023-01-13,20571.43,0.328,170,43,1,300000.00,ธุรกิจส่วนตัว,0,ปกติ,24,0
L-30736,2023-01-13,36988.16,0.255,235,36,5,500000.00,อาชีพอิสระ,0,ปกติ,13,0
L-30852,2023-01-13,27694.44,0.449,188,36,2,200000.00,ข้าราชการ,1,ปกติ,26,0
L-20881,2023-01-14,39011.75,0.427,131,24,4,100000.00,ธุรกิจส่วนตัว,1,ปกติ,24,0
L-21629,2023-01-14,11287.92,0.638,32,44,4,300000.00,ข้าราชการ,1,ปกติ,13,0
L-26368,2023-01-14,47697.88,0.24,164,46,4,200000.00,ข้าราชการ,1,ปิดบัญชีแล้ว,13,0
L-28202,2023-01-14,43692.14,0.429,44,64,2,300000.00,อาชีพอิสระ,0,ปกติ,30,0
L-29741,2023-01-14,26483.03,0.109,105,53,3,50000.00,พนักงานประจำ,1,ปกติ,26,0
L-30969,2023-01-14,28557.25,0.684,83,23,4,150000.00,ธุรกิจส่วนตัว,1,ปกติ,5,0
L-31634,2023-01-14,28272.02,0.263,88,38,5,100000.00,พนักงานประจำ,0,ปกติ,4,0
L-31910,2023-01-14,34730.18,0.439,146,58,4,50000.00,ธุรกิจส่วนตัว,1,ปกติ,2,0
L-20752,2023-01-15,39242.27,0.349,228,63,6,150000.00,ข้าราชการ,9,ค้างชำระ,124,1
L-22003,2023-01-15,27589.51,0.483,41,61,0,50000.00,อาชีพอิสระ,0,ปิดบัญชีแล้ว,14,0
L-22073,2023-01-15,25468.63,0.287,162,27,0,200000.00,ข้าราชการ,2,ปกติ,0,0
L-22674,2023-01-15,33105.98,0.407,41,56,2,200000.00,ข้าราชการ,1,ปกติ,20,0
L-22996,2023-01-15,44485.44,0.436,11,37,0,50000.00,ธุรกิจส่วนตัว,1,ปกติ,16,0
L-23040,2023-01-15,33295.08,0.531,204,32,3,100000.00,พนักงานประจำ,2,ปิดบัญชีแล้ว,1,0
L-25262,2023-01-15,38262.52,0.402,84,59,2,100000.00,ธุรกิจส่วนตัว,1,ปกติ,10,0
L-27464,2023-01-15,17022.79,0.485,178,28,5,300000.00,ข้าราชการ,2,ปิดบัญชีแล้ว,24,0
L-20523,2023-01-16,30326.23,0.151,225,44,3,150000.00,ธุรกิจส่วนตัว,2,ปิดบัญชีแล้ว,0,0
L-21580,2023-01-16,55987.09,0.63,152,46,5,50000.00,ธุรกิจส่วนตัว,2,ปกติ,17,0
L-23394,2023-01-16,18919.67,0.338,35,26,0,500000.00,ธุรกิจส่วนตัว,2,ปกติ,9,0
L-23655,2023-01-16,35827.24,0.386,163,50,4,50000.00,อาชีพอิสระ,0,ปกติ,21,0
L-25220,2023-01-16,40598.94,0.267,195,61,2,500000.00,ธุรกิจส่วนตัว,2,ปกติ,25,0
L-25792,2023-01-16,32625.11,0.055,8,36,3,300000.00,ข้าราชการ,0,ปิดบัญชีแล้ว,28,0
L-26359,2023-01-16,34144.61,0.513,122,22,1,50000.00,อาชีพอิสระ,2,ปิดบัญชีแล้ว,18,0
L-29618,2023-01-16,42217.55,0.503,193,30,6,50000.00,พนักงานประจำ,0,ปิดบัญชีแล้ว,5,0
L-31222,2023-01-16,50826.30,0.392,73,41,0,200000.00,พนักงานประจำ,2,ปกติ,22,0
L-31965,2023-01-16,45362.98,0.317,179,58,6,100000.00,อาชีพอิสระ,0,ปิดบัญชีแล้ว,5,0
L-20698,2023-01-17,42390.04,0.45,107,29,4,500000.00,ธุรกิจส่วนตัว,14,ค้างชำระ,73,1
L-21102,2023-01-17,41415.64,0.372,131,28,1,100000.00,ธุรกิจส่วนตัว,2,ปกติ,11,0
L-21489,2023-01-17,28041.43,0.261,157,64,1,50000.00,อาชีพอิสระ,1,ปกติ,3,0
L-22069,2023-01-17,40947.41,0.441,91,21,3,100000.00,พนักงานประจำ,0,ปกติ,24,0
L-23877,2023-01-17,24387.88,0.504,200,27,5,50000.00,ธุรกิจส่วนตัว,9,ค้างชำระ,134,1
L-23916,2023-01-17,17294.60,0.477,186,37,1,50000.00,อาชีพอิสระ,0,ปกติ,21,0
L-25386,2023-01-17,40110.16,0.168,100,40,0,300000.00,ธุรกิจส่วนตัว,1,ปกติ,3,0
L-27216,2023-01-17,16213.19,0.479,137,46,1,100000.00,พนักงานประจำ,2,ปกติ,15,0
L-27660,2023-01-17,30434.13,0.258,205,32,3,300000.00,ข้าราชการ,2,ปกติ,12,0
L-27842,2023-01-17,21180.02,0.448,114,26,0,100000.00,ธุรกิจส่วนตัว,1,ปกติ,10,0
L-29983,2023-01-17,38394.87,0.333,27,53,3,500000.00,อาชีพอิสระ,0,ปกติ,22,0
L-30071,2023-01-17,16942.28,0.518,194,40,6,50000.00,ข้าราชการ,1,ปกติ,15,0
L-30439,2023-01-17,41359.50,0.331,193,31,6,200000.00,พนักงานประจำ,0,ปิดบัญชีแล้ว,16,0
L-31033,2023-01-17,38008.76,0.318,30,44,2,50000.00,พนักงานประจำ,3,ค้างชำระ,52,1
L-31325,2023-01-17,33518.58,0.188,148,52,0,150000.00,ข้าราชการ,0,ปกติ,17,0
L-24747,2023-01-18,22862.61,0.12,230,61,3,50000.00,ธุรกิจส่วนตัว,0,ปกติ,20,0
L-24954,2023-01-18,32269.62,0.328,220,32,4,500000.00,อาชีพอิสระ,2,ปกติ,28,0
L-25354,2023-01-18,12767.01,0.486,173,50,0,200000.00,อาชีพอิสระ,1,ปกติ,6,0
L-27940,2023-01-18,23293.63,0.351,206,35,2,200000.00,อาชีพอิสระ,2,ปิดบัญชีแล้ว,26,0
L-30431,2023-01-18,28899.80,0.935,163,48,4,300000.00,พนักงานประจำ,4,ค้างชำระ,73,1
L-31427,2023-01-18,46307.40,0.564,81,57,6,100000.00,ธุรกิจส่วนตัว,0,ปกติ,23,0
L-22836,2023-01-19,48936.07,0.321,153,23,3,500000.00,อาชีพอิสระ,1,ปิดบัญชีแล้ว,20,0
L-22885,2023-01-19,14151.69,0.587,205,48,5,100000.00,ธุรกิจส่วนตัว,2,ปกติ,1,0
L-23333,2023-01-19,55625.58,0.186,43,60,2,500000.00,ข้าราชการ,1,ปิดบัญชีแล้ว,26,0
L-24475,2023-01-19,29826.86,0.568,54,26,5,300000.00,พนักงานประจำ,1,ปกติ,18,0
L-25351,2023-01-19,26763.61,0.737,16,22,2,50000.00,ธุรกิจส่วนตัว,4,ค้างชำระ,156,1
L-28213,2023-01-19,28684.27,0.364,186,38,3,500000.00,พนักงานประจำ,1,ปกติ,7,0
L-28683,2023-01-19,9000.00,0.156,226,22,5,150000.00,พนักงานประจำ,1,ปกติ,4,0
L-29059,2023-01-19,33905.71,0.828,183,59,5,200000.00,พนักงานประจำ,1,ปกติ,27,0
L-29588,2023-01-19,16973.70,0.593,113,44,2,100000.00,ธุรกิจส่วนตัว,1,ปิดบัญชีแล้ว,12,0
L-29943,2023-01-19,25996.28,0.407,196,39,1,200000.00,ข้าราชการ,0,ปกติ,4,0
L-30013,2023-01-19,29272.88,0.52,47,53,4,50000.00,พนักงานประจำ,0,ปิดบัญชีแล้ว,0,0
L-31024,2023-01-19,25851.02,0.126,61,47,5,100000.00,ธุรกิจส่วนตัว,0,ปกติ,12,0
L-21153,2023-01-20,18260.51,0.31,239,40,2,50000.00,ข้าราชการ,0,ปิดบัญชีแล้ว,18,0
L-21842,2023-01-20,29214.22,0.38,151,42,2,100000.00,ข้าราชการ,1,ปิดบัญชีแล้ว,15,0
L-25142,2023-01-20,25018.57,0.717,23,28,6,200000.00,พนักงานประจำ,1,ปกติ,10,0
L-26282,2023-01-20,22671.86,0.107,122,31,2,150000.00,ธุรกิจส่วนตัว,1,ปกติ,18,0
L-26825,2023-01-20,9000.00,0.551,175,53,6,200000.00,พนักงานประจำ,6,ค้างชำระ,175,1
L-27428,2023-01-20,35151.41,0.717,113,58,5,500000.00,ข้าราชการ,0,ปกติ,22,0
L-27958,2023-01-20,18125.48,0.031,128,37,2,50000.00,ข้าราชการ,0,ปกติ,4,0
L-29505,2023-01-20,14919.83,0.506,193,29,6,50000.00,ธุรกิจส่วนตัว,2,ปิดบัญชีแล้ว,16,0
L-29674,2023-01-20,21341.44,0.405,79,21,0,300000.00,อาชีพอิสระ,2,ปกติ,3,0
L-30779,2023-01-20,38216.85,0.503,151,65,4,50000.00,พนักงานประจำ,2,ปกติ,5,0
L-30916,2023-01-20,45267.98,0.52,175,42,2,200000.00,ธุรกิจส่วนตัว,1,ปกติ,23,0
L-22342,2023-01-21,9000.00,0.579,0,25,3,200000.00,ธุรกิจส่วนตัว,2,ปกติ,30,0
L-25914,2023-01-21,20950.27,0.125,47,23,0,150000.00,ธุรกิจส่วนตัว,1,ปกติ,16,0
L-28399,2023-01-21,41572.83,0.02,65,51,3,50000.00,ธุรกิจส่วนตัว,2,ปิดบัญชีแล้ว,3,0
L-30290,2023-01-21,31090.78,0.449,166,34,3,50000.00,ข้าราชการ,1,ปกติ,26,0
L-30747,2023-01-21,27737.87,0.216,209,23,3,300000.00,พนักงานประจำ,2,ปกติ,13,0
L-31319,2023-01-21,34569.18,0.02,109,54,1,300000.00,ข้าราชการ,1,ปกติ,6,0
L-20454,2023-01-22,23748.75,0.712,92,22,1,150000.00,อาชีพอิสระ,1,ปกติ,7,0
L-22637,2023-01-22,27281.91,0.228,105,53,3,150000.00,ธุรกิจส่วนตัว,0,ปกติ,0,0
L-23702,2023-01-22,45529.39,0.352,37,63,1,300000.00,ข้าราชการ,2,ปกติ,16,0
L-25260,2023-01-22,13654.51,0.312,220,36,0,150000.00,พนักงานประจำ,2,ปกติ,25,0
L-26342,2023-01-22,54276.68,0.789,45,45,4,200000.00,อาชีพอิสระ,2,ปกติ,26,0
L-26352,2023-01-22,38042.51,0.32,135,23,4,500000.00,ข้าราชการ,0,ปกติ,28,0
L-26566,2023-01-22,15755.65,0.571,134,25,0,150000.00,พนักงานประจำ,1,ปกติ,22,0
