sales_date,store_id,region,net_amount,transactions
2023-01-09,S-90,ภาคกลาง,41115.28,139
2023-01-10,S-01,ภาคกลาง,48307.31,178
2023-01-10,S-02,ภาคกลาง,48307.31,188
2023-01-10,S-03,ภาคอีสาน,27374.14,130
2023-01-10,S-04,ภาคอีสาน,27374.14,100
2023-01-10,S-05,ภาคเหนือ,28984.39,113
2023-01-10,S-06,ภาคใต้,25763.9,82
2023-01-10,S-90,ภาคกลาง,48307.31,156
2023-01-11,S-01,ภาคกลาง,51799.23,229
2023-01-11,S-02,ภาคกลาง,51799.23,257
2023-01-11,S-03,ภาคอีสาน,29352.9,113
2023-01-11,S-04,ภาคอีสาน,29352.9,102
2023-01-11,S-05,ภาคเหนือ,31079.54,102
2023-01-11,S-06,ภาคใต้,27626.25,116
2023-01-11,S-90,ภาคกลาง,51799.23,262
2023-01-12,S-01,ภาคกลาง,41727.29,148
2023-01-12,S-02,ภาคกลาง,41727.29,188
2023-01-12,S-03,ภาคอีสาน,23645.46,118
2023-01-12,S-04,ภาคอีสาน,23645.46,101
2023-01-12,S-05,ภาคเหนือ,25036.37,132
2023-01-12,S-06,ภาคใต้,22254.55,111
2023-01-12,S-90,ภาคกลาง,41727.29,203
2023-01-13,S-01,ภาคกลาง,50241.32,242
2023-01-13,S-02,ภาคกลาง,50241.32,202
2023-01-13,S-03,ภาคอีสาน,28470.08,106
2023-01-13,S-04,ภาคอีสาน,28470.08,149
2023-01-13,S-05,ภาคเหนือ,30144.79,104
2023-01-13,S-06,ภาคใต้,26795.37,99
2023-01-13,S-90,ภาคกลาง,50241.32,252
2023-01-14,S-01,ภาคกลาง,61008.99,192
2023-01-14,S-02,ภาคกลาง,61008.99,259
2023-01-14,S-03,ภาคอีสาน,34571.76,191
2023-01-14,S-04,ภาคอีสาน,34571.76,108
2023-01-14,S-05,ภาคเหนือ,36605.39,189
2023-01-14,S-06,ภาคใต้,32538.13,137
2023-01-14,S-90,ภาคกลาง,61008.99,319
2023-01-15,S-01,ภาคกลาง,69855.21,339
2023-01-15,S-02,ภาคกลาง,69855.21,295
2023-01-15,S-03,ภาคอีสาน,39584.62,189
2023-01-15,S-04,ภาคอีสาน,39584.62,164
2023-01-15,S-05,ภาคเหนือ,41913.13,145
2023-01-15,S-06,ภาคใต้,37256.11,164
2023-01-15,S-90,ภาคกลาง,69855.21,279
2023-01-16,S-01,ภาคกลาง,47203.8,197
2023-01-16,S-02,ภาคกลาง,47203.8,170
2023-01-16,S-03,ภาคอีสาน,26748.82,92
2023-01-16,S-04,ภาคอีสาน,26748.82,118
2023-01-16,S-05,ภาคเหนือ,28322.28,113
2023-01-16,S-06,ภาคใต้,25175.36,112
2023-01-16,S-90,ภาคกลาง,47203.8,219
2023-01-17,S-01,ภาคกลาง,42415.59,234
2023-01-17,S-02,ภาคกลาง,42415.59,201
2023-01-17,S-03,ภาคอีสาน,24035.5,128
2023-01-17,S-04,ภาคอีสาน,24035.5,112
2023-01-17,S-05,ภาคเหนือ,25449.35,96
2023-01-17,S-06,ภาคใต้,22621.65,102
2023-01-17,S-90,ภาคกลาง,42415.59,186
2023-01-18,S-01,ภาคกลาง,45746.75,214
2023-01-18,S-02,ภาคกลาง,45746.75,177
2023-01-18,S-03,ภาคอีสาน,25923.16,81
2023-01-18,S-04,ภาคอีสาน,25923.16,103
2023-01-18,S-05,ภาคเหนือ,27448.05,119
2023-01-18,S-06,ภาคใต้,24398.27,122
2023-01-18,S-90,ภาคกลาง,45746.75,160
2023-01-19,S-01,ภาคกลาง,45288.66,197
2023-01-19,S-02,ภาคกลาง,45288.66,144
2023-01-19,S-03,ภาคอีสาน,25663.58,104
2023-01-19,S-04,ภาคอีสาน,25663.58,105
2023-01-19,S-05,ภาคเหนือ,27173.2,102
2023-01-19,S-06,ภาคใต้,24153.95,80
2023-01-19,S-90,ภาคกลาง,45288.66,154
2023-01-20,S-01,ภาคกลาง,50907.7,179
2023-01-20,S-02,ภาคกลาง,50907.7,234
2023-01-20,S-03,ภาคอีสาน,28847.7,100
2023-01-20,S-04,ภาคอีสาน,28847.7,92
2023-01-20,S-05,ภาคเหนือ,30544.62,148
2023-01-20,S-06,ภาคใต้,27150.78,102
2023-01-20,S-90,ภาคกลาง,50907.7,178
2023-01-21,S-01,ภาคกลาง,64145.13,210
2023-01-21,S-02,ภาคกลาง,64145.13,218
2023-01-21,S-03,ภาคอีสาน,36348.91,115
2023-01-21,S-04,ภาคอีสาน,36348.91,145
2023-01-21,S-05,ภาคเหนือ,38487.08,132
2023-01-21,S-06,ภาคใต้,34210.74,118
2023-01-21,S-90,ภาคกลาง,64145.13,203
2023-01-22,S-01,ภาคกลาง,61573.43,341
2023-01-22,S-02,ภาคกลาง,61573.43,307
2023-01-22,S-03,ภาคอีสาน,34891.61,150
2023-01-22,S-04,ภาคอีสาน,34891.61,122
2023-01-22,S-05,ภาคเหนือ,36944.06,152
2023-01-22,S-06,ภาคใต้,32839.16,137
2023-01-22,S-90,ภาคกลาง,61573.43,228
2023-01-23,S-01,ภาคกลาง,51716.24,166
2023-01-23,S-02,ภาคกลาง,51716.24,180
2023-01-23,S-03,ภาคอีสาน,29305.87,131
2023-01-23,S-04,ภาคอีสาน,29305.87,131
2023-01-23,S-05,ภาคเหนือ,31029.75,114
2023-01-23,S-06,ภาคใต้,27582.0,109
2023-01-23,S-90,ภาคกลาง,51716.24,170
2023-01-24,S-01,ภาคกลาง,53579.79,205
2023-01-24,S-02,ภาคกลาง,53579.79,208
2023-01-24,S-03,ภาคอีสาน,30361.88,135
2023-01-24,S-04,ภาคอีสาน,30361.88,100
2023-01-24,S-05,ภาคเหนือ,32147.88,135
2023-01-24,S-06,ภาคใต้,28575.89,135
2023-01-24,S-90,ภาคกลาง,53579.79,223
2023-01-25,S-01,ภาคกลาง,45744.58,215
2023-01-25,S-02,ภาคกลาง,45744.58,146
2023-01-25,S-03,ภาคอีสาน,25921.93,94
2023-01-25,S-04,ภาคอีสาน,25921.93,106
2023-01-25,S-05,ภาคเหนือ,27446.75,91
2023-01-25,S-06,ภาคใต้,24397.11,82
2023-01-25,S-90,ภาคกลาง,45744.58,167
2023-01-26,S-01,ภาคกลาง,52131.59,232
2023-01-26,S-02,ภาคกลาง,52131.59,188
2023-01-26,S-03,ภาคอีสาน,29541.24,113
2023-01-26,S-04,ภาคอีสาน,29541.24,148
2023-01-26,S-05,ภาคเหนือ,31278.96,147
2023-01-26,S-06,ภาคใต้,27803.52,118
2023-01-26,S-90,ภาคกลาง,52131.59,211
2023-01-27,S-01,ภาคกลาง,47170.53,152
2023-01-27,S-02,ภาคกลาง,47170.53,184
2023-01-27,S-03,ภาคอีสาน,26729.97,122
2023-01-27,S-04,ภาคอีสาน,26729.97,92
2023-01-27,S-05,ภาคเหนือ,28302.32,88
2023-01-27,S-06,ภาคใต้,25157.62,135
2023-01-27,S-90,ภาคกลาง,47170.53,176
2023-01-28,S-01,ภาคกลาง,70714.98,233
2023-01-28,S-02,ภาคกลาง,70714.98,373
2023-01-28,S-03,ภาคอีสาน,40071.82,136
2023-01-28,S-04,ภาคอีสาน,40071.82,144
2023-01-28,S-05,ภาคเหนือ,42428.99,135
2023-01-28,S-06,ภาคใต้,37714.66,133
2023-01-28,S-90,ภาคกลาง,70714.98,223
2023-01-29,S-01,ภาคกลาง,60821.14,230
2023-01-29,S-02,ภาคกลาง,60821.14,257
2023-01-29,S-03,ภาคอีสาน,34465.31,132
2023-01-29,S-04,ภาคอีสาน,34465.31,119
2023-01-29,S-05,ภาคเหนือ,36492.69,158
2023-01-29,S-06,ภาคใต้,32437.94,133
2023-01-29,S-90,ภาคกลาง,60821.14,250
2023-01-30,S-01,ภาคกลาง,49921.17,200
2023-01-30,S-02,ภาคกลาง,49921.17,187
2023-01-30,S-03,ภาคอีสาน,28288.66,148
2023-01-30,S-04,ภาคอีสาน,28288.66,98
2023-01-30,S-05,ภาคเหนือ,29952.7,155
2023-01-30,S-06,ภาคใต้,26624.62,86
2023-01-30,S-90,ภาคกลาง,49921.17,191
2023-01-31,S-01,ภาคกลาง,53758.12,223
2023-01-31,S-02,ภาคกลาง,53758.12,236
2023-01-31,S-03,ภาคอีสาน,30462.94,155
2023-01-31,S-04,ภาคอีสาน,30462.94,107
2023-01-31,S-05,ภาคเหนือ,32254.87,166
2023-01-31,S-06,ภาคใต้,28671.0,138
2023-01-31,S-90,ภาคกลาง,53758.12,285
2023-02-01,S-01,ภาคกลาง,52329.69,265
2023-02-01,S-02,ภาคกลาง,52329.69,246
2023-02-01,S-03,ภาคอีสาน,29653.49,106
2023-02-01,S-04,ภาคอีสาน,29653.49,93
2023-02-01,S-05,ภาคเหนือ,31397.81,154
2023-02-01,S-06,ภาคใต้,27909.17,102
2023-02-01,S-90,ภาคกลาง,52329.69,243
2023-02-02,S-01,ภาคกลาง,47122.64,249
2023-02-02,S-02,ภาคกลาง,47122.64,225
2023-02-02,S-03,ภาคอีสาน,26702.83,100
2023-02-02,S-04,ภาคอีสาน,26702.83,148
2023-02-02,S-05,ภาคเหนือ,28273.58,95
2023-02-02,S-06,ภาคใต้,25132.07,96
2023-02-02,S-90,ภาคกลาง,47122.64,174
2023-02-03,S-01,ภาคกลาง,50267.25,190
2023-02-03,S-02,ภาคกลาง,50267.25,245
2023-02-03,S-03,ภาคอีสาน,28484.77,113
2023-02-03,S-04,ภาคอีสาน,28484.77,154
2023-02-03,S-05,ภาคเหนือ,30160.35,156
2023-02-03,S-06,ภาคใต้,26809.2,129
2023-02-03,S-90,ภาคกลาง,50267.25,219
2023-02-04,S-01,ภาคกลาง,62713.12,236
2023-02-04,S-02,ภาคกลาง,62713.12,308
2023-02-04,S-03,ภาคอีสาน,35537.44,128
2023-02-04,S-04,ภาคอีสาน,35537.44,130
2023-02-04,S-05,ภาคเหนือ,37627.87,169
2023-02-04,S-06,ภาคใต้,33447.0,183
2023-02-04,S-90,ภาคกลาง,62713.12,204
2023-02-05,S-01,ภาคกลาง,72555.28,383
2023-02-05,S-02,ภาคกลาง,72555.28,342
2023-02-05,S-03,ภาคอีสาน,41114.66,168
2023-02-05,S-04,ภาคอีสาน,41114.66,154
2023-02-05,S-05,ภาคเหนือ,43533.17,168
2023-02-05,S-06,ภาคใต้,38696.15,149
2023-02-05,S-90,ภาคกลาง,72555.28,369
2023-02-06,S-01,ภาคกลาง,48136.57,252
2023-02-06,S-02,ภาคกลาง,48136.57,189
2023-02-06,S-03,ภาคอีสาน,27277.39,91
2023-02-06,S-04,ภาคอีสาน,27277.39,124
2023-02-06,S-05,ภาคเหนือ,28881.94,126
2023-02-06,S-06,ภาคใต้,25672.84,106
2023-02-06,S-90,ภาคกลาง,48136.57,242
2023-02-07,S-01,ภาคกลาง,55941.12,215
2023-02-07,S-02,ภาคกลาง,55941.12,201
2023-02-07,S-03,ภาคอีสาน,31699.97,104
2023-02-07,S-04,ภาคอีสาน,31699.97,136
2023-02-07,S-05,ภาคเหนือ,33564.67,161
2023-02-07,S-06,ภาคใต้,29835.26,150
2023-02-07,S-90,ภาคกลาง,55941.12,222
2023-02-08,S-01,ภาคกลาง,50330.22,166
2023-02-08,S-02,ภาคกลาง,50330.22,182
2023-02-08,S-03,ภาคอีสาน,28520.46,123
2023-02-08,S-04,ภาคอีสาน,28520.46,131
2023-02-08,S-05,ภาคเหนือ,30198.13,119
2023-02-08,S-06,ภาคใต้,26842.79,92
2023-02-08,S-90,ภาคกลาง,50330.22,177
2023-02-09,S-01,ภาคกลาง,57542.8,262
2023-02-09,S-02,ภาคกลาง,57542.8,203
2023-02-09,S-03,ภาคอีสาน,32607.59,153
2023-02-09,S-04,ภาคอีสาน,32607.59,129
2023-02-09,S-05,ภาคเหนือ,34525.68,130
2023-02-09,S-06,ภาคใต้,30689.49,128
2023-02-09,S-90,ภาคกลาง,57542.8,223
2023-02-10,S-01,ภาคกลาง,46759.66,189
2023-02-10,S-02,ภาคกลาง,46759.66,186
2023-02-10,S-03,ภาคอีสาน,26497.14,115
2023-02-10,S-04,ภาคอีสาน,26497.14,136
2023-02-10,S-05,ภาคเหนือ,28055.8,102
2023-02-10,S-06,ภาคใต้,24938.48,128
2023-02-10,S-90,ภาคกลาง,46759.66,217
2023-02-11,S-01,ภาคกลาง,71072.2,280
2023-02-11,S-02,ภาคกลาง,71072.2,276
2023-02-11,S-03,ภาคอีสาน,40274.25,143
2023-02-11,S-04,ภาคอีสาน,40274.25,194
2023-02-11,S-05,ภาคเหนือ,42643.32,135
2023-02-11,S-06,ภาคใต้,37905.18,148
2023-02-11,S-90,ภาคกลาง,71072.2,240
2023-02-12,S-01,ภาคกลาง,70785.07,323
2023-02-12,S-02,ภาคกลาง,70785.07,278
2023-02-12,S-03,ภาคอีสาน,40111.54,147
2023-02-12,S-04,ภาคอีสาน,40111.54,213
2023-02-12,S-05,ภาคเหนือ,42471.04,224
2023-02-12,S-06,ภาคใต้,37752.04,137
2023-02-12,S-90,ภาคกลาง,70785.07,300
2023-02-13,S-01,ภาคกลาง,49720.14,210
2023-02-13,S-02,ภาคกลาง,49720.14,158
2023-02-13,S-03,ภาคอีสาน,28174.75,101
2023-02-13,S-04,ภาคอีสาน,28174.75,110
2023-02-13,S-05,ภาคเหนือ,29832.08,145
2023-02-13,S-06,ภาคใต้,26517.41,87
2023-02-13,S-90,ภาคกลาง,49720.14,232
2023-02-14,S-01,ภาคกลาง,57512.44,202
2023-02-14,S-02,ภาคกลาง,57512.44,246
2023-02-14,S-03,ภาคอีสาน,32590.38,132
2023-02-14,S-04,ภาคอีสาน,32590.38,176
2023-02-14,S-05,ภาคเหนือ,34507.46,121
2023-02-14,S-06,ภาคใต้,30673.3,117
2023-02-14,S-90,ภาคกลาง,57512.44,180
2023-02-15,S-01,ภาคกลาง,51976.79,264
2023-02-15,S-02,ภาคกลาง,51976.79,165
2023-02-15,S-03,ภาคอีสาน,29453.52,115
2023-02-15,S-04,ภาคอีสาน,29453.52,112
2023-02-15,S-05,ภาคเหนือ,31186.08,117
2023-02-15,S-06,ภาคใต้,27720.96,102
2023-02-15,S-90,ภาคกลาง,51976.79,162
2023-02-16,S-01,ภาคกลาง,50868.65,164
2023-02-16,S-02,ภาคกลาง,50868.65,162
2023-02-16,S-03,ภาคอีสาน,28825.57,97
2023-02-16,S-04,ภาคอีสาน,28825.57,136
2023-02-16,S-05,ภาคเหนือ,30521.19,155
2023-02-16,S-06,ภาคใต้,27129.95,140
2023-02-16,S-90,ภาคกลาง,50868.65,211
2023-02-17,S-01,ภาคกลาง,55690.7,261
2023-02-17,S-02,ภาคกลาง,55690.7,272
2023-02-17,S-03,ภาคอีสาน,31558.06,140
2023-02-17,S-04,ภาคอีสาน,31558.06,150
2023-02-17,S-05,ภาคเหนือ,33414.42,168
2023-02-17,S-06,ภาคใต้,29701.71,96
2023-02-17,S-90,ภาคกลาง,55690.7,300
2023-02-18,S-01,ภาคกลาง,71122.2,333
2023-02-18,S-02,ภาคกลาง,71122.2,234
2023-02-18,S-03,ภาคอีสาน,40302.58,137
2023-02-18,S-04,ภาคอีสาน,40302.58,223
2023-02-18,S-05,ภาคเหนือ,42673.32,137
2023-02-18,S-06,ภาคใต้,37931.84,156
2023-02-18,S-90,ภาคกลาง,71122.2,372
2023-02-19,S-01,ภาคกลาง,72841.33,324
2023-02-19,S-02,ภาคกลาง,72841.33,284
2023-02-19,S-03,ภาคอีสาน,41276.75,172
2023-02-19,S-04,ภาคอีสาน,41276.75,130
2023-02-19,S-05,ภาคเหนือ,43704.8,193
2023-02-19,S-06,ภาคใต้,38848.71,167
2023-02-19,S-90,ภาคกลาง,72841.33,288
2023-02-20,S-01,ภาคกลาง,60862.12,200
2023-02-20,S-02,ภาคกลาง,60862.12,202
2023-02-20,S-03,ภาคอีสาน,34488.53,136
2023-02-20,S-04,ภาคอีสาน,34488.53,174
2023-02-20,S-05,ภาคเหนือ,36517.27,126
2023-02-20,S-06,ภาคใต้,32459.8,133
2023-02-20,S-90,ภาคกลาง,60862.12,212
2023-02-21,S-01,ภาคกลาง,59762.26,308
2023-02-21,S-02,ภาคกลาง,59762.26,293
2023-02-21,S-03,ภาคอีสาน,33865.28,151
2023-02-21,S-04,ภาคอีสาน,33865.28,140
2023-02-21,S-05,ภาคเหนือ,35857.36,119
2023-02-21,S-06,ภาคใต้,31873.21,116
2023-02-21,S-90,ภาคกลาง,59762.26,192
2023-02-22,S-01,ภาคกลาง,49800.69,238
2023-02-22,S-02,ภาคกลาง,49800.69,161
2023-02-22,S-03,ภาคอีสาน,28220.39,95
2023-02-22,S-04,ภาคอีสาน,28220.39,115
2023-02-22,S-05,ภาคเหนือ,29880.41,105
2023-02-22,S-06,ภาคใต้,26560.37,103
2023-02-22,S-90,ภาคกลาง,49800.69,161
2023-02-23,S-01,ภาคกลาง,55709.17,222
2023-02-23,S-02,ภาคกลาง,55709.17,196
2023-02-23,S-03,ภาคอีสาน,31568.53,102
2023-02-23,S-04,ภาคอีสาน,31568.53,116
2023-02-23,S-05,ภาคเหนือ,33425.5,162
2023-02-23,S-06,ภาคใต้,29711.56,113
2023-02-23,S-90,ภาคกลาง,55709.17,201
2023-02-24,S-01,ภาคกลาง,54211.93,171
2023-02-24,S-02,ภาคกลาง,54211.93,198
2023-02-24,S-03,ภาคอีสาน,30720.09,112
2023-02-24,S-04,ภาคอีสาน,30720.09,100
2023-02-24,S-05,ภาคเหนือ,32527.16,102
2023-02-24,S-06,ภาคใต้,28913.03,123
2023-02-24,S-90,ภาคกลาง,54211.93,227
2023-02-25,S-01,ภาคกลาง,76154.74,310
2023-02-25,S-02,ภาคกลาง,76154.74,310
2023-02-25,S-03,ภาคอีสาน,43154.35,204
2023-02-25,S-04,ภาคอีสาน,43154.35,151
2023-02-25,S-05,ภาคเหนือ,45692.85,144
2023-02-25,S-06,ภาคใต้,40615.86,130
2023-02-25,S-90,ภาคกลาง,76154.74,304
2023-02-26,S-01,ภาคกลาง,83227.55,286
2023-02-26,S-02,ภาคกลาง,83227.55,304
2023-02-26,S-03,ภาคอีสาน,47162.28,151
2023-02-26,S-04,ภาคอีสาน,47162.28,149
2023-02-26,S-05,ภาคเหนือ,49936.53,212
2023-02-26,S-06,ภาคใต้,44388.03,203
2023-02-26,S-90,ภาคกลาง,83227.55,361
2023-02-27,S-01,ภาคกลาง,63397.43,347
2023-02-27,S-02,ภาคกลาง,63397.43,275
2023-02-27,S-03,ภาคอีสาน,35925.21,198
2023-02-27,S-04,ภาคอีสาน,35925.21,166
2023-02-27,S-05,ภาคเหนือ,38038.46,179
2023-02-27,S-06,ภาคใต้,33811.96,165
2023-02-27,S-90,ภาคกลาง,63397.43,284
2023-02-28,S-01,ภาคกลาง,62253.47,332
2023-02-28,S-02,ภาคกลาง,62253.47,260
2023-02-28,S-03,ภาคอีสาน,35276.97,151
2023-02-28,S-04,ภาคอีสาน,35276.97,171
2023-02-28,S-05,ภาคเหนือ,37352.08,180
2023-02-28,S-06,ภาคใต้,33201.85,148
2023-02-28,S-90,ภาคกลาง,62253.47,326
2023-03-01,S-01,ภาคกลาง,54910.34,244
2023-03-01,S-02,ภาคกลาง,54910.34,237
2023-03-01,S-03,ภาคอีสาน,31115.86,120
2023-03-01,S-04,ภาคอีสาน,31115.86,136
2023-03-01,S-05,ภาคเหนือ,32946.2,181
2023-03-01,S-06,ภาคใต้,29285.51,156
2023-03-01,S-90,ภาคกลาง,54910.34,289
2023-03-02,S-01,ภาคกลาง,60906.78,251
2023-03-02,S-02,ภาคกลาง,60906.78,199
2023-03-02,S-03,ภาคอีสาน,34513.84,121
2023-03-02,S-04,ภาคอีสาน,34513.84,188
2023-03-02,S-05,ภาคเหนือ,36544.07,161
2023-03-02,S-06,ภาคใต้,32483.62,123
2023-03-02,S-90,ภาคกลาง,60906.78,191
2023-03-03,S-01,ภาคกลาง,59093.11,316
2023-03-03,S-02,ภาคกลาง,59093.11,202
2023-03-03,S-03,ภาคอีสาน,33486.1,155
2023-03-03,S-04,ภาคอีสาน,33486.1,152
2023-03-03,S-05,ภาคเหนือ,35455.87,185
2023-03-03,S-06,ภาคใต้,31516.33,142
2023-03-03,S-90,ภาคกลาง,59093.11,312
2023-03-04,S-01,ภาคกลาง,82307.33,403
2023-03-04,S-02,ภาคกลาง,82307.33,285
2023-03-04,S-03,ภาคอีสาน,46640.82,159
2023-03-04,S-04,ภาคอีสาน,46640.82,238
2023-03-04,S-05,ภาคเหนือ,49384.4,223
2023-03-04,S-06,ภาคใต้,43897.24,179
2023-03-04,S-90,ภาคกลาง,82307.33,341
2023-03-05,S-01,ภาคกลาง,70277.33,230
2023-03-05,S-02,ภาคกลาง,70277.33,289
2023-03-05,S-03,ภาคอีสาน,39823.82,153
2023-03-05,S-04,ภาคอีสาน,39823.82,181
2023-03-05,S-05,ภาคเหนือ,42166.4,137
2023-03-05,S-06,ภาคใต้,37481.24,149
2023-03-05,S-90,ภาคกลาง,70277.33,306
2023-03-06,S-01,ภาคกลาง,62072.44,248
2023-03-06,S-02,ภาคกลาง,62072.44,214
2023-03-06,S-03,ภาคอีสาน,35174.38,127
2023-03-06,S-04,ภาคอีสาน,35174.38,194
2023-03-06,S-05,ภาคเหนือ,37243.47,153
2023-03-06,S-06,ภาคใต้,33105.3,139
2023-03-06,S-90,ภาคกลาง,62072.44,312
2023-03-07,S-01,ภาคกลาง,64689.13,217
2023-03-07,S-02,ภาคกลาง,64689.13,226
2023-03-07,S-03,ภาคอีสาน,36657.17,142
2023-03-07,S-04,ภาคอีสาน,36657.17,148
2023-03-07,S-05,ภาคเหนือ,38813.48,143
2023-03-07,S-06,ภาคใต้,34500.87,128
2023-03-07,S-90,ภาคกลาง,64689.13,320
2023-03-08,S-01,ภาคกลาง,54487.66,228
2023-03-08,S-02,ภาคกลาง,54487.66,178
2023-03-08,S-03,ภาคอีสาน,30876.34,157
2023-03-08,S-04,ภาคอีสาน,30876.34,108
2023-03-08,S-05,ภาคเหนือ,32692.6,160
2023-03-08,S-06,ภาคใต้,29060.09,99
2023-03-08,S-90,ภาคกลาง,54487.66,206
2023-03-09,S-01,ภาคกลาง,62197.65,230
2023-03-09,S-02,ภาคกลาง,62197.65,219
2023-03-09,S-03,ภาคอีสาน,35245.34,192
2023-03-09,S-04,ภาคอีสาน,35245.34,125
2023-03-09,S-05,ภาคเหนือ,37318.59,152
2023-03-09,S-06,ภาคใต้,33172.08,132
2023-03-09,S-90,ภาคกลาง,62197.65,202
2023-03-10,S-01,ภาคกลาง,66283.61,224
2023-03-10,S-02,ภาคกลาง,66283.61,219
2023-03-10,S-03,ภาคอีสาน,37560.71,161
2023-03-10,S-04,ภาคอีสาน,37560.71,134
2023-03-10,S-05,ภาคเหนือ,39770.17,205
2023-03-10,S-06,ภาคใต้,35351.26,133
2023-03-10,S-90,ภาคกลาง,66283.61,309
2023-03-11,S-01,ภาคกลาง,76825.11,341
2023-03-11,S-02,ภาคกลาง,76825.11,298
2023-03-11,S-03,ภาคอีสาน,43534.23,210
2023-03-11,S-04,ภาคอีสาน,43534.23,150
2023-03-11,S-05,ภาคเหนือ,46095.07,173
2023-03-11,S-06,ภาคใต้,40973.39,135
2023-03-11,S-90,ภาคกลาง,76825.11,271
2023-03-12,S-01,ภาคกลาง,83416.42,312
2023-03-12,S-02,ภาคกลาง,83416.42,299
2023-03-12,S-03,ภาคอีสาน,47269.31,189
2023-03-12,S-04,ภาคอีสาน,47269.31,232
2023-03-12,S-05,ภาคเหนือ,50049.85,177
2023-03-12,S-06,ภาคใต้,44488.76,204
2023-03-12,S-90,ภาคกลาง,83416.42,267
2023-03-13,S-01,ภาคกลาง,61816.4,201
2023-03-13,S-02,ภาคกลาง,61816.4,217
2023-03-13,S-03,ภาคอีสาน,35029.3,141
2023-03-13,S-04,ภาคอีสาน,35029.3,110
2023-03-13,S-05,ภาคเหนือ,37089.84,119
2023-03-13,S-06,ภาคใต้,32968.75,114
2023-03-13,S-90,ภาคกลาง,61816.4,206
2023-03-14,S-01,ภาคกลาง,60004.89,228
2023-03-14,S-02,ภาคกลาง,60004.89,251
2023-03-14,S-03,ภาคอีสาน,34002.77,109
2023-03-14,S-04,ภาคอีสาน,34002.77,134
2023-03-14,S-05,ภาคเหนือ,36002.93,149
2023-03-14,S-06,ภาคใต้,32002.61,127
2023-03-14,S-90,ภาคกลาง,60004.89,237
