txn_id,txn_date,amount,channel,device,risk_score,is_fraud
TX-107066,2025-10-05,492.04,ตู้เอทีเอ็ม,สาขา,0.2352,0
TX-104092,2025-10-02,468.34,ออนไลน์,บัตร,0.0484,0
TX-101506,2025-11-18,5882.46,หน้าร้าน,บัตร,0.0785,0
TX-102102,2025-10-20,718.93,ต่างประเทศ,เว็บ,0.1158,0
TX-106452,2025-10-23,5548.33,ต่างประเทศ,สาขา,0.0598,0
TX-106116,2025-10-23,1740.20,หน้าร้าน,บัตร,0.1264,0
TX-105409,2025-10-17,277.33,ออนไลน์,สาขา,0.092,0
TX-107486,2025-10-31,853.49,ต่างประเทศ,มือถือ,0.2034,0
TX-108347,2025-10-23,109.31,ตู้เอทีเอ็ม,เว็บ,0.211,0
TX-111004,2025-10-13,558.95,หน้าร้าน,สาขา,0.066,0
TX-101786,2025-11-28,308.15,หน้าร้าน,สาขา,0.0936,0
TX-100424,2025-11-13,1970.34,หน้าร้าน,มือถือ,0.1941,0
TX-106825,2025-11-05,7821.47,หน้าร้าน,เว็บ,0.044,0
TX-105528,2025-11-04,783.26,ต่างประเทศ,เว็บ,0.3562,0
TX-117334,2025-10-27,152.18,ต่างประเทศ,สาขา,0.0733,0
TX-107829,2025-10-12,13001.78,ตู้เอทีเอ็ม,บัตร,0.0533,0
TX-117862,2025-11-15,3263.53,หน้าร้าน,เว็บ,0.2422,0
TX-105400,2025-11-12,5801.06,ออนไลน์,บัตร,0.0854,0
TX-112076,2025-10-21,4606.58,ต่างประเทศ,สาขา,0.4683,0
TX-117609,2025-11-06,495.53,ออนไลน์,สาขา,0.0825,0
TX-113448,2025-10-10,715.49,หน้าร้าน,บัตร,0.0909,0
TX-108570,2025-11-11,1136.36,ออนไลน์,สาขา,0.0666,0
TX-101130,2025-11-10,812.39,ตู้เอทีเอ็ม,บัตร,0.093,0
TX-119572,2025-11-01,741.70,ออนไลน์,สาขา,0.1349,0
TX-117246,2025-11-06,705.55,หน้าร้าน,เว็บ,0.2911,0
TX-103367,2025-11-10,7347.95,ต่างประเทศ,มือถือ,0.158,0
TX-100093,2025-11-07,812.84,ออนไลน์,เว็บ,0.0246,0
TX-119940,2025-11-18,3876.78,ต่างประเทศ,เว็บ,0.0761,0
TX-119536,2025-10-07,544.89,ต่างประเทศ,เว็บ,0.1947,0
TX-105864,2025-10-12,981.97,ออนไลน์,มือถือ,0.0513,0
TX-117793,2025-10-30,2101.42,หน้าร้าน,มือถือ,0.3657,0
TX-108937,2025-10-08,713.66,หน้าร้าน,สาขา,0.0945,0
TX-107294,2025-10-12,1681.07,ออนไลน์,บัตร,0.1363,0
TX-110804,2025-11-15,3577.84,ออนไลน์,บัตร,0.165,0
TX-112487,2025-11-26,687.03,ตู้เอทีเอ็ม,สาขา,0.2015,0
TX-114652,2025-10-06,8508.48,ต่างประเทศ,มือถือ,0.1275,0
TX-118544,2025-11-16,612.15,หน้าร้าน,มือถือ,0.2112,0
TX-103982,2025-10-03,302.84,ออนไลน์,บัตร,0.1357,0
TX-105840,2025-11-28,814.92,ต่างประเทศ,เว็บ,0.1857,0
TX-117514,2025-11-05,2449.14,ต่างประเทศ,เว็บ,0.3765,0
TX-103204,2025-10-31,164.81,ตู้เอทีเอ็ม,มือถือ,0.1006,0
TX-106711,2025-10-14,2514.50,ออนไลน์,เว็บ,0.2137,0
TX-104195,2025-11-10,1893.47,ออนไลน์,มือถือ,0.137,0
TX-115628,2025-11-21,1195.50,ตู้เอทีเอ็ม,บัตร,0.4789,0
TX-119422,2025-10-18,963.11,หน้าร้าน,มือถือ,0.1002,0
TX-103730,2025-11-02,861.31,ตู้เอทีเอ็ม,บัตร,0.326,0
TX-112306,2025-11-28,892.35,หน้าร้าน,บัตร,0.0472,0
TX-102863,2025-10-26,2070.22,ออนไลน์,มือถือ,0.2135,0
TX-116052,2025-11-25,1623.00,ต่างประเทศ,บัตร,0.9384,1
TX-107265,2025-10-07,1249.95,ตู้เอทีเอ็ม,มือถือ,0.249,0
TX-117610,2025-11-24,1115.71,ต่างประเทศ,บัตร,0.0442,0
TX-102775,2025-10-05,498.60,ต่างประเทศ,เว็บ,0.1277,0
TX-111560,2025-11-27,1271.30,หน้าร้าน,สาขา,0.2678,0
TX-116914,2025-10-16,9311.45,ออนไลน์,เว็บ,0.1298,0
TX-117830,2025-10-30,923.57,หน้าร้าน,มือถือ,0.2547,0
TX-109752,2025-10-06,1307.83,ตู้เอทีเอ็ม,บัตร,0.356,0
TX-117904,2025-11-25,870.77,ตู้เอทีเอ็ม,มือถือ,0.6924,1
TX-116743,2025-11-22,379.15,หน้าร้าน,บัตร,0.5135,0
TX-103570,2025-11-08,7063.51,ออนไลน์,เว็บ,0.1033,0
TX-113748,2025-10-08,241.99,ออนไลน์,มือถือ,0.0969,0
TX-119127,2025-11-12,1797.43,หน้าร้าน,เว็บ,0.0503,0
TX-114861,2025-10-04,1202.92,ต่างประเทศ,มือถือ,0.1901,0
TX-117234,2025-11-14,1485.04,ออนไลน์,สาขา,0.2229,0
TX-106984,2025-11-07,844.13,ต่างประเทศ,สาขา,0.4981,0
TX-112834,2025-11-17,6895.38,ตู้เอทีเอ็ม,เว็บ,0.1152,0
TX-118411,2025-11-18,531.51,ออนไลน์,เว็บ,0.2117,0
TX-105426,2025-11-27,451.65,ออนไลน์,เว็บ,0.0499,0
TX-107939,2025-11-22,2665.25,ตู้เอทีเอ็ม,เว็บ,0.0894,0
TX-113042,2025-10-12,1271.20,ออนไลน์,บัตร,0.0756,0
TX-108659,2025-10-22,5766.01,ออนไลน์,เว็บ,0.1248,0
TX-100565,2025-11-24,1396.01,ตู้เอทีเอ็ม,บัตร,0.2039,0
TX-109828,2025-11-19,8511.88,หน้าร้าน,สาขา,0.1798,0
TX-107155,2025-11-25,3035.59,หน้าร้าน,สาขา,0.0636,0
TX-113915,2025-11-23,645.21,ออนไลน์,เว็บ,0.0507,0
TX-114960,2025-10-02,1474.32,ออนไลน์,สาขา,0.1173,0
TX-111077,2025-10-29,4619.95,ตู้เอทีเอ็ม,เว็บ,0.111,0
TX-116854,2025-10-20,646.45,หน้าร้าน,มือถือ,0.0878,0
TX-119936,2025-10-31,956.57,ออนไลน์,เว็บ,0.2095,0
TX-104978,2025-10-28,2206.81,ตู้เอทีเอ็ม,สาขา,0.1938,0
TX-117282,2025-11-28,510.36,ตู้เอทีเอ็ม,เว็บ,0.1628,0
TX-113860,2025-10-14,841.92,หน้าร้าน,บัตร,0.0642,0
TX-106287,2025-11-22,417.27,ต่างประเทศ,มือถือ,0.0732,0
TX-101129,2025-11-12,7664.26,ต่างประเทศ,สาขา,0.1446,0
TX-117225,2025-11-08,19908.39,หน้าร้าน,สาขา,0.072,0
TX-102326,2025-10-06,1894.92,ต่างประเทศ,บัตร,0.1233,0
TX-114458,2025-10-11,1302.88,หน้าร้าน,สาขา,0.1935,0
TX-114100,2025-10-11,386.63,ออนไลน์,มือถือ,0.0501,0
TX-106010,2025-11-11,1494.39,หน้าร้าน,บัตร,0.0784,0
TX-119177,2025-11-11,573.64,ตู้เอทีเอ็ม,สาขา,0.2421,0
TX-115295,2025-11-17,293.78,ต่างประเทศ,บัตร,0.0968,0
TX-118918,2025-11-20,670.08,หน้าร้าน,มือถือ,0.1505,0
TX-100952,2025-11-05,1273.09,ต่างประเทศ,บัตร,0.1705,0
TX-105332,2025-10-02,480.50,ออนไลน์,มือถือ,0.0919,0
TX-114041,2025-10-27,828.22,ออนไลน์,บัตร,0.0561,0
TX-115389,2025-10-03,3153.54,หน้าร้าน,มือถือ,0.1216,0
TX-102740,2025-10-26,1113.67,ตู้เอทีเอ็ม,เว็บ,0.0915,0
TX-108175,2025-11-23,1306.25,ต่างประเทศ,สาขา,0.0342,0
TX-115814,2025-10-15,1222.18,ต่างประเทศ,สาขา,0.0858,0
TX-108476,2025-10-14,662.52,ต่างประเทศ,มือถือ,0.1408,0
TX-118576,2025-10-05,1885.41,ต่างประเทศ,สาขา,0.1237,0
TX-115782,2025-10-10,5707.46,ออนไลน์,บัตร,0.1502,0
TX-100416,2025-10-20,2378.61,หน้าร้าน,เว็บ,0.0902,0
TX-119384,2025-10-28,377.69,ต่างประเทศ,บัตร,0.1666,0
TX-109207,2025-11-08,181.11,หน้าร้าน,บัตร,0.1327,0
TX-107020,2025-10-27,4110.05,ตู้เอทีเอ็ม,เว็บ,0.2816,0
TX-102520,2025-10-19,477.70,หน้าร้าน,มือถือ,0.2799,0
TX-119154,2025-10-13,666.42,ตู้เอทีเอ็ม,มือถือ,0.2167,0
TX-102994,2025-11-21,300.51,ออนไลน์,สาขา,0.1633,0
TX-105205,2025-11-24,443.34,ออนไลน์,บัตร,0.1055,0
TX-107668,2025-10-20,524.86,ออนไลน์,เว็บ,0.0759,0
TX-104834,2025-10-01,1414.58,ตู้เอทีเอ็ม,บัตร,0.1076,0
TX-114113,2025-10-10,1199.56,ออนไลน์,มือถือ,0.2823,0
TX-104974,2025-11-07,454.22,ออนไลน์,บัตร,0.2752,0
TX-113519,2025-11-06,1659.06,หน้าร้าน,บัตร,0.1174,0
TX-116857,2025-10-04,3923.38,หน้าร้าน,เว็บ,0.1379,0
TX-100805,2025-10-26,1006.51,ต่างประเทศ,เว็บ,0.21,0
TX-119144,2025-10-15,966.07,ตู้เอทีเอ็ม,เว็บ,0.1875,0
TX-107898,2025-10-05,555.63,หน้าร้าน,เว็บ,0.0677,0
TX-118335,2025-10-22,2227.67,ต่างประเทศ,บัตร,0.1139,0
TX-102587,2025-11-15,337.53,ตู้เอทีเอ็ม,มือถือ,0.1888,0
TX-114492,2025-11-08,1214.75,หน้าร้าน,เว็บ,0.1681,0
TX-101455,2025-11-12,268.22,ต่างประเทศ,สาขา,0.1935,0
TX-114025,2025-11-12,908.48,ต่างประเทศ,สาขา,0.1438,0
TX-108230,2025-11-17,922.87,หน้าร้าน,สาขา,0.0173,0
TX-101242,2025-11-16,6078.12,ตู้เอทีเอ็ม,เว็บ,0.1732,0
TX-112700,2025-11-04,3076.32,ตู้เอทีเอ็ม,บัตร,0.1601,0
TX-102867,2025-11-24,1901.01,หน้าร้าน,บัตร,0.0256,0
TX-117270,2025-10-05,820.63,หน้าร้าน,สาขา,0.2575,0
TX-100531,2025-11-24,1035.85,หน้าร้าน,เว็บ,0.2114,0
TX-107078,2025-10-22,888.51,ตู้เอทีเอ็ม,เว็บ,0.1806,0
TX-104455,2025-10-10,4191.72,หน้าร้าน,สาขา,0.0362,0
TX-101966,2025-10-14,1340.30,ต่างประเทศ,สาขา,0.3248,0
TX-105071,2025-10-23,9707.72,ต่างประเทศ,สาขา,0.1541,0
TX-106673,2025-10-29,925.46,ต่างประเทศ,สาขา,0.2784,0
TX-116721,2025-10-20,857.78,ต่างประเทศ,มือถือ,0.0827,0
TX-113308,2025-10-29,1748.16,ตู้เอทีเอ็ม,บัตร,0.9109,1
TX-115755,2025-11-15,7534.34,ตู้เอทีเอ็ม,สาขา,0.1346,0
TX-104412,2025-10-31,2022.69,ต่างประเทศ,สาขา,0.2429,0
TX-105408,2025-10-23,5464.84,ตู้เอทีเอ็ม,มือถือ,0.0997,0
TX-108286,2025-11-15,385.97,หน้าร้าน,สาขา,0.0524,0
TX-119219,2025-11-02,1750.66,ต่างประเทศ,มือถือ,0.5953,1
TX-115655,2025-11-29,2935.61,หน้าร้าน,บัตร,0.147,0
TX-100332,2025-11-19,250.26,ต่างประเทศ,บัตร,0.0118,0
TX-111369,2025-10-31,1017.15,ตู้เอทีเอ็ม,สาขา,0.0378,0
TX-105339,2025-10-01,630.09,ตู้เอทีเอ็ม,สาขา,0.2179,0
TX-117976,2025-10-16,1783.45,หน้าร้าน,เว็บ,0.0358,0
TX-105655,2025-10-14,1817.22,ตู้เอทีเอ็ม,เว็บ,0.2874,0
TX-113413,2025-11-17,1893.03,หน้าร้าน,บัตร,0.2453,0
TX-104587,2025-11-11,1757.39,ต่างประเทศ,สาขา,0.1042,0
TX-118587,2025-10-13,951.28,ออนไลน์,สาขา,0.1124,0
TX-110347,2025-11-22,4590.27,ตู้เอทีเอ็ม,บัตร,0.3288,0
TX-109173,2025-10-20,13943.32,ออนไลน์,สาขา,0.2934,0
TX-114958,2025-11-06,465.90,ต่างประเทศ,มือถือ,0.024,0
TX-107241,2025-11-29,1296.64,หน้าร้าน,มือถือ,0.1137,0
TX-108806,2025-11-08,840.95,ต่างประเทศ,สาขา,0.0316,0
TX-116727,2025-11-09,886.78,ออนไลน์,มือถือ,0.0757,0
TX-116435,2025-10-30,733.41,หน้าร้าน,มือถือ,0.0807,0
TX-100654,2025-10-04,114.03,หน้าร้าน,มือถือ,0.8124,1
TX-100730,2025-10-21,480.17,ออนไลน์,เว็บ,0.1147,0
TX-114099,2025-11-12,1924.78,ตู้เอทีเอ็ม,เว็บ,0.2226,0
TX-119171,2025-10-07,1519.91,หน้าร้าน,มือถือ,0.2145,0
TX-105259,2025-10-26,3779.39,ออนไลน์,บัตร,0.1995,0
TX-117497,2025-11-23,2485.11,ตู้เอทีเอ็ม,เว็บ,0.18,0
TX-102305,2025-10-12,557.05,ตู้เอทีเอ็ม,บัตร,0.2164,0
TX-112265,2025-11-05,98.73,ต่างประเทศ,สาขา,0.2393,0
TX-112477,2025-10-16,1292.93,หน้าร้าน,บัตร,0.191,0
TX-117656,2025-11-18,1524.16,ต่างประเทศ,สาขา,0.7125,1
TX-103618,2025-10-06,497.04,ออนไลน์,สาขา,0.1635,0
TX-102339,2025-10-20,795.44,หน้าร้าน,เว็บ,0.2137,0
TX-109385,2025-10-20,224.58,ต่างประเทศ,มือถือ,0.0136,0
TX-108951,2025-10-23,395.80,ต่างประเทศ,มือถือ,0.3126,0
TX-113863,2025-11-06,613.97,ตู้เอทีเอ็ม,สาขา,0.0425,0
TX-106913,2025-10-17,5061.67,ตู้เอทีเอ็ม,มือถือ,0.1164,0
TX-110971,2025-10-15,2577.26,หน้าร้าน,สาขา,0.1933,0
TX-116906,2025-10-07,5205.14,ต่างประเทศ,สาขา,0.416,0
TX-115632,2025-11-24,1715.26,ตู้เอทีเอ็ม,บัตร,0.2188,0
TX-105031,2025-11-07,3572.39,ตู้เอทีเอ็ม,เว็บ,0.3314,0
TX-113027,2025-10-31,694.89,ต่างประเทศ,บัตร,0.4674,0
TX-112187,2025-10-09,1065.42,ตู้เอทีเอ็ม,บัตร,0.0701,0
TX-105578,2025-11-01,290.01,หน้าร้าน,สาขา,0.1957,0
TX-109625,2025-10-23,4530.79,หน้าร้าน,สาขา,0.1599,0
TX-119359,2025-10-01,75.84,หน้าร้าน,บัตร,0.1664,0
TX-117958,2025-11-19,5214.91,หน้าร้าน,มือถือ,0.0065,0
TX-104236,2025-10-10,1298.69,ออนไลน์,สาขา,0.2609,0
TX-116218,2025-11-05,3744.75,ต่างประเทศ,บัตร,0.0515,0
TX-108330,2025-11-01,1935.50,หน้าร้าน,บัตร,0.146,0
TX-118850,2025-10-21,837.92,ต่างประเทศ,สาขา,0.1779,0
TX-117083,2025-10-31,320.75,ต่างประเทศ,เว็บ,0.0877,0
TX-106739,2025-11-11,5744.40,ต่างประเทศ,เว็บ,0.0396,0
TX-105609,2025-11-13,1382.01,ต่างประเทศ,บัตร,0.0786,0
TX-116025,2025-11-07,47588.10,ออนไลน์,มือถือ,0.4517,0
TX-102893,2025-10-01,700.79,ตู้เอทีเอ็ม,เว็บ,0.0621,0
TX-102735,2025-10-28,909.74,หน้าร้าน,สาขา,0.2425,0
TX-109027,2025-11-18,1281.78,ตู้เอทีเอ็ม,มือถือ,0.3312,0
TX-119886,2025-10-07,4481.22,หน้าร้าน,สาขา,0.0507,0
TX-102916,2025-10-05,16808.83,ออนไลน์,บัตร,0.2314,0
TX-106063,2025-10-04,3934.23,ตู้เอทีเอ็ม,มือถือ,0.9564,1
TX-109199,2025-11-15,1147.05,ต่างประเทศ,มือถือ,0.2281,0
TX-107194,2025-11-13,715.97,ต่างประเทศ,เว็บ,0.196,0
TX-101479,2025-10-31,1790.08,ตู้เอทีเอ็ม,บัตร,0.1081,0
TX-110842,2025-10-15,589.72,ตู้เอทีเอ็ม,บัตร,0.2463,0
TX-111411,2025-11-14,773.89,ต่างประเทศ,เว็บ,0.1654,0
TX-111453,2025-11-17,114.76,หน้าร้าน,บัตร,0.5508,0
TX-115733,2025-10-23,1289.38,ตู้เอทีเอ็ม,เว็บ,0.0447,0
TX-103029,2025-10-23,423.55,ตู้เอทีเอ็ม,สาขา,0.2859,0
TX-105176,2025-11-18,4317.11,ต่างประเทศ,บัตร,0.0791,0
TX-103837,2025-11-03,878.22,ตู้เอทีเอ็ม,เว็บ,0.0178,0
TX-108294,2025-10-29,845.80,ต่างประเทศ,สาขา,0.1717,0
TX-102405,2025-11-21,166.12,ออนไลน์,มือถือ,0.1159,0
TX-106731,2025-11-17,6219.78,ออนไลน์,บัตร,0.0015,0
TX-111434,2025-10-07,8376.69,ตู้เอทีเอ็ม,บัตร,0.018,0
TX-100055,2025-10-29,2282.34,ต่างประเทศ,สาขา,0.2556,0
TX-101666,2025-11-06,333.23,ต่างประเทศ,เว็บ,0.1286,0
TX-101198,2025-11-20,4574.03,ตู้เอทีเอ็ม,บัตร,0.2667,0
TX-100199,2025-11-16,3972.75,ตู้เอทีเอ็ม,เว็บ,0.1203,0
TX-119470,2025-10-15,380.76,หน้าร้าน,เว็บ,0.0986,0
TX-116678,2025-11-15,794.67,ออนไลน์,มือถือ,0.1382,0
TX-105043,2025-10-27,2226.69,ตู้เอทีเอ็ม,สาขา,0.0289,0
TX-100038,2025-10-15,11025.98,หน้าร้าน,เว็บ,0.1888,0
TX-107218,2025-10-15,705.53,ออนไลน์,สาขา,0.252,0
TX-100811,2025-11-07,9026.24,ตู้เอทีเอ็ม,บัตร,0.0231,0
TX-112097,2025-10-06,1987.84,ออนไลน์,เว็บ,0.2961,0
TX-108156,2025-10-05,1120.21,ต่างประเทศ,สาขา,0.0994,0
TX-102954,2025-11-16,2135.54,ต่างประเทศ,เว็บ,0.3628,0
TX-115769,2025-11-18,1671.65,หน้าร้าน,บัตร,0.0159,0
TX-109974,2025-10-25,1196.59,ตู้เอทีเอ็ม,สาขา,0.0513,0
TX-117927,2025-11-22,306.64,หน้าร้าน,มือถือ,0.1725,0
TX-114988,2025-11-18,443.35,ต่างประเทศ,สาขา,0.192,0
TX-103657,2025-10-15,1672.52,ต่างประเทศ,สาขา,0.053,0
TX-117983,2025-11-12,281.89,ออนไลน์,บัตร,0.218,0
TX-113267,2025-10-03,12621.09,หน้าร้าน,บัตร,0.1944,0
TX-113412,2025-11-29,1143.67,หน้าร้าน,สาขา,0.2374,0
TX-116532,2025-11-03,2061.08,หน้าร้าน,บัตร,0.5898,0
TX-100379,2025-11-02,2018.02,ต่างประเทศ,เว็บ,0.1197,0
TX-102571,2025-10-18,955.87,ตู้เอทีเอ็ม,มือถือ,0.3143,0
TX-117235,2025-11-18,1386.24,ตู้เอทีเอ็ม,สาขา,0.0953,0
TX-102082,2025-10-08,182.25,ตู้เอทีเอ็ม,มือถือ,0.2622,0
TX-108446,2025-10-10,674.18,หน้าร้าน,เว็บ,0.0551,0
TX-112784,2025-10-31,917.40,ออนไลน์,สาขา,0.0259,0
TX-109354,2025-10-03,1284.74,ต่างประเทศ,สาขา,0.1012,0
TX-116737,2025-10-22,414.12,ต่างประเทศ,บัตร,0.056,0
TX-111967,2025-11-05,12568.55,หน้าร้าน,มือถือ,0.0939,0
TX-102716,2025-11-01,6755.46,ตู้เอทีเอ็ม,มือถือ,0.2421,0
TX-100121,2025-10-19,1269.11,ตู้เอทีเอ็ม,บัตร,0.2862,0
TX-108112,2025-10-12,539.02,ตู้เอทีเอ็ม,บัตร,0.0344,0
TX-118788,2025-10-01,246.40,ออนไลน์,มือถือ,0.4335,0
TX-105325,2025-10-26,832.53,ต่างประเทศ,มือถือ,0.1159,0
TX-101960,2025-10-25,635.33,หน้าร้าน,สาขา,0.1658,0
TX-115993,2025-10-14,10081.74,ตู้เอทีเอ็ม,เว็บ,0.1931,0
TX-106950,2025-11-16,3176.47,ออนไลน์,สาขา,0.0172,0
TX-109410,2025-10-06,4369.76,หน้าร้าน,เว็บ,0.2267,0
TX-113078,2025-11-01,548.85,ออนไลน์,บัตร,0.1455,0
TX-104287,2025-10-06,971.93,ออนไลน์,สาขา,0.0715,0
TX-103052,2025-10-26,1979.24,ตู้เอทีเอ็ม,สาขา,0.3501,0
TX-107690,2025-11-12,4012.34,ออนไลน์,สาขา,0.0903,0
TX-113789,2025-11-12,973.49,หน้าร้าน,บัตร,0.1149,0
TX-106952,2025-11-28,338.34,ออนไลน์,เว็บ,0.0747,0
TX-102092,2025-11-14,449.71,ตู้เอทีเอ็ม,มือถือ,0.0401,0
TX-112005,2025-10-28,722.88,หน้าร้าน,บัตร,0.1161,0
TX-116939,2025-11-03,202.89,หน้าร้าน,เว็บ,0.0618,0
TX-115035,2025-11-24,1383.38,ตู้เอทีเอ็ม,สาขา,0.2926,0
TX-105908,2025-11-29,704.72,หน้าร้าน,มือถือ,0.0976,0
TX-107113,2025-10-08,766.92,หน้าร้าน,สาขา,0.0406,0
TX-116454,2025-10-12,396.04,ออนไลน์,บัตร,0.0966,0
TX-101011,2025-10-23,1470.64,ตู้เอทีเอ็ม,มือถือ,0.0873,0
TX-114574,2025-10-05,1718.09,ตู้เอทีเอ็ม,เว็บ,0.1493,0
TX-118655,2025-10-07,6289.24,หน้าร้าน,บัตร,0.1935,0
TX-107163,2025-10-01,15187.98,หน้าร้าน,มือถือ,0.3302,0
TX-107811,2025-11-02,1393.15,ตู้เอทีเอ็ม,มือถือ,0.1132,0
TX-105152,2025-10-30,1461.84,ออนไลน์,เว็บ,0.0713,0
TX-117420,2025-10-29,8932.44,หน้าร้าน,เว็บ,0.1685,0
TX-100046,2025-10-16,950.50,ตู้เอทีเอ็ม,มือถือ,0.2123,0
TX-116783,2025-10-08,445.85,ต่างประเทศ,มือถือ,0.0274,0
TX-119987,2025-10-20,1911.50,ต่างประเทศ,บัตร,0.2782,0
TX-103769,2025-11-28,2972.05,ออนไลน์,บัตร,0.2729,0
TX-105322,2025-10-06,15009.38,ตู้เอทีเอ็ม,สาขา,0.0244,0
TX-113435,2025-10-15,3975.46,ตู้เอทีเอ็ม,มือถือ,0.0647,0
TX-105941,2025-10-25,5842.21,ออนไลน์,สาขา,0.1201,0
TX-101360,2025-11-01,154.61,ตู้เอทีเอ็ม,เว็บ,0.0272,0
TX-104381,2025-10-19,133.75,ตู้เอทีเอ็ม,เว็บ,0.1636,0
TX-108640,2025-11-19,4896.03,ต่างประเทศ,บัตร,0.2028,0
TX-119856,2025-11-05,1624.64,ตู้เอทีเอ็ม,เว็บ,0.2066,0
TX-103065,2025-10-02,1552.96,ตู้เอทีเอ็ม,สาขา,0.1298,0
TX-116164,2025-10-08,5244.50,ตู้เอทีเอ็ม,มือถือ,0.2322,0
TX-112317,2025-10-20,236.35,หน้าร้าน,มือถือ,0.215,0
TX-118852,2025-11-11,530.55,ตู้เอทีเอ็ม,บัตร,0.1405,0
TX-105013,2025-10-15,4684.76,ออนไลน์,บัตร,0.2523,0
TX-106062,2025-10-10,656.71,ตู้เอทีเอ็ม,สาขา,0.0946,0
TX-112380,2025-11-22,1785.14,หน้าร้าน,บัตร,0.1328,0
TX-107766,2025-10-18,220.38,ออนไลน์,สาขา,0.0506,0
TX-117977,2025-11-27,899.89,ตู้เอทีเอ็ม,สาขา,0.0309,0
TX-108839,2025-11-25,1116.85,ตู้เอทีเอ็ม,บัตร,0.2787,0
TX-106912,2025-11-03,559.30,ออนไลน์,บัตร,0.078,0
TX-115447,2025-11-13,2158.29,ต่างประเทศ,เว็บ,0.2422,0
TX-108147,2025-11-01,3382.27,หน้าร้าน,บัตร,0.0253,0
TX-100855,2025-11-10,1304.68,ต่างประเทศ,มือถือ,0.0899,0
TX-108374,2025-10-30,302.93,ตู้เอทีเอ็ม,เว็บ,0.1444,0
TX-115356,2025-10-30,2197.98,ต่างประเทศ,สาขา,0.1461,0
TX-107879,2025-10-05,246.09,ต่างประเทศ,เว็บ,0.0244,0
TX-103987,2025-10-23,685.96,หน้าร้าน,บัตร,0.0467,0
TX-102499,2025-10-30,4104.21,ตู้เอทีเอ็ม,สาขา,0.2464,0
TX-102363,2025-10-16,1284.25,ตู้เอทีเอ็ม,บัตร,0.1168,0
TX-115320,2025-11-08,2677.55,ตู้เอทีเอ็ม,เว็บ,0.1127,0
TX-103642,2025-11-08,853.32,ตู้เอทีเอ็ม,เว็บ,0.1104,0
TX-109082,2025-11-23,1421.40,หน้าร้าน,เว็บ,0.0634,0
TX-110488,2025-10-05,574.46,ตู้เอทีเอ็ม,มือถือ,0.2033,0
TX-112642,2025-11-06,35215.09,หน้าร้าน,มือถือ,0.0322,0
TX-108688,2025-11-01,2843.41,ออนไลน์,บัตร,0.1627,0
TX-103440,2025-10-28,1017.76,ต่างประเทศ,บัตร,0.0283,0
TX-115797,2025-11-07,261.40,ตู้เอทีเอ็ม,มือถือ,0.2271,0
TX-110436,2025-10-17,881.51,ตู้เอทีเอ็ม,มือถือ,0.1018,0
TX-102547,2025-10-01,4400.43,ตู้เอทีเอ็ม,มือถือ,0.2027,0
