session_id,period,session_date,device,campaign,minutes_on_site,converted
S-014243,2025-Q2,2025-06-11,Desktop,ตรงเข้าเว็บ,1.7,1
S-002894,2025-Q1,2025-03-03,Mobile,อีเมล,9.2,0
S-010154,2025-Q2,2025-06-15,Mobile,อีเมล,8.6,0
S-008654,2025-Q1,2025-01-09,Desktop,ตรงเข้าเว็บ,10.9,0
S-016272,2025-Q2,2025-05-20,Desktop,ตรงเข้าเว็บ,1.2,1
S-015788,2025-Q2,2025-04-16,Desktop,อีเมล,3.1,0
S-019819,2025-Q2,2025-04-04,Desktop,อีเมล,8.8,1
S-008761,2025-Q1,2025-03-30,Desktop,ตรงเข้าเว็บ,9.2,0
S-018066,2025-Q2,2025-05-24,Desktop,ตรงเข้าเว็บ,2.7,1
S-019483,2025-Q2,2025-06-14,Desktop,โฆษณาโซเชียล,7.2,0
S-012621,2025-Q2,2025-05-13,Mobile,โฆษณาโซเชียล,11.6,0
S-003328,2025-Q1,2025-01-09,Mobile,ค้นหา,9.4,0
S-015423,2025-Q2,2025-06-27,Desktop,อีเมล,8.2,1
S-004151,2025-Q1,2025-03-08,Mobile,โฆษณาโซเชียล,6.8,0
S-015182,2025-Q2,2025-05-13,Desktop,โฆษณาโซเชียล,1.9,0
S-018497,2025-Q2,2025-04-01,Desktop,อีเมล,1.5,0
S-008663,2025-Q1,2025-03-17,Desktop,ตรงเข้าเว็บ,4.7,1
S-015573,2025-Q2,2025-05-18,Desktop,ค้นหา,1.5,1
S-000444,2025-Q1,2025-01-01,Mobile,อีเมล,0.9,0
S-002239,2025-Q1,2025-01-28,Mobile,ตรงเข้าเว็บ,3.6,0
S-004616,2025-Q1,2025-01-02,Mobile,อีเมล,8.4,0
S-015015,2025-Q2,2025-06-24,Desktop,ค้นหา,11.2,0
S-016026,2025-Q2,2025-06-10,Desktop,ตรงเข้าเว็บ,1.2,0
S-002429,2025-Q1,2025-01-25,Mobile,โฆษณาโซเชียล,3.6,0
S-004850,2025-Q1,2025-01-15,Mobile,ค้นหา,9.7,0
S-018013,2025-Q2,2025-05-30,Desktop,อีเมล,5.2,0
S-004111,2025-Q1,2025-01-25,Mobile,อีเมล,8.5,0
S-018536,2025-Q2,2025-04-20,Desktop,โฆษณาโซเชียล,2.8,0
S-007378,2025-Q1,2025-02-17,Mobile,ค้นหา,1.8,0
S-009606,2025-Q1,2025-01-02,Desktop,โฆษณาโซเชียล,2.9,0
S-005865,2025-Q1,2025-03-21,Mobile,ค้นหา,6.7,0
S-014318,2025-Q2,2025-06-18,Desktop,ตรงเข้าเว็บ,4.5,0
S-012528,2025-Q2,2025-05-08,Mobile,ค้นหา,4.6,0
S-011338,2025-Q2,2025-05-17,Mobile,ตรงเข้าเว็บ,11.0,0
S-019627,2025-Q2,2025-06-03,Desktop,อีเมล,3.7,0
S-016408,2025-Q2,2025-04-01,Desktop,โฆษณาโซเชียล,3.1,1
S-013192,2025-Q2,2025-04-26,Desktop,โฆษณาโซเชียล,2.5,0
S-012719,2025-Q2,2025-05-08,Mobile,ค้นหา,8.3,0
S-014432,2025-Q2,2025-04-02,Desktop,ค้นหา,6.8,0
S-016795,2025-Q2,2025-05-11,Desktop,ค้นหา,9.8,1
S-017794,2025-Q2,2025-06-06,Desktop,ตรงเข้าเว็บ,10.9,1
S-019725,2025-Q2,2025-04-12,Desktop,โฆษณาโซเชียล,1.5,0
S-018192,2025-Q2,2025-06-21,Desktop,ค้นหา,3.8,0
S-005168,2025-Q1,2025-02-06,Mobile,อีเมล,11.8,0
S-001524,2025-Q1,2025-03-26,Mobile,โฆษณาโซเชียล,1.0,0
S-015883,2025-Q2,2025-06-04,Desktop,ตรงเข้าเว็บ,10.5,1
S-008295,2025-Q1,2025-03-04,Desktop,ค้นหา,6.2,1
S-011436,2025-Q2,2025-04-20,Mobile,ตรงเข้าเว็บ,1.3,0
S-010129,2025-Q2,2025-04-04,Mobile,ตรงเข้าเว็บ,11.8,0
S-000696,2025-Q1,2025-01-20,Mobile,โฆษณาโซเชียล,7.4,0
S-008122,2025-Q1,2025-01-30,Desktop,อีเมล,7.2,1
S-018127,2025-Q2,2025-04-21,Desktop,โฆษณาโซเชียล,5.4,1
S-004529,2025-Q1,2025-03-17,Mobile,โฆษณาโซเชียล,7.6,0
S-009796,2025-Q1,2025-01-05,Desktop,โฆษณาโซเชียล,11.5,0
S-015658,2025-Q2,2025-06-10,Desktop,ค้นหา,10.8,0
S-018282,2025-Q2,2025-05-29,Desktop,โฆษณาโซเชียล,7.6,1
S-004254,2025-Q1,2025-01-14,Mobile,อีเมล,1.5,0
S-012805,2025-Q2,2025-06-01,Mobile,ค้นหา,7.5,1
S-004048,2025-Q1,2025-01-26,Mobile,โฆษณาโซเชียล,11.8,0
S-003171,2025-Q1,2025-02-25,Mobile,ค้นหา,11.2,0
S-009667,2025-Q1,2025-03-30,Desktop,โฆษณาโซเชียล,0.7,0
S-000449,2025-Q1,2025-01-05,Mobile,ค้นหา,8.4,0
S-006490,2025-Q1,2025-01-20,Mobile,ค้นหา,8.1,0
S-016227,2025-Q2,2025-05-14,Desktop,ค้นหา,5.6,1
S-010708,2025-Q2,2025-06-17,Mobile,โฆษณาโซเชียล,2.2,0
S-016655,2025-Q2,2025-05-25,Desktop,อีเมล,4.1,0
S-017077,2025-Q2,2025-06-13,Desktop,ค้นหา,2.6,0
S-012866,2025-Q2,2025-06-26,Mobile,ตรงเข้าเว็บ,10.3,0
S-012129,2025-Q2,2025-05-05,Mobile,อีเมล,8.0,0
S-000377,2025-Q1,2025-01-01,Mobile,ตรงเข้าเว็บ,2.4,0
S-007258,2025-Q1,2025-01-09,Mobile,อีเมล,8.9,0
S-011049,2025-Q2,2025-06-17,Mobile,ตรงเข้าเว็บ,5.5,0
S-019218,2025-Q2,2025-05-17,Desktop,ค้นหา,6.3,0
S-016951,2025-Q2,2025-05-07,Desktop,อีเมล,6.7,0
S-016496,2025-Q2,2025-04-13,Desktop,โฆษณาโซเชียล,9.4,1
S-019698,2025-Q2,2025-05-17,Desktop,โฆษณาโซเชียล,8.3,0
S-011510,2025-Q2,2025-04-26,Mobile,ค้นหา,10.1,1
S-011962,2025-Q2,2025-04-30,Mobile,โฆษณาโซเชียล,4.4,0
S-010653,2025-Q2,2025-04-28,Mobile,ตรงเข้าเว็บ,9.9,0
S-010473,2025-Q2,2025-06-28,Mobile,อีเมล,3.7,0
S-016531,2025-Q2,2025-04-08,Desktop,โฆษณาโซเชียล,3.2,1
S-018587,2025-Q2,2025-06-26,Desktop,ตรงเข้าเว็บ,11.0,0
S-009227,2025-Q1,2025-02-05,Desktop,ตรงเข้าเว็บ,1.0,1
S-011439,2025-Q2,2025-04-15,Mobile,ค้นหา,2.6,0
S-018445,2025-Q2,2025-05-19,Desktop,อีเมล,4.9,1
S-004742,2025-Q1,2025-01-02,Mobile,อีเมล,7.0,0
S-015467,2025-Q2,2025-04-28,Desktop,อีเมล,6.6,1
S-001778,2025-Q1,2025-03-08,Mobile,โฆษณาโซเชียล,7.0,1
S-015342,2025-Q2,2025-04-27,Desktop,อีเมล,7.0,0
S-001314,2025-Q1,2025-03-12,Mobile,อีเมล,1.2,0
S-000172,2025-Q1,2025-01-19,Mobile,ค้นหา,11.3,0
S-013683,2025-Q2,2025-05-11,Desktop,อีเมล,1.2,1
S-013733,2025-Q2,2025-04-10,Desktop,อีเมล,9.6,0
S-008884,2025-Q1,2025-03-18,Desktop,ค้นหา,5.2,1
S-002207,2025-Q1,2025-03-11,Mobile,ตรงเข้าเว็บ,1.9,0
S-015937,2025-Q2,2025-06-05,Desktop,ตรงเข้าเว็บ,10.9,0
S-014692,2025-Q2,2025-06-08,Desktop,ค้นหา,7.2,0
S-006745,2025-Q1,2025-01-06,Mobile,ค้นหา,1.1,0
S-005009,2025-Q1,2025-02-21,Mobile,ค้นหา,5.2,0
S-001966,2025-Q1,2025-01-24,Mobile,อีเมล,9.1,0
S-005949,2025-Q1,2025-01-23,Mobile,ตรงเข้าเว็บ,8.0,0
S-007332,2025-Q1,2025-01-30,Mobile,ตรงเข้าเว็บ,11.1,0
S-003173,2025-Q1,2025-02-03,Mobile,ตรงเข้าเว็บ,11.4,0
S-013825,2025-Q2,2025-05-26,Desktop,โฆษณาโซเชียล,1.3,1
S-003833,2025-Q1,2025-01-03,Mobile,ค้นหา,8.1,0
S-011308,2025-Q2,2025-06-02,Mobile,ค้นหา,7.7,0
S-009874,2025-Q1,2025-02-12,Desktop,อีเมล,11.0,1
S-015528,2025-Q2,2025-06-13,Desktop,โฆษณาโซเชียล,6.4,0
S-008956,2025-Q1,2025-03-19,Desktop,ตรงเข้าเว็บ,9.8,0
S-006243,2025-Q1,2025-01-19,Mobile,ค้นหา,6.6,0
S-019300,2025-Q2,2025-06-14,Desktop,โฆษณาโซเชียล,2.1,1
S-015286,2025-Q2,2025-04-24,Desktop,ค้นหา,1.4,1
S-000140,2025-Q1,2025-01-30,Mobile,โฆษณาโซเชียล,1.7,1
S-002459,2025-Q1,2025-01-04,Mobile,อีเมล,7.5,0
S-002216,2025-Q1,2025-03-08,Mobile,อีเมล,1.5,0
S-017452,2025-Q2,2025-04-15,Desktop,โฆษณาโซเชียล,5.0,0
S-000650,2025-Q1,2025-01-22,Mobile,อีเมล,4.5,0
S-001862,2025-Q1,2025-03-11,Mobile,โฆษณาโซเชียล,5.9,0
S-010474,2025-Q2,2025-05-19,Mobile,โฆษณาโซเชียล,3.2,0
S-002809,2025-Q1,2025-01-08,Mobile,โฆษณาโซเชียล,5.2,0
S-009527,2025-Q1,2025-01-08,Desktop,ค้นหา,8.8,1
S-000327,2025-Q1,2025-03-03,Mobile,โฆษณาโซเชียล,10.4,0
S-018283,2025-Q2,2025-04-01,Desktop,โฆษณาโซเชียล,1.5,0
S-016747,2025-Q2,2025-05-03,Desktop,ตรงเข้าเว็บ,7.8,0
S-010402,2025-Q2,2025-04-26,Mobile,โฆษณาโซเชียล,8.6,0
S-011615,2025-Q2,2025-06-18,Mobile,อีเมล,2.4,0
S-018142,2025-Q2,2025-04-26,Desktop,โฆษณาโซเชียล,1.9,1
S-003132,2025-Q1,2025-01-22,Mobile,อีเมล,9.7,0
S-000069,2025-Q1,2025-01-30,Mobile,ค้นหา,0.5,0
S-017851,2025-Q2,2025-04-05,Desktop,โฆษณาโซเชียล,0.6,0
S-015119,2025-Q2,2025-04-28,Desktop,โฆษณาโซเชียล,1.0,0
S-016086,2025-Q2,2025-06-10,Desktop,ค้นหา,10.7,0
S-003000,2025-Q1,2025-03-15,Mobile,ตรงเข้าเว็บ,6.2,0
S-003421,2025-Q1,2025-02-02,Mobile,อีเมล,5.7,0
S-009258,2025-Q1,2025-03-29,Desktop,อีเมล,8.3,1
S-008558,2025-Q1,2025-02-21,Desktop,โฆษณาโซเชียล,7.8,0
S-009375,2025-Q1,2025-03-22,Desktop,อีเมล,7.1,0
S-018098,2025-Q2,2025-04-24,Desktop,อีเมล,3.0,0
S-018254,2025-Q2,2025-05-01,Desktop,โฆษณาโซเชียล,0.9,1
S-010151,2025-Q2,2025-04-18,Mobile,ตรงเข้าเว็บ,6.1,0
S-009999,2025-Q1,2025-03-02,Desktop,โฆษณาโซเชียล,7.0,0
S-019205,2025-Q2,2025-06-10,Desktop,ค้นหา,7.2,1
S-015975,2025-Q2,2025-05-29,Desktop,อีเมล,8.2,0
S-018962,2025-Q2,2025-05-03,Desktop,ค้นหา,5.6,0
S-017283,2025-Q2,2025-06-29,Desktop,ตรงเข้าเว็บ,4.3,0
S-002218,2025-Q1,2025-03-28,Mobile,ค้นหา,2.5,0
S-002760,2025-Q1,2025-03-14,Mobile,โฆษณาโซเชียล,8.2,0
S-008547,2025-Q1,2025-01-23,Desktop,อีเมล,1.7,0
S-005176,2025-Q1,2025-02-19,Mobile,ตรงเข้าเว็บ,9.1,0
S-001849,2025-Q1,2025-01-05,Mobile,โฆษณาโซเชียล,8.3,0
S-011941,2025-Q2,2025-06-20,Mobile,ตรงเข้าเว็บ,6.2,0
S-009050,2025-Q1,2025-01-25,Desktop,ตรงเข้าเว็บ,10.0,1
S-019126,2025-Q2,2025-04-13,Desktop,อีเมล,11.4,0
S-011481,2025-Q2,2025-06-16,Mobile,อีเมล,7.2,0
S-009656,2025-Q1,2025-02-01,Desktop,โฆษณาโซเชียล,1.8,1
S-014113,2025-Q2,2025-05-19,Desktop,ตรงเข้าเว็บ,6.1,0
S-013043,2025-Q2,2025-05-10,Desktop,ค้นหา,7.0,0
S-003437,2025-Q1,2025-01-01,Mobile,อีเมล,11.8,0
S-015328,2025-Q2,2025-06-08,Desktop,ตรงเข้าเว็บ,11.3,0
S-008592,2025-Q1,2025-01-29,Desktop,โฆษณาโซเชียล,7.9,0
S-012219,2025-Q2,2025-05-02,Mobile,ค้นหา,9.6,1
S-007419,2025-Q1,2025-01-28,Mobile,โฆษณาโซเชียล,11.8,0
S-002843,2025-Q1,2025-01-16,Mobile,อีเมล,7.2,0
S-004699,2025-Q1,2025-03-17,Mobile,โฆษณาโซเชียล,2.9,0
S-007372,2025-Q1,2025-03-12,Mobile,ตรงเข้าเว็บ,2.1,0
S-012552,2025-Q2,2025-06-25,Mobile,โฆษณาโซเชียล,9.3,0
S-009930,2025-Q1,2025-02-27,Desktop,อีเมล,7.2,1
S-008492,2025-Q1,2025-02-08,Desktop,อีเมล,6.0,0
S-009579,2025-Q1,2025-03-21,Desktop,อีเมล,5.9,1
S-003068,2025-Q1,2025-02-18,Mobile,โฆษณาโซเชียล,7.4,0
S-014875,2025-Q2,2025-06-28,Desktop,ค้นหา,8.9,1
S-016604,2025-Q2,2025-06-09,Desktop,ตรงเข้าเว็บ,10.8,0
S-000167,2025-Q1,2025-02-03,Mobile,อีเมล,4.2,0
S-007745,2025-Q1,2025-01-25,Mobile,ค้นหา,0.8,0
S-016477,2025-Q2,2025-04-24,Desktop,ค้นหา,7.6,0
S-016369,2025-Q2,2025-05-28,Desktop,ค้นหา,5.9,0
S-004847,2025-Q1,2025-02-26,Mobile,ค้นหา,2.1,0
S-015333,2025-Q2,2025-06-28,Desktop,อีเมล,3.3,0
S-007334,2025-Q1,2025-02-18,Mobile,อีเมล,8.2,0
S-015198,2025-Q2,2025-06-27,Desktop,ค้นหา,11.4,1
S-005898,2025-Q1,2025-01-20,Mobile,โฆษณาโซเชียล,1.9,0
S-018698,2025-Q2,2025-04-24,Desktop,ตรงเข้าเว็บ,4.0,0
S-015669,2025-Q2,2025-04-08,Desktop,อีเมล,11.8,1
S-000952,2025-Q1,2025-02-03,Mobile,ค้นหา,4.1,0
S-016101,2025-Q2,2025-06-12,Desktop,ตรงเข้าเว็บ,9.5,0
S-015216,2025-Q2,2025-04-24,Desktop,อีเมล,7.0,1
S-013061,2025-Q2,2025-04-28,Desktop,ค้นหา,10.6,0
S-010748,2025-Q2,2025-04-06,Mobile,โฆษณาโซเชียล,1.4,0
S-017055,2025-Q2,2025-04-21,Desktop,ตรงเข้าเว็บ,6.6,0
S-014802,2025-Q2,2025-05-26,Desktop,โฆษณาโซเชียล,0.7,1
S-013877,2025-Q2,2025-05-03,Desktop,โฆษณาโซเชียล,3.1,1
S-003148,2025-Q1,2025-01-23,Mobile,ค้นหา,10.1,0
S-012756,2025-Q2,2025-05-13,Mobile,ตรงเข้าเว็บ,6.4,0
S-001414,2025-Q1,2025-01-27,Mobile,ค้นหา,3.9,0
S-003449,2025-Q1,2025-01-19,Mobile,ค้นหา,5.2,0
S-017969,2025-Q2,2025-06-10,Desktop,โฆษณาโซเชียล,6.1,0
S-017212,2025-Q2,2025-04-09,Desktop,โฆษณาโซเชียล,1.4,0
S-013107,2025-Q2,2025-04-11,Desktop,อีเมล,5.4,1
S-019521,2025-Q2,2025-04-12,Desktop,อีเมล,1.5,0
S-019321,2025-Q2,2025-06-22,Desktop,ตรงเข้าเว็บ,9.8,0
S-004598,2025-Q1,2025-02-23,Mobile,อีเมล,5.2,0
S-016087,2025-Q2,2025-04-24,Desktop,ตรงเข้าเว็บ,6.7,1
S-015635,2025-Q2,2025-04-09,Desktop,อีเมล,1.6,1
S-016803,2025-Q2,2025-06-22,Desktop,โฆษณาโซเชียล,6.5,1
S-006859,2025-Q1,2025-01-15,Mobile,ตรงเข้าเว็บ,8.0,0
S-003146,2025-Q1,2025-03-31,Mobile,โฆษณาโซเชียล,11.2,0
S-011820,2025-Q2,2025-04-12,Mobile,โฆษณาโซเชียล,10.2,0
S-010924,2025-Q2,2025-06-11,Mobile,อีเมล,11.6,0
S-007170,2025-Q1,2025-02-25,Mobile,อีเมล,5.0,0
S-006354,2025-Q1,2025-02-19,Mobile,โฆษณาโซเชียล,8.6,0
S-010865,2025-Q2,2025-06-17,Mobile,อีเมล,2.8,0
S-004245,2025-Q1,2025-03-16,Mobile,โฆษณาโซเชียล,5.3,0
S-009582,2025-Q1,2025-03-18,Desktop,ค้นหา,8.5,0
S-002141,2025-Q1,2025-01-17,Mobile,โฆษณาโซเชียล,5.0,0
S-004639,2025-Q1,2025-01-13,Mobile,อีเมล,9.5,0
S-009602,2025-Q1,2025-02-15,Desktop,โฆษณาโซเชียล,0.9,1
S-011709,2025-Q2,2025-04-07,Mobile,อีเมล,3.2,0
S-015070,2025-Q2,2025-06-10,Desktop,ค้นหา,4.0,0
S-006362,2025-Q1,2025-03-30,Mobile,โฆษณาโซเชียล,3.9,0
S-011377,2025-Q2,2025-06-09,Mobile,ค้นหา,9.3,0
S-010893,2025-Q2,2025-06-16,Mobile,โฆษณาโซเชียล,0.9,0
S-012807,2025-Q2,2025-04-28,Mobile,ตรงเข้าเว็บ,4.7,0
S-001995,2025-Q1,2025-02-12,Mobile,ตรงเข้าเว็บ,0.5,0
S-005938,2025-Q1,2025-01-31,Mobile,ตรงเข้าเว็บ,10.1,0
S-005950,2025-Q1,2025-01-31,Mobile,โฆษณาโซเชียล,3.3,0
S-016599,2025-Q2,2025-05-18,Desktop,ตรงเข้าเว็บ,3.0,0
S-016534,2025-Q2,2025-04-16,Desktop,อีเมล,7.3,0
S-014360,2025-Q2,2025-06-23,Desktop,ตรงเข้าเว็บ,5.8,0
S-008723,2025-Q1,2025-01-02,Desktop,ตรงเข้าเว็บ,8.7,0
S-012907,2025-Q2,2025-05-02,Mobile,อีเมล,5.6,1
S-010736,2025-Q2,2025-05-01,Mobile,ตรงเข้าเว็บ,10.2,0
S-005555,2025-Q1,2025-01-24,Mobile,ตรงเข้าเว็บ,6.1,0
S-019557,2025-Q2,2025-05-09,Desktop,ตรงเข้าเว็บ,8.7,0
S-005379,2025-Q1,2025-03-08,Mobile,ค้นหา,9.2,0
S-013561,2025-Q2,2025-04-09,Desktop,อีเมล,6.0,0
S-015689,2025-Q2,2025-06-01,Desktop,ค้นหา,2.6,1
S-005194,2025-Q1,2025-02-19,Mobile,อีเมล,2.8,0
S-006455,2025-Q1,2025-03-22,Mobile,ตรงเข้าเว็บ,2.6,0
S-001255,2025-Q1,2025-02-15,Mobile,โฆษณาโซเชียล,0.5,0
S-008526,2025-Q1,2025-01-11,Desktop,อีเมล,6.5,1
S-001591,2025-Q1,2025-01-25,Mobile,อีเมล,3.1,0
S-011680,2025-Q2,2025-05-27,Mobile,ค้นหา,4.8,0
S-019060,2025-Q2,2025-05-03,Desktop,ตรงเข้าเว็บ,7.5,0
S-006108,2025-Q1,2025-01-17,Mobile,อีเมล,2.2,0
S-016930,2025-Q2,2025-04-21,Desktop,ค้นหา,10.2,0
S-008419,2025-Q1,2025-01-31,Desktop,ค้นหา,8.7,0
S-009583,2025-Q1,2025-01-31,Desktop,ตรงเข้าเว็บ,8.3,1
S-008523,2025-Q1,2025-03-12,Desktop,อีเมล,5.5,0
S-007520,2025-Q1,2025-01-27,Mobile,อีเมล,10.8,1
S-019322,2025-Q2,2025-06-16,Desktop,ตรงเข้าเว็บ,6.8,1
S-012293,2025-Q2,2025-06-08,Mobile,ตรงเข้าเว็บ,11.7,0
S-003434,2025-Q1,2025-02-14,Mobile,ตรงเข้าเว็บ,1.0,0
S-019316,2025-Q2,2025-06-01,Desktop,อีเมล,9.6,0
S-017939,2025-Q2,2025-04-13,Desktop,อีเมล,10.4,1
S-018832,2025-Q2,2025-06-17,Desktop,โฆษณาโซเชียล,7.2,0
S-014426,2025-Q2,2025-04-03,Desktop,ตรงเข้าเว็บ,6.2,0
S-002982,2025-Q1,2025-01-16,Mobile,ค้นหา,2.2,0
S-009860,2025-Q1,2025-03-07,Desktop,ตรงเข้าเว็บ,4.2,1
S-012626,2025-Q2,2025-05-21,Mobile,อีเมล,1.0,0
S-009549,2025-Q1,2025-03-29,Desktop,อีเมล,1.4,0
S-016726,2025-Q2,2025-04-10,Desktop,โฆษณาโซเชียล,1.1,0
S-019877,2025-Q2,2025-05-31,Desktop,อีเมล,12.0,1
S-006501,2025-Q1,2025-02-24,Mobile,โฆษณาโซเชียล,8.4,0
S-007588,2025-Q1,2025-02-15,Mobile,ตรงเข้าเว็บ,3.7,0
S-010401,2025-Q2,2025-05-18,Mobile,อีเมล,2.2,0
S-004593,2025-Q1,2025-02-26,Mobile,โฆษณาโซเชียล,5.7,0
S-016579,2025-Q2,2025-06-05,Desktop,ค้นหา,6.4,0
S-000788,2025-Q1,2025-02-03,Mobile,โฆษณาโซเชียล,1.1,0
S-014371,2025-Q2,2025-05-20,Desktop,โฆษณาโซเชียล,3.1,0
S-001000,2025-Q1,2025-01-18,Mobile,ค้นหา,8.2,0
S-006722,2025-Q1,2025-01-26,Mobile,โฆษณาโซเชียล,3.9,0
S-010024,2025-Q2,2025-06-07,Mobile,ค้นหา,8.1,0
S-013322,2025-Q2,2025-06-05,Desktop,โฆษณาโซเชียล,7.7,0
S-003347,2025-Q1,2025-01-18,Mobile,อีเมล,3.3,0
S-004565,2025-Q1,2025-01-22,Mobile,ตรงเข้าเว็บ,2.5,0
S-002607,2025-Q1,2025-02-01,Mobile,อีเมล,9.8,0
S-017502,2025-Q2,2025-05-10,Desktop,ค้นหา,11.5,0
S-014192,2025-Q2,2025-06-29,Desktop,อีเมล,9.2,0
S-015021,2025-Q2,2025-05-26,Desktop,โฆษณาโซเชียล,6.5,0
S-016613,2025-Q2,2025-05-08,Desktop,โฆษณาโซเชียล,7.6,1
S-000161,2025-Q1,2025-03-25,Mobile,อีเมล,7.2,0
S-000542,2025-Q1,2025-03-15,Mobile,ค้นหา,5.1,0
S-006912,2025-Q1,2025-01-03,Mobile,ตรงเข้าเว็บ,11.5,0
S-013958,2025-Q2,2025-04-07,Desktop,ตรงเข้าเว็บ,7.6,0
S-017909,2025-Q2,2025-06-28,Desktop,อีเมล,11.6,0
S-008141,2025-Q1,2025-02-04,Desktop,ค้นหา,1.1,0
S-008321,2025-Q1,2025-02-16,Desktop,โฆษณาโซเชียล,5.4,0
S-007297,2025-Q1,2025-01-09,Mobile,ค้นหา,4.5,0
S-000938,2025-Q1,2025-03-27,Mobile,ค้นหา,8.2,0
S-003545,2025-Q1,2025-03-18,Mobile,ค้นหา,3.7,0
S-013853,2025-Q2,2025-06-29,Desktop,ค้นหา,3.8,0
S-000761,2025-Q1,2025-02-16,Mobile,ตรงเข้าเว็บ,11.0,0
S-015765,2025-Q2,2025-04-12,Desktop,โฆษณาโซเชียล,3.7,0
S-007464,2025-Q1,2025-01-03,Mobile,อีเมล,5.2,0
S-010960,2025-Q2,2025-04-14,Mobile,โฆษณาโซเชียล,0.6,0
S-011811,2025-Q2,2025-05-14,Mobile,ค้นหา,7.8,0
S-018094,2025-Q2,2025-06-07,Desktop,ตรงเข้าเว็บ,1.6,0
S-011531,2025-Q2,2025-05-15,Mobile,ค้นหา,4.8,0
S-014956,2025-Q2,2025-05-22,Desktop,อีเมล,4.7,0
S-001652,2025-Q1,2025-01-16,Mobile,อีเมล,11.6,0
S-014923,2025-Q2,2025-06-12,Desktop,ค้นหา,4.6,1
S-010416,2025-Q2,2025-05-27,Mobile,อีเมล,6.2,0
S-018957,2025-Q2,2025-06-11,Desktop,อีเมล,3.5,0
S-007389,2025-Q1,2025-03-19,Mobile,อีเมล,11.9,0
S-019937,2025-Q2,2025-06-05,Desktop,ตรงเข้าเว็บ,8.3,0
S-010533,2025-Q2,2025-05-28,Mobile,ค้นหา,11.9,0
S-011044,2025-Q2,2025-06-09,Mobile,ค้นหา,7.9,0
S-009155,2025-Q1,2025-01-27,Desktop,โฆษณาโซเชียล,3.9,1
S-019167,2025-Q2,2025-05-03,Desktop,อีเมล,6.7,1
S-011724,2025-Q2,2025-04-10,Mobile,อีเมล,5.8,0
S-007119,2025-Q1,2025-02-21,Mobile,อีเมล,9.6,0
S-014866,2025-Q2,2025-05-17,Desktop,โฆษณาโซเชียล,5.1,0
S-010940,2025-Q2,2025-05-30,Mobile,โฆษณาโซเชียล,8.1,0
S-013943,2025-Q2,2025-06-14,Desktop,ค้นหา,1.3,1
S-011778,2025-Q2,2025-05-12,Mobile,ค้นหา,1.2,0
S-000408,2025-Q1,2025-01-25,Mobile,ตรงเข้าเว็บ,5.0,0
S-001922,2025-Q1,2025-01-30,Mobile,ค้นหา,3.8,0
S-006918,2025-Q1,2025-01-13,Mobile,โฆษณาโซเชียล,8.1,0
S-000481,2025-Q1,2025-01-18,Mobile,ค้นหา,11.8,0
S-019436,2025-Q2,2025-04-05,Desktop,โฆษณาโซเชียล,6.1,0
S-006546,2025-Q1,2025-02-05,Mobile,ค้นหา,5.8,0
