customer_id,recency_days,frequency,monetary,tenure_days,main_channel
C-30923,275,5,1529.85,1413,หน้าร้าน
C-30495,94,14,7095.72,556,แอปมือถือ
C-30269,100,12,18785.97,345,ออนไลน์
C-30669,80,10,17739.86,278,ออนไลน์
C-31139,212,2,202331.89,1079,หน้าร้าน
C-30995,380,4,4160.88,470,หน้าร้าน
C-30750,403,5,5166.02,1006,ออนไลน์
C-31157,184,2,55650.31,277,หน้าร้าน
C-30311,104,20,32776.58,813,หน้าร้าน
C-31196,135,1,122716.76,1196,ออนไลน์
C-30794,372,1,5737.27,626,ออนไลน์
C-30539,31,8,31079.49,721,แอปมือถือ
C-30845,277,5,4627.20,953,ออนไลน์
C-30909,419,1,6540.93,1273,หน้าร้าน
C-31038,211,4,2319.32,732,หน้าร้าน
C-30056,31,33,146715.69,590,แอปมือถือ
C-30949,321,5,823.63,643,แอปมือถือ
C-30019,34,42,73083.82,737,ออนไลน์
C-30677,73,14,29840.29,264,ออนไลน์
C-30816,306,1,2763.32,1028,ออนไลน์
C-30605,30,7,37590.83,448,แอปมือถือ
C-30352,82,17,22651.36,1059,หน้าร้าน
C-30573,28,9,26790.04,974,ออนไลน์
C-30753,250,1,5032.11,1251,ออนไลน์
C-30547,93,12,28249.54,931,ออนไลน์
C-30020,5,44,88442.15,124,หน้าร้าน
C-30911,169,4,2000.80,1362,ออนไลน์
C-30089,7,45,47311.53,1160,หน้าร้าน
C-30112,5,32,126425.50,440,หน้าร้าน
C-31170,100,2,72511.70,1469,แอปมือถือ
C-30070,29,43,44529.82,557,แอปมือถือ
C-30837,213,3,3186.89,665,ออนไลน์
C-30110,7,48,92077.80,709,ออนไลน์
C-30931,350,2,4331.21,419,หน้าร้าน
C-31087,185,2,55352.97,599,ออนไลน์
C-30236,7,38,112930.26,1424,ออนไลน์
C-30473,55,20,22669.35,1348,หน้าร้าน
C-30168,34,36,71289.41,435,ออนไลน์
C-30512,25,12,23892.50,1235,ออนไลน์
C-30630,56,9,9534.60,584,หน้าร้าน
C-31032,335,5,1541.94,1247,ออนไลน์
C-30820,345,4,6189.93,960,ออนไลน์
C-30861,244,4,2930.60,1291,หน้าร้าน
C-30749,265,5,3241.08,1267,แอปมือถือ
C-30086,41,26,145197.36,1184,หน้าร้าน
C-30515,29,17,35730.38,222,หน้าร้าน
C-30579,97,13,22886.91,1358,แอปมือถือ
C-30634,53,13,40678.01,547,ออนไลน์
C-30174,6,40,74381.02,849,แอปมือถือ
C-30973,342,1,5871.08,344,ออนไลน์
C-30948,211,4,5366.98,1316,หน้าร้าน
C-30607,39,8,14287.26,846,หน้าร้าน
C-30752,371,4,1183.76,1375,ออนไลน์
C-30088,34,41,146807.40,157,หน้าร้าน
C-31020,152,1,6088.56,1203,หน้าร้าน
C-30829,253,1,1904.01,356,หน้าร้าน
C-31103,97,1,83592.59,1005,หน้าร้าน
C-30756,178,5,2226.46,884,ออนไลน์
C-30763,301,1,1550.81,673,หน้าร้าน
C-30132,6,27,56538.17,551,ออนไลน์
C-30233,43,45,174939.76,1235,แอปมือถือ
C-30044,7,41,97164.29,1248,ออนไลน์
C-30418,35,8,30916.34,793,แอปมือถือ
C-30552,39,14,22427.97,738,แอปมือถือ
C-30219,5,40,75791.87,487,หน้าร้าน
C-30078,13,22,68804.27,502,หน้าร้าน
C-30608,24,17,9267.96,1087,หน้าร้าน
C-30367,34,16,38385.37,1444,หน้าร้าน
C-30260,80,12,13477.50,1027,ออนไลน์
C-30988,337,3,2839.52,1325,หน้าร้าน
C-30663,35,13,13404.54,1324,ออนไลน์
C-31014,257,5,5539.19,1473,แอปมือถือ
C-30984,358,4,5036.61,1214,ออนไลน์
C-30381,95,15,30494.41,954,หน้าร้าน
C-30680,286,4,5249.05,1453,หน้าร้าน
C-31004,390,3,1277.86,1349,ออนไลน์
C-30253,23,22,96344.91,267,หน้าร้าน
C-30951,261,3,6518.67,402,แอปมือถือ
C-30525,74,14,21851.57,218,หน้าร้าน
C-30467,48,8,17592.47,1220,ออนไลน์
C-30954,315,3,2913.61,425,หน้าร้าน
C-31140,125,1,167757.31,1105,ออนไลน์
C-30606,48,12,33790.74,1051,ออนไลน์
C-30849,402,5,3774.95,983,ออนไลน์
C-30179,36,19,161458.69,951,ออนไลน์
C-30863,350,3,2711.38,1087,หน้าร้าน
C-30068,13,42,92828.51,307,แอปมือถือ
C-30635,36,18,23140.82,182,แอปมือถือ
C-30920,252,1,3905.71,1336,หน้าร้าน
C-30115,10,36,60434.02,372,หน้าร้าน
C-30888,378,2,1897.65,654,แอปมือถือ
C-31121,223,1,169439.76,1369,ออนไลน์
C-30987,294,5,3656.95,521,หน้าร้าน
C-30754,156,4,3618.17,283,ออนไลน์
C-30076,33,24,142472.54,1167,ออนไลน์
C-30095,7,23,182732.31,616,ออนไลน์
C-31050,254,3,2870.00,1277,แอปมือถือ
C-30564,31,18,29143.75,1282,แอปมือถือ
C-30918,327,4,1755.07,445,แอปมือถือ
C-30585,45,14,25738.85,694,หน้าร้าน
C-30155,42,38,53706.10,118,แอปมือถือ
C-30868,349,3,2251.16,713,แอปมือถือ
C-30011,30,47,122409.61,232,หน้าร้าน
C-30030,17,24,120495.22,830,แอปมือถือ
C-30747,162,2,3268.14,468,แอปมือถือ
C-30052,42,29,125921.45,268,ออนไลน์
C-30865,356,4,3274.16,855,ออนไลน์
C-30534,32,13,36281.14,548,หน้าร้าน
C-30411,33,10,17446.71,488,หน้าร้าน
C-30124,45,18,132421.47,655,แอปมือถือ
C-30601,51,7,35674.44,1248,แอปมือถือ
C-30185,10,19,79241.43,1254,ออนไลน์
C-30817,343,3,1498.60,685,หน้าร้าน
C-31194,149,1,67516.15,1341,แอปมือถือ
C-31133,240,2,116822.71,1345,ออนไลน์
C-30963,381,4,4272.44,892,หน้าร้าน
C-30946,386,2,3768.09,825,หน้าร้าน
C-31088,169,2,106467.18,1195,ออนไลน์
C-30010,45,40,61498.61,269,ออนไลน์
C-31027,176,5,4271.12,476,ออนไลน์
C-31057,410,4,3858.20,851,หน้าร้าน
C-30414,77,9,37690.80,345,หน้าร้าน
C-30774,388,2,5645.18,1448,ออนไลน์
C-30166,39,39,129333.22,704,แอปมือถือ
C-30489,94,12,38614.33,648,ออนไลน์
C-30286,23,15,31426.31,950,หน้าร้าน
C-31178,104,2,153577.11,1099,หน้าร้าน
C-30531,71,12,33184.58,1211,แอปมือถือ
C-30898,297,4,4059.24,996,แอปมือถือ
C-30554,90,11,20033.45,1329,แอปมือถือ
C-30595,26,7,36044.41,840,ออนไลน์
C-30485,107,19,33599.33,223,แอปมือถือ
C-30283,51,9,9206.68,585,หน้าร้าน
C-31052,295,1,4842.06,1026,หน้าร้าน
C-30536,72,15,14684.33,840,ออนไลน์
C-30385,79,7,21931.62,1431,หน้าร้าน
C-31143,130,2,141504.13,570,แอปมือถือ
C-31177,147,2,99105.08,1401,หน้าร้าน
C-31081,220,1,122899.26,733,หน้าร้าน
C-31043,192,4,2577.85,977,แอปมือถือ
C-30463,92,16,28872.15,1025,ออนไลน์
C-30218,34,43,52764.59,86,ออนไลน์
C-30263,97,20,11554.83,1442,ออนไลน์
C-30650,86,9,36095.14,827,หน้าร้าน
C-30577,36,7,35267.63,447,ออนไลน์
C-31063,243,1,144853.85,940,แอปมือถือ
C-30956,258,4,6772.39,1073,แอปมือถือ
C-30708,281,3,3274.35,814,ออนไลน์
C-30965,188,5,686.60,1208,หน้าร้าน
C-30391,70,10,21713.44,1409,หน้าร้าน
C-30195,16,35,110505.66,188,แอปมือถือ
C-30209,43,47,77816.55,529,แอปมือถือ
C-30439,99,8,17260.77,194,ออนไลน์
C-30325,109,10,31682.70,1155,หน้าร้าน
C-31084,215,2,98965.52,1443,ออนไลน์
C-30362,100,18,31856.47,391,หน้าร้าน
C-30417,106,14,31778.48,946,ออนไลน์
C-30057,42,28,45409.19,139,หน้าร้าน
C-30180,20,48,127548.56,407,ออนไลน์
C-30431,74,19,37026.50,1007,ออนไลน์
C-31031,179,1,5827.01,992,ออนไลน์
C-30915,185,2,5784.39,1215,แอปมือถือ
C-30242,24,34,164488.93,1487,แอปมือถือ
C-30775,187,2,1935.12,1469,แอปมือถือ
C-30255,26,42,162537.50,1242,หน้าร้าน
C-31018,268,5,4935.46,538,หน้าร้าน
C-30567,58,20,24093.43,258,หน้าร้าน
C-30847,228,4,5636.29,1287,หน้าร้าน
C-30795,377,1,4590.62,829,ออนไลน์
C-30403,95,11,15960.75,618,หน้าร้าน
C-30420,50,18,35473.77,485,ออนไลน์
C-30526,103,10,12139.14,362,แอปมือถือ
C-30222,31,40,64133.78,1234,แอปมือถือ
C-30101,38,47,73623.31,543,แอปมือถือ
C-30667,37,20,8690.86,804,ออนไลน์
C-30840,416,1,2946.38,1150,หน้าร้าน
C-30206,8,23,63347.06,949,หน้าร้าน
C-30646,40,18,23153.00,217,หน้าร้าน
C-30119,21,30,153835.07,654,แอปมือถือ
C-30436,38,10,20162.95,409,แอปมือถือ
C-30611,37,16,10736.57,1383,หน้าร้าน
C-30981,282,4,5316.82,1430,หน้าร้าน
C-30620,27,10,23553.14,501,แอปมือถือ
C-30074,3,23,105178.25,876,หน้าร้าน
C-30673,23,16,22817.42,695,หน้าร้าน
C-30037,9,19,80976.02,1478,แอปมือถือ
C-30780,209,5,1757.23,321,แอปมือถือ
C-30201,18,30,106614.26,1386,แอปมือถือ
C-30908,183,5,2452.88,1478,แอปมือถือ
C-31191,149,1,188775.14,586,แอปมือถือ
C-30449,36,20,14213.28,84,แอปมือถือ
C-30058,29,43,95418.94,190,ออนไลน์
C-30154,42,40,58084.90,136,ออนไลน์
C-30040,25,27,75335.82,615,ออนไลน์
C-30679,102,18,28624.65,263,แอปมือถือ
C-30528,30,20,33271.03,1399,หน้าร้าน
C-30593,100,19,26481.45,224,หน้าร้าน
C-30172,19,36,140050.26,600,ออนไลน์
C-30466,73,9,21705.38,1248,ออนไลน์
C-30153,33,23,169287.52,625,แอปมือถือ
C-30746,239,1,6601.32,310,หน้าร้าน
C-31077,145,2,69160.88,871,หน้าร้าน
C-30287,25,18,17437.29,512,แอปมือถือ
C-30950,326,3,3591.78,712,หน้าร้าน
C-30461,85,12,9807.27,1355,แอปมือถือ
C-30330,20,13,16391.79,1480,แอปมือถือ
C-31060,210,1,63296.26,577,แอปมือถือ
C-30744,351,2,5969.30,1237,หน้าร้าน
C-30719,338,4,555.42,480,ออนไลน์
C-31168,203,1,165909.55,1101,หน้าร้าน
C-30796,297,3,1837.86,910,แอปมือถือ
C-31090,233,1,92703.53,464,หน้าร้าน
C-30184,32,33,124539.63,1207,หน้าร้าน
C-30151,32,27,81508.97,270,แอปมือถือ
C-30731,276,4,2581.97,416,หน้าร้าน
C-30125,37,22,161549.11,1423,หน้าร้าน
C-30917,263,1,2788.86,279,หน้าร้าน
C-30092,18,33,183113.45,1055,ออนไลน์
C-30994,282,5,3688.98,334,แอปมือถือ
C-30925,154,1,6018.43,174,แอปมือถือ
C-30000,24,32,166834.69,135,หน้าร้าน
C-30191,39,36,135235.20,696,หน้าร้าน
C-30161,29,45,65384.41,238,แอปมือถือ
C-30527,50,15,20855.94,689,แอปมือถือ
C-30121,45,30,173087.60,1154,แอปมือถือ
C-30343,64,18,37241.24,1097,แอปมือถือ
C-31146,140,2,146873.54,655,ออนไลน์
C-30200,3,22,78207.89,363,แอปมือถือ
C-31130,111,2,146148.31,782,แอปมือถือ
C-31095,211,1,191761.15,775,แอปมือถือ
C-31079,202,1,78079.90,1227,แอปมือถือ
C-30800,227,3,3550.47,1104,แอปมือถือ
C-30945,265,2,2541.95,841,แอปมือถือ
C-30617,69,17,19723.75,507,ออนไลน์
C-30317,61,8,16224.02,450,ออนไลน์
C-31049,332,4,3024.49,1128,หน้าร้าน
C-31106,198,2,172842.81,585,หน้าร้าน
C-31051,168,4,1660.03,909,ออนไลน์
C-30881,153,3,4412.08,359,หน้าร้าน
C-30277,73,20,9886.17,369,ออนไลน์
C-30934,324,2,5519.30,1500,แอปมือถือ
C-30652,65,15,15180.14,1029,หน้าร้าน
C-31144,260,2,58701.75,620,ออนไลน์
C-30446,72,15,22200.15,1359,หน้าร้าน
C-31005,228,4,6341.67,586,ออนไลน์
C-30281,66,14,35948.03,769,ออนไลน์
C-30890,151,5,4545.92,288,หน้าร้าน
C-30762,418,4,969.58,1018,แอปมือถือ
C-30432,49,12,37658.50,698,แอปมือถือ
C-30067,45,23,89646.74,947,หน้าร้าน
C-30813,303,4,5354.54,749,หน้าร้าน
C-30376,64,19,32961.27,394,แอปมือถือ
C-30913,281,2,6612.27,802,หน้าร้าน
C-30150,7,46,48975.58,566,แอปมือถือ
C-30551,38,14,22346.76,1365,ออนไลน์
C-30725,179,1,6152.91,1346,ออนไลน์
C-30877,221,5,3126.79,452,หน้าร้าน
C-30013,11,34,99093.38,1432,ออนไลน์
C-30822,339,5,3401.50,1348,หน้าร้าน
C-31067,252,1,92961.82,1189,ออนไลน์
C-30857,352,4,702.48,470,แอปมือถือ
C-30176,23,24,56472.20,105,ออนไลน์
C-30584,98,11,20240.37,265,หน้าร้าน
C-30944,337,5,6583.51,476,หน้าร้าน
C-30212,16,36,123081.68,1249,แอปมือถือ
C-30974,332,5,5483.69,989,แอปมือถือ
C-30793,167,1,3439.11,1099,ออนไลน์
C-30137,31,42,78185.54,1025,หน้าร้าน
C-30714,400,4,6408.35,884,ออนไลน์
C-30256,10,27,139938.91,1233,แอปมือถือ
C-30069,4,36,62014.54,1094,ออนไลน์
C-30452,85,14,17320.03,1111,ออนไลน์
C-30280,103,20,29787.35,1391,ออนไลน์
C-31100,210,2,135495.80,1399,หน้าร้าน
C-30050,4,37,99971.14,1265,แอปมือถือ
C-31123,212,1,138592.34,1029,ออนไลน์
C-31042,199,5,3871.72,942,แอปมือถือ
C-30216,10,43,145259.91,854,หน้าร้าน
C-30009,15,19,157262.35,1038,แอปมือถือ
C-30060,16,35,184347.78,576,แอปมือถือ
C-30598,93,10,31468.27,1237,หน้าร้าน
C-30207,40,45,182302.23,869,ออนไลน์
C-30801,230,2,3193.22,638,แอปมือถือ
C-30858,202,3,5960.74,249,ออนไลน์
C-30288,29,8,27014.63,995,ออนไลน์
C-30659,103,13,12225.98,923,ออนไลน์
C-30231,11,43,175148.26,1203,แอปมือถือ
C-30274,35,13,23805.40,689,ออนไลน์
C-30251,3,34,145251.76,1038,แอปมือถือ
C-31122,258,1,132764.22,1234,หน้าร้าน
C-30812,241,4,4001.44,815,หน้าร้าน
C-30883,179,1,3128.42,777,แอปมือถือ
C-30051,27,33,133925.59,232,แอปมือถือ
C-31180,225,2,150262.80,640,ออนไลน์
C-30410,31,16,38233.94,745,หน้าร้าน
C-30194,17,27,82498.17,1140,หน้าร้าน
C-30935,164,5,6695.30,769,ออนไลน์
C-30389,65,15,26254.18,812,ออนไลน์
C-31192,217,1,182516.35,1075,หน้าร้าน
C-30243,17,32,90159.52,908,ออนไลน์
C-30503,69,13,14808.47,1111,ออนไลน์
C-30215,4,21,179913.25,294,แอปมือถือ
C-30189,12,27,116267.97,1334,หน้าร้าน
C-30968,190,2,6029.12,412,หน้าร้าน
C-30546,101,12,21992.58,117,ออนไลน์
C-30803,330,1,4613.30,933,ออนไลน์
C-31037,180,2,4921.32,401,แอปมือถือ
C-30384,75,7,37001.79,901,แอปมือถือ
C-30378,39,20,32347.41,429,หน้าร้าน
C-30519,80,18,22576.19,204,ออนไลน์
C-30755,388,1,1194.41,934,ออนไลน์
C-30268,30,15,27051.60,157,ออนไลน์
C-30893,261,1,3948.64,1262,ออนไลน์
C-31134,242,2,116098.49,1445,หน้าร้าน
C-30627,94,17,16935.05,617,หน้าร้าน
C-30272,54,7,30270.00,263,หน้าร้าน
C-30832,233,2,6183.56,898,ออนไลน์
C-31070,116,1,157168.76,117,หน้าร้าน
C-30658,28,13,24233.36,392,หน้าร้าน
C-31015,233,1,6338.49,1151,หน้าร้าน
C-31022,162,2,1195.46,455,แอปมือถือ
C-30597,81,7,31473.01,801,หน้าร้าน
C-31142,173,1,127320.74,481,ออนไลน์
C-30853,388,4,3350.40,390,ออนไลน์
C-30445,86,10,26981.29,1069,แอปมือถือ
C-30739,350,5,6639.56,536,แอปมือถือ
C-30734,312,3,5326.00,761,ออนไลน์
C-30506,105,18,36880.92,1418,ออนไลน์
C-30821,177,3,4574.49,780,ออนไลน์
C-30811,344,5,4520.95,1400,ออนไลน์
C-30778,319,3,4428.88,1181,ออนไลน์
C-30797,309,2,3898.69,630,แอปมือถือ
C-30094,3,26,121719.00,1395,ออนไลน์
C-31013,200,5,6122.38,1154,ออนไลน์
C-30163,14,32,70402.62,630,ออนไลน์
C-31148,119,2,185966.85,533,แอปมือถือ
C-30743,346,4,3519.43,1109,หน้าร้าน
C-30657,43,9,33375.33,556,ออนไลน์
C-30654,27,19,12450.30,551,แอปมือถือ
C-30953,337,2,6449.70,544,แอปมือถือ
C-30455,106,9,36070.27,473,ออนไลน์
C-30159,41,18,107034.67,1483,แอปมือถือ
C-30690,396,4,6704.60,843,แอปมือถือ
C-30140,18,30,176525.13,1088,หน้าร้าน
C-30498,87,13,26379.83,922,แอปมือถือ
C-30878,351,1,3568.82,1441,ออนไลน์
C-31155,144,2,164176.08,163,หน้าร้าน
C-30975,238,4,6198.63,1176,แอปมือถือ
C-30186,15,37,183349.98,516,หน้าร้าน
C-31109,138,2,183730.72,641,แอปมือถือ
C-30354,79,11,21445.24,135,ออนไลน์
C-31149,216,2,90969.41,1299,ออนไลน์
C-30091,36,33,124194.93,1231,ออนไลน์
C-30237,34,22,99083.99,275,หน้าร้าน
C-30178,29,34,68225.09,1382,ออนไลน์
C-31163,239,2,188278.47,971,หน้าร้าน
C-30859,401,2,2720.02,1189,ออนไลน์
C-30674,58,8,11482.76,272,หน้าร้าน
C-30509,83,20,39999.84,776,หน้าร้าน
C-30425,52,14,33180.60,558,แอปมือถือ
C-30228,20,39,165560.91,883,แอปมือถือ
C-30651,60,19,8155.48,271,แอปมือถือ
C-30969,160,4,1395.30,1193,แอปมือถือ
C-30562,107,10,21492.03,534,หน้าร้าน
C-30239,15,43,63842.30,521,แอปมือถือ
C-30027,19,30,126781.85,353,หน้าร้าน
C-30710,344,5,6223.81,964,ออนไลน์
C-30873,368,1,828.87,425,แอปมือถือ
C-31000,380,5,5063.42,1474,หน้าร้าน
C-31181,106,2,78145.57,610,หน้าร้าน
C-30104,34,41,105290.00,1372,หน้าร้าน
C-31093,159,2,81456.12,579,แอปมือถือ
C-30737,287,5,6611.61,1178,แอปมือถือ
C-30365,73,7,28489.41,1248,ออนไลน์
C-30687,299,5,673.09,901,หน้าร้าน
C-30475,109,15,32614.40,1194,แอปมือถือ
C-30388,37,7,7461.17,949,แอปมือถือ
C-30712,218,4,2799.85,993,ออนไลน์
C-30479,75,15,21126.32,680,หน้าร้าน
C-31071,146,2,187791.46,1085,หน้าร้าน
C-30377,73,9,26203.72,999,ออนไลน์
C-30334,74,11,17401.63,889,ออนไลน์
C-30085,29,38,145804.78,90,ออนไลน์
C-30500,21,20,16558.76,520,ออนไลน์
C-30328,33,11,15380.90,779,หน้าร้าน
C-30810,227,4,579.78,951,หน้าร้าน
C-30412,54,14,29371.79,787,ออนไลน์
C-30516,43,11,35988.74,1448,ออนไลน์
C-30603,88,17,30142.40,856,ออนไลน์
C-30079,31,45,100290.75,343,หน้าร้าน
C-30565,73,17,16859.18,262,หน้าร้าน
C-30448,68,8,31144.04,1381,หน้าร้าน
C-30319,91,16,30856.24,855,แอปมือถือ
C-31056,155,5,5236.49,1039,หน้าร้าน
C-31048,265,1,3094.99,300,ออนไลน์
C-30066,25,32,163464.41,877,แอปมือถือ
C-30337,91,16,8323.32,690,แอปมือถือ
C-30175,8,25,101141.87,1421,แอปมือถือ
C-30402,108,8,17774.79,994,แอปมือถือ
C-30633,97,8,13014.92,1290,แอปมือถือ
C-31154,258,1,185233.95,280,ออนไลน์
C-30481,38,20,36592.74,184,แอปมือถือ
C-30514,71,20,30172.74,391,ออนไลน์
C-31033,299,3,1603.36,1094,หน้าร้าน
C-31137,108,2,178063.75,538,ออนไลน์
C-30241,23,35,170983.26,1102,ออนไลน์
C-31012,317,2,1608.06,345,หน้าร้าน
C-31186,123,1,109530.83,1371,ออนไลน์
C-30128,13,18,170269.90,1243,หน้าร้าน
C-30804,380,5,3579.61,671,ออนไลน์
C-30706,392,2,2268.75,518,แอปมือถือ
C-30303,74,19,26095.80,848,ออนไลน์
C-30138,23,44,179181.65,432,ออนไลน์
C-30131,24,20,134378.72,597,หน้าร้าน
C-30691,282,4,1258.92,1330,แอปมือถือ
C-31171,170,1,91545.73,1170,แอปมือถือ
C-30518,59,9,25751.31,765,หน้าร้าน
C-30193,5,39,91488.89,843,หน้าร้าน
C-30692,171,2,6681.65,919,แอปมือถือ
C-30487,30,8,36175.07,140,หน้าร้าน
C-30054,4,21,161793.70,1291,ออนไลน์
C-30235,17,36,100220.96,968,หน้าร้าน
C-31114,189,1,171150.39,388,หน้าร้าน
C-30364,64,17,12869.12,310,ออนไลน์
C-30824,392,2,5604.78,1492,แอปมือถือ
C-30383,90,15,14133.25,929,แอปมือถือ
C-31011,289,4,877.68,638,แอปมือถือ
C-31009,324,5,6318.84,732,ออนไลน์
C-30936,352,4,5030.88,1231,แอปมือถือ
C-30745,306,3,6107.50,1117,แอปมือถือ
C-30941,213,2,2867.13,571,หน้าร้าน
C-30025,31,38,150092.49,466,ออนไลน์
C-30204,32,19,48610.82,1455,แอปมือถือ
C-30226,18,32,147180.17,535,แอปมือถือ
C-30240,5,31,56120.48,780,หน้าร้าน
C-30275,25,17,34696.46,1043,หน้าร้าน
C-31096,235,2,124255.21,763,หน้าร้าน
C-31003,381,3,4830.64,1458,หน้าร้าน
C-30043,17,29,106163.81,598,หน้าร้าน
C-31182,240,2,102246.49,255,แอปมือถือ
C-30373,69,7,22398.39,1175,หน้าร้าน
C-30851,166,5,6056.49,970,แอปมือถือ
C-30524,96,11,39056.79,1486,หน้าร้าน
C-30329,58,19,12287.83,99,หน้าร้าน
C-30007,39,36,155067.72,1231,แอปมือถือ
C-31107,222,1,151208.24,883,ออนไลน์
C-30075,22,21,75225.09,868,ออนไลน์
C-30335,74,10,18854.06,684,หน้าร้าน
C-30613,43,7,34836.97,1243,แอปมือถือ
C-30966,404,2,2705.53,427,แอปมือถือ
C-30825,167,5,1333.90,940,แอปมือถือ
C-30084,9,41,89091.49,164,หน้าร้าน
C-30513,103,10,24073.57,451,แอปมือถือ
C-30208,25,37,98131.79,1327,หน้าร้าน
C-31099,174,2,79100.86,845,แอปมือถือ
C-31101,202,2,72406.50,748,แอปมือถือ
C-30884,158,4,4661.67,1043,แอปมือถือ
C-30407,95,12,21873.69,1154,ออนไลน์
C-30903,266,2,2362.85,1025,ออนไลน์
