transaction_id,txn_date,item
T-200024,2025-08-13,ผ้าเช็ดทำความสะอาด
T-200025,2025-08-14,กาแฟสด
T-200025,2025-08-14,ถุงพลาสติก
T-200025,2025-08-14,นมสด
T-200026,2025-09-25,ถุงพลาสติก
T-200026,2025-09-25,น้ำดื่ม
T-200026,2025-09-25,เบียร์
T-200026,2025-09-25,แชมพู
T-200027,2025-07-30,กาแฟสด
T-200027,2025-07-30,ถุงพลาสติก
T-200027,2025-07-30,น้ำดื่ม
T-200027,2025-07-30,เบียร์
T-200027,2025-07-30,ไข่ไก่
T-200028,2025-09-17,น้ำดื่ม
T-200028,2025-09-17,บะหมี่กึ่งสำเร็จรูป
T-200028,2025-09-17,ผงซักฟอก
T-200029,2025-07-16,ขนมปัง
T-200029,2025-07-16,ถุงพลาสติก
T-200029,2025-07-16,บะหมี่กึ่งสำเร็จรูป
T-200030,2025-07-01,ชาเขียว
T-200031,2025-07-23,ถุงพลาสติก
T-200031,2025-07-23,น้ำดื่ม
T-200031,2025-07-23,ผงซักฟอก
T-200031,2025-07-23,ผ้าอ้อม
T-200031,2025-07-23,ผ้าเช็ดทำความสะอาด
T-200031,2025-07-23,เบียร์
T-200032,2025-09-01,ชาเขียว
T-200032,2025-09-01,ถุงพลาสติก
T-200033,2025-09-14,ขนมปัง
T-200033,2025-09-14,ถุงพลาสติก
T-200033,2025-09-14,แชมพู
T-200034,2025-08-05,ถุงพลาสติก
T-200034,2025-08-05,นมสด
T-200034,2025-08-05,บะหมี่กึ่งสำเร็จรูป
T-200034,2025-08-05,ผงซักฟอก
T-200034,2025-08-05,แชมพู
T-200035,2025-07-28,ถุงพลาสติก
T-200035,2025-07-28,ผ้าอ้อม
T-200035,2025-07-28,ผ้าเช็ดทำความสะอาด
T-200036,2025-07-23,ชาเขียว
T-200036,2025-07-23,ถุงพลาสติก
T-200036,2025-07-23,ผ้าเช็ดทำความสะอาด
T-200036,2025-07-23,แชมพู
T-200036,2025-07-23,ไข่ไก่
T-200037,2025-07-14,กาแฟสด
T-200037,2025-07-14,ถุงพลาสติก
T-200037,2025-07-14,นมสด
T-200038,2025-08-17,ถุงพลาสติก
T-200038,2025-08-17,เบียร์
T-200039,2025-09-18,ชาเขียว
T-200039,2025-09-18,บะหมี่กึ่งสำเร็จรูป
T-200039,2025-09-18,เบียร์
T-200040,2025-08-12,ถุงพลาสติก
T-200040,2025-08-12,บะหมี่กึ่งสำเร็จรูป
T-200040,2025-08-12,ผ้าเช็ดทำความสะอาด
T-200040,2025-08-12,เบียร์
T-200041,2025-08-09,ชาเขียว
T-200041,2025-08-09,ถุงพลาสติก
T-200041,2025-08-09,นมสด
T-200042,2025-09-07,ขนมปัง
T-200042,2025-09-07,ผ้าอ้อม
T-200043,2025-09-17,กาแฟสด
T-200043,2025-09-17,ถุงพลาสติก
T-200043,2025-09-17,นมสด
T-200043,2025-09-17,น้ำดื่ม
T-200043,2025-09-17,บะหมี่กึ่งสำเร็จรูป
T-200043,2025-09-17,มันฝรั่งทอด
T-200043,2025-09-17,เบียร์
T-200043,2025-09-17,แชมพู
T-200044,2025-09-26,กาแฟสด
T-200044,2025-09-26,ผ้าอ้อม
T-200044,2025-09-26,ผ้าเช็ดทำความสะอาด
T-200044,2025-09-26,มันฝรั่งทอด
T-200045,2025-09-26,กาแฟสด
T-200045,2025-09-26,ถุงพลาสติก
T-200045,2025-09-26,เบียร์
T-200046,2025-09-28,ขนมปัง
T-200046,2025-09-28,ชาเขียว
T-200046,2025-09-28,เบียร์
T-200046,2025-09-28,ไข่ไก่
T-200047,2025-09-23,ถุงพลาสติก
T-200047,2025-09-23,บะหมี่กึ่งสำเร็จรูป
T-200048,2025-09-20,ขนมปัง
T-200048,2025-09-20,ถุงพลาสติก
T-200049,2025-09-08,ชาเขียว
T-200049,2025-09-08,ถุงพลาสติก
T-200050,2025-09-16,ขนมปัง
T-200050,2025-09-16,ถุงพลาสติก
T-200050,2025-09-16,นมสด
T-200051,2025-07-26,กาแฟสด
T-200051,2025-07-26,ถุงพลาสติก
T-200051,2025-07-26,บะหมี่กึ่งสำเร็จรูป
T-200051,2025-07-26,มันฝรั่งทอด
T-200051,2025-07-26,ไข่ไก่
T-200052,2025-07-23,ขนมปัง
T-200052,2025-07-23,ถุงพลาสติก
T-200052,2025-07-23,บะหมี่กึ่งสำเร็จรูป
T-200052,2025-07-23,เบียร์
T-200052,2025-07-23,แชมพู
T-200053,2025-08-18,ถุงพลาสติก
T-200053,2025-08-18,นมสด
T-200053,2025-08-18,น้ำดื่ม
T-200053,2025-08-18,มันฝรั่งทอด
T-200054,2025-08-27,กาแฟสด
T-200054,2025-08-27,ถุงพลาสติก
T-200054,2025-08-27,เบียร์
T-200055,2025-08-26,ถุงพลาสติก
T-200055,2025-08-26,ผงซักฟอก
T-200056,2025-07-31,ขนมปัง
T-200056,2025-07-31,ถุงพลาสติก
T-200057,2025-07-01,กาแฟสด
T-200057,2025-07-01,ถุงพลาสติก
T-200057,2025-07-01,นมสด
T-200057,2025-07-01,น้ำดื่ม
T-200057,2025-07-01,ผ้าอ้อม
T-200057,2025-07-01,ผ้าเช็ดทำความสะอาด
T-200058,2025-08-13,ถุงพลาสติก
T-200058,2025-08-13,มันฝรั่งทอด
T-200059,2025-07-31,ถุงพลาสติก
T-200059,2025-07-31,น้ำดื่ม
T-200059,2025-07-31,บะหมี่กึ่งสำเร็จรูป
T-200060,2025-09-12,เบียร์
T-200061,2025-09-24,ถุงพลาสติก
T-200061,2025-09-24,บะหมี่กึ่งสำเร็จรูป
T-200062,2025-08-20,ชาเขียว
T-200062,2025-08-20,ถุงพลาสติก
T-200062,2025-08-20,มันฝรั่งทอด
T-200063,2025-07-17,ขนมปัง
T-200063,2025-07-17,ชาเขียว
T-200063,2025-07-17,ถุงพลาสติก
T-200064,2025-09-01,ถุงพลาสติก
T-200064,2025-09-01,ผ้าเช็ดทำความสะอาด
T-200064,2025-09-01,มันฝรั่งทอด
T-200064,2025-09-01,ไข่ไก่
T-200065,2025-08-04,กาแฟสด
T-200065,2025-08-04,ถุงพลาสติก
T-200065,2025-08-04,น้ำดื่ม
T-200065,2025-08-04,บะหมี่กึ่งสำเร็จรูป
T-200065,2025-08-04,ผ้าอ้อม
T-200065,2025-08-04,ผ้าเช็ดทำความสะอาด
T-200065,2025-08-04,มันฝรั่งทอด
T-200065,2025-08-04,ไข่ไก่
T-200066,2025-08-07,กาแฟสด
T-200066,2025-08-07,ขนมปัง
T-200066,2025-08-07,ถุงพลาสติก
T-200066,2025-08-07,นมสด
T-200066,2025-08-07,ไข่ไก่
T-200067,2025-07-04,ถุงพลาสติก
T-200067,2025-07-04,ผงซักฟอก
T-200068,2025-07-14,ชาเขียว
T-200068,2025-07-14,ถุงพลาสติก
T-200068,2025-07-14,แชมพู
T-200069,2025-09-26,กาแฟสด
T-200069,2025-09-26,ขนมปัง
T-200069,2025-09-26,ถุงพลาสติก
T-200069,2025-09-26,ผงซักฟอก
T-200069,2025-09-26,มันฝรั่งทอด
T-200069,2025-09-26,แชมพู
T-200070,2025-08-03,กาแฟสด
T-200070,2025-08-03,บะหมี่กึ่งสำเร็จรูป
T-200070,2025-08-03,มันฝรั่งทอด
T-200071,2025-07-14,ถุงพลาสติก
T-200071,2025-07-14,บะหมี่กึ่งสำเร็จรูป
T-200071,2025-07-14,มันฝรั่งทอด
T-200072,2025-09-25,ขนมปัง
T-200072,2025-09-25,เบียร์
T-200072,2025-09-25,แชมพู
T-200073,2025-09-22,ถุงพลาสติก
T-200073,2025-09-22,น้ำดื่ม
T-200073,2025-09-22,มันฝรั่งทอด
T-200074,2025-07-22,กาแฟสด
T-200074,2025-07-22,ขนมปัง
T-200074,2025-07-22,ผงซักฟอก
T-200074,2025-07-22,ผ้าเช็ดทำความสะอาด
T-200074,2025-07-22,แชมพู
T-200074,2025-07-22,ไข่ไก่
T-200075,2025-09-24,กาแฟสด
T-200075,2025-09-24,ขนมปัง
T-200075,2025-09-24,ถุงพลาสติก
T-200075,2025-09-24,น้ำดื่ม
T-200076,2025-07-10,มันฝรั่งทอด
T-200076,2025-07-10,แชมพู
T-200077,2025-07-26,ถุงพลาสติก
T-200077,2025-07-26,น้ำดื่ม
T-200077,2025-07-26,ผ้าอ้อม
T-200077,2025-07-26,มันฝรั่งทอด
T-200077,2025-07-26,เบียร์
T-200077,2025-07-26,ไข่ไก่
T-200078,2025-08-03,ขนมปัง
T-200078,2025-08-03,ถุงพลาสติก
T-200078,2025-08-03,น้ำดื่ม
T-200079,2025-07-13,กาแฟสด
T-200079,2025-07-13,ขนมปัง
T-200079,2025-07-13,ถุงพลาสติก
T-200079,2025-07-13,ไข่ไก่
T-200080,2025-07-13,กาแฟสด
T-200080,2025-07-13,ถุงพลาสติก
T-200080,2025-07-13,มันฝรั่งทอด
T-200080,2025-07-13,ไข่ไก่
T-200081,2025-07-01,กาแฟสด
T-200081,2025-07-01,ขนมปัง
T-200081,2025-07-01,ถุงพลาสติก
T-200081,2025-07-01,น้ำดื่ม
T-200081,2025-07-01,บะหมี่กึ่งสำเร็จรูป
T-200082,2025-07-16,กาแฟสด
T-200082,2025-07-16,ถุงพลาสติก
T-200082,2025-07-16,นมสด
T-200082,2025-07-16,น้ำดื่ม
T-200082,2025-07-16,บะหมี่กึ่งสำเร็จรูป
T-200082,2025-07-16,ผ้าอ้อม
T-200083,2025-07-11,กาแฟสด
T-200083,2025-07-11,ถุงพลาสติก
T-200083,2025-07-11,บะหมี่กึ่งสำเร็จรูป
T-200083,2025-07-11,ไข่ไก่
T-200084,2025-08-06,ขนมปัง
T-200084,2025-08-06,นมสด
T-200084,2025-08-06,ผ้าเช็ดทำความสะอาด
T-200084,2025-08-06,แชมพู
T-200084,2025-08-06,ไข่ไก่
T-200085,2025-09-11,ถุงพลาสติก
T-200085,2025-09-11,น้ำดื่ม
T-200086,2025-07-29,กาแฟสด
T-200086,2025-07-29,ขนมปัง
T-200086,2025-07-29,ถุงพลาสติก
T-200086,2025-07-29,น้ำดื่ม
T-200086,2025-07-29,มันฝรั่งทอด
T-200087,2025-09-19,ขนมปัง
T-200087,2025-09-19,ถุงพลาสติก
T-200087,2025-09-19,ผงซักฟอก
T-200088,2025-08-18,ผงซักฟอก
T-200088,2025-08-18,เบียร์
T-200089,2025-07-06,ถุงพลาสติก
T-200089,2025-07-06,น้ำดื่ม
T-200089,2025-07-06,มันฝรั่งทอด
T-200090,2025-08-13,ถุงพลาสติก
T-200090,2025-08-13,นมสด
T-200090,2025-08-13,เบียร์
T-200091,2025-08-20,ขนมปัง
T-200091,2025-08-20,ถุงพลาสติก
T-200091,2025-08-20,มันฝรั่งทอด
T-200092,2025-08-23,น้ำดื่ม
T-200092,2025-08-23,มันฝรั่งทอด
T-200093,2025-08-18,ถุงพลาสติก
T-200093,2025-08-18,ไข่ไก่
T-200094,2025-08-30,ถุงพลาสติก
T-200094,2025-08-30,น้ำดื่ม
T-200094,2025-08-30,ผ้าอ้อม
T-200095,2025-09-12,ถุงพลาสติก
T-200095,2025-09-12,น้ำดื่ม
T-200095,2025-09-12,บะหมี่กึ่งสำเร็จรูป
T-200095,2025-09-12,เบียร์
T-200096,2025-07-11,กาแฟสด
T-200096,2025-07-11,ถุงพลาสติก
T-200096,2025-07-11,น้ำดื่ม
T-200096,2025-07-11,เบียร์
T-200096,2025-07-11,แชมพู
T-200097,2025-09-21,ถุงพลาสติก
T-200097,2025-09-21,นมสด
T-200097,2025-09-21,ผงซักฟอก
T-200098,2025-08-15,ถุงพลาสติก
T-200098,2025-08-15,น้ำดื่ม
T-200099,2025-07-21,กาแฟสด
T-200099,2025-07-21,ถุงพลาสติก
T-200099,2025-07-21,นมสด
T-200099,2025-07-21,น้ำดื่ม
T-200099,2025-07-21,ผ้าอ้อม
T-200099,2025-07-21,ผ้าเช็ดทำความสะอาด
T-200099,2025-07-21,เบียร์
T-200100,2025-09-28,ชาเขียว
T-200100,2025-09-28,ถุงพลาสติก
T-200100,2025-09-28,น้ำดื่ม
T-200100,2025-09-28,มันฝรั่งทอด
T-200101,2025-08-16,ชาเขียว
T-200101,2025-08-16,นมสด
T-200101,2025-08-16,ไข่ไก่
T-200102,2025-08-24,ถุงพลาสติก
T-200102,2025-08-24,บะหมี่กึ่งสำเร็จรูป
T-200103,2025-08-05,ถุงพลาสติก
T-200103,2025-08-05,มันฝรั่งทอด
T-200104,2025-08-11,ขนมปัง
T-200104,2025-08-11,ถุงพลาสติก
T-200104,2025-08-11,ไข่ไก่
T-200105,2025-07-21,ถุงพลาสติก
T-200105,2025-07-21,นมสด
T-200105,2025-07-21,มันฝรั่งทอด
T-200106,2025-09-24,กาแฟสด
T-200106,2025-09-24,น้ำดื่ม
T-200106,2025-09-24,บะหมี่กึ่งสำเร็จรูป
T-200106,2025-09-24,ผ้าอ้อม
T-200106,2025-09-24,ผ้าเช็ดทำความสะอาด
T-200106,2025-09-24,เบียร์
T-200107,2025-08-12,ถุงพลาสติก
T-200108,2025-07-27,กาแฟสด
T-200108,2025-07-27,ถุงพลาสติก
T-200108,2025-07-27,มันฝรั่งทอด
T-200108,2025-07-27,ไข่ไก่
T-200109,2025-08-09,ถุงพลาสติก
T-200109,2025-08-09,นมสด
T-200109,2025-08-09,แชมพู
T-200110,2025-09-01,กาแฟสด
T-200110,2025-09-01,ถุงพลาสติก
T-200111,2025-09-13,ขนมปัง
T-200111,2025-09-13,ถุงพลาสติก
T-200111,2025-09-13,เบียร์
T-200111,2025-09-13,ไข่ไก่
T-200112,2025-07-28,ชาเขียว
T-200112,2025-07-28,ถุงพลาสติก
T-200112,2025-07-28,น้ำดื่ม
T-200112,2025-07-28,มันฝรั่งทอด
T-200113,2025-07-19,กาแฟสด
T-200113,2025-07-19,ถุงพลาสติก
T-200114,2025-07-31,ถุงพลาสติก
T-200115,2025-09-28,ขนมปัง
T-200115,2025-09-28,ถุงพลาสติก
T-200115,2025-09-28,มันฝรั่งทอด
T-200115,2025-09-28,แชมพู
T-200116,2025-09-13,กาแฟสด
T-200116,2025-09-13,ถุงพลาสติก
T-200116,2025-09-13,น้ำดื่ม
T-200116,2025-09-13,แชมพู
T-200116,2025-09-13,ไข่ไก่
T-200117,2025-07-13,ขนมปัง
T-200117,2025-07-13,ถุงพลาสติก
T-200118,2025-09-05,ชาเขียว
T-200118,2025-09-05,ถุงพลาสติก
T-200118,2025-09-05,นมสด
T-200118,2025-09-05,ไข่ไก่
T-200119,2025-09-14,ขนมปัง
T-200119,2025-09-14,ถุงพลาสติก
T-200119,2025-09-14,น้ำดื่ม
T-200119,2025-09-14,ผงซักฟอก
T-200119,2025-09-14,ไข่ไก่
T-200120,2025-09-22,กาแฟสด
T-200120,2025-09-22,ถุงพลาสติก
T-200120,2025-09-22,น้ำดื่ม
T-200120,2025-09-22,บะหมี่กึ่งสำเร็จรูป
T-200120,2025-09-22,แชมพู
T-200120,2025-09-22,ไข่ไก่
T-200121,2025-09-27,ขนมปัง
T-200121,2025-09-27,ผ้าอ้อม
T-200121,2025-09-27,เบียร์
T-200122,2025-08-30,ถุงพลาสติก
T-200122,2025-08-30,มันฝรั่งทอด
T-200123,2025-08-07,กาแฟสด
T-200123,2025-08-07,ถุงพลาสติก
T-200123,2025-08-07,บะหมี่กึ่งสำเร็จรูป
T-200124,2025-07-18,ชาเขียว
T-200124,2025-07-18,ถุงพลาสติก
T-200124,2025-07-18,แชมพู
T-200125,2025-07-17,ชาเขียว
T-200125,2025-07-17,ถุงพลาสติก
T-200125,2025-07-17,มันฝรั่งทอด
T-200126,2025-07-22,ถุงพลาสติก
T-200126,2025-07-22,นมสด
T-200127,2025-07-31,ชาเขียว
T-200127,2025-07-31,ถุงพลาสติก
T-200127,2025-07-31,มันฝรั่งทอด
T-200128,2025-08-12,มันฝรั่งทอด
T-200129,2025-07-29,ถุงพลาสติก
T-200130,2025-08-07,กาแฟสด
T-200130,2025-08-07,ถุงพลาสติก
T-200130,2025-08-07,มันฝรั่งทอด
T-200130,2025-08-07,เบียร์
T-200131,2025-08-25,ขนมปัง
T-200131,2025-08-25,ชาเขียว
T-200131,2025-08-25,นมสด
T-200131,2025-08-25,บะหมี่กึ่งสำเร็จรูป
T-200132,2025-09-23,กาแฟสด
T-200132,2025-09-23,ถุงพลาสติก
T-200132,2025-09-23,นมสด
T-200132,2025-09-23,บะหมี่กึ่งสำเร็จรูป
T-200132,2025-09-23,ไข่ไก่
T-200133,2025-07-06,กาแฟสด
T-200133,2025-07-06,ถุงพลาสติก
T-200133,2025-07-06,บะหมี่กึ่งสำเร็จรูป
T-200133,2025-07-06,ไข่ไก่
T-200134,2025-07-19,กาแฟสด
T-200134,2025-07-19,ถุงพลาสติก
T-200134,2025-07-19,บะหมี่กึ่งสำเร็จรูป
T-200135,2025-07-01,ขนมปัง
T-200135,2025-07-01,นมสด
T-200135,2025-07-01,น้ำดื่ม
T-200136,2025-08-20,ขนมปัง
T-200136,2025-08-20,น้ำดื่ม
T-200136,2025-08-20,บะหมี่กึ่งสำเร็จรูป
T-200137,2025-08-25,กาแฟสด
T-200137,2025-08-25,ถุงพลาสติก
T-200137,2025-08-25,มันฝรั่งทอด
T-200137,2025-08-25,แชมพู
T-200138,2025-08-12,ขนมปัง
T-200138,2025-08-12,ถุงพลาสติก
T-200138,2025-08-12,ผงซักฟอก
T-200139,2025-07-11,ถุงพลาสติก
T-200139,2025-07-11,ผ้าอ้อม
T-200139,2025-07-11,ผ้าเช็ดทำความสะอาด
T-200139,2025-07-11,มันฝรั่งทอด
T-200139,2025-07-11,แชมพู
T-200140,2025-08-10,ถุงพลาสติก
T-200140,2025-08-10,น้ำดื่ม
T-200140,2025-08-10,บะหมี่กึ่งสำเร็จรูป
T-200140,2025-08-10,มันฝรั่งทอด
T-200141,2025-08-16,ขนมปัง
T-200141,2025-08-16,ถุงพลาสติก
T-200141,2025-08-16,นมสด
T-200141,2025-08-16,น้ำดื่ม
T-200141,2025-08-16,ผ้าอ้อม
T-200141,2025-08-16,มันฝรั่งทอด
T-200141,2025-08-16,ไข่ไก่
T-200142,2025-07-12,กาแฟสด
T-200142,2025-07-12,ถุงพลาสติก
T-200142,2025-07-12,บะหมี่กึ่งสำเร็จรูป
T-200142,2025-07-12,มันฝรั่งทอด
T-200142,2025-07-12,ไข่ไก่
T-200143,2025-07-10,ขนมปัง
T-200143,2025-07-10,ถุงพลาสติก
T-200143,2025-07-10,น้ำดื่ม
T-200143,2025-07-10,ผงซักฟอก
T-200144,2025-09-13,กาแฟสด
T-200144,2025-09-13,ขนมปัง
T-200144,2025-09-13,ถุงพลาสติก
T-200144,2025-09-13,น้ำดื่ม
T-200144,2025-09-13,ผงซักฟอก
T-200145,2025-08-28,ถุงพลาสติก
T-200145,2025-08-28,น้ำดื่ม
T-200145,2025-08-28,ผ้าอ้อม
T-200145,2025-08-28,ผ้าเช็ดทำความสะอาด
T-200145,2025-08-28,มันฝรั่งทอด
T-200146,2025-08-15,กาแฟสด
T-200146,2025-08-15,ถุงพลาสติก
T-200146,2025-08-15,นมสด
T-200146,2025-08-15,ไข่ไก่
T-200147,2025-09-02,ชาเขียว
T-200147,2025-09-02,ถุงพลาสติก
T-200147,2025-09-02,น้ำดื่ม
T-200147,2025-09-02,ผ้าอ้อม
T-200147,2025-09-02,ผ้าเช็ดทำความสะอาด
T-200147,2025-09-02,ไข่ไก่
T-200148,2025-08-07,ขนมปัง
T-200148,2025-08-07,ถุงพลาสติก
T-200149,2025-08-18,ขนมปัง
T-200149,2025-08-18,ถุงพลาสติก
T-200149,2025-08-18,ไข่ไก่
T-200150,2025-08-08,กาแฟสด
T-200150,2025-08-08,น้ำดื่ม
T-200151,2025-07-24,กาแฟสด
T-200151,2025-07-24,ขนมปัง
T-200151,2025-07-24,ถุงพลาสติก
T-200151,2025-07-24,นมสด
T-200152,2025-07-27,ขนมปัง
T-200152,2025-07-27,ถุงพลาสติก
T-200152,2025-07-27,น้ำดื่ม
T-200153,2025-08-08,ถุงพลาสติก
T-200153,2025-08-08,ผงซักฟอก
T-200154,2025-07-10,ขนมปัง
T-200154,2025-07-10,ถุงพลาสติก
T-200154,2025-07-10,นมสด
T-200154,2025-07-10,น้ำดื่ม
T-200154,2025-07-10,ไข่ไก่
T-200155,2025-09-09,ถุงพลาสติก
T-200155,2025-09-09,ผงซักฟอก
T-200155,2025-09-09,แชมพู
T-200156,2025-07-11,ถุงพลาสติก
T-200156,2025-07-11,น้ำดื่ม
T-200156,2025-07-11,ผ้าอ้อม
T-200156,2025-07-11,แชมพู
T-200156,2025-07-11,ไข่ไก่
T-200157,2025-08-16,กาแฟสด
T-200157,2025-08-16,ขนมปัง
T-200157,2025-08-16,มันฝรั่งทอด
T-200158,2025-09-20,ชาเขียว
T-200158,2025-09-20,นมสด
T-200159,2025-08-16,ถุงพลาสติก
T-200159,2025-08-16,น้ำดื่ม
T-200159,2025-08-16,มันฝรั่งทอด
T-200160,2025-09-08,ชาเขียว
T-200160,2025-09-08,ถุงพลาสติก
T-200160,2025-09-08,บะหมี่กึ่งสำเร็จรูป
T-200160,2025-09-08,ไข่ไก่
T-200161,2025-07-19,กาแฟสด
T-200161,2025-07-19,ขนมปัง
T-200161,2025-07-19,บะหมี่กึ่งสำเร็จรูป
T-200161,2025-07-19,ผ้าเช็ดทำความสะอาด
T-200161,2025-07-19,เบียร์
T-200162,2025-08-13,ถุงพลาสติก
T-200162,2025-08-13,ไข่ไก่
T-200163,2025-08-13,ถุงพลาสติก
T-200163,2025-08-13,ผ้าอ้อม
T-200163,2025-08-13,ผ้าเช็ดทำความสะอาด
T-200164,2025-07-24,ถุงพลาสติก
T-200164,2025-07-24,น้ำดื่ม
T-200164,2025-07-24,เบียร์
T-200165,2025-09-24,ถุงพลาสติก
T-200165,2025-09-24,นมสด
T-200166,2025-09-15,น้ำดื่ม
T-200167,2025-08-26,กาแฟสด
T-200167,2025-08-26,ขนมปัง
T-200167,2025-08-26,ถุงพลาสติก
T-200167,2025-08-26,นมสด
T-200167,2025-08-26,ผงซักฟอก
T-200168,2025-07-31,ขนมปัง
T-200168,2025-07-31,ถุงพลาสติก
T-200168,2025-07-31,นมสด
T-200168,2025-07-31,น้ำดื่ม
T-200169,2025-08-08,ขนมปัง
T-200169,2025-08-08,ชาเขียว
T-200169,2025-08-08,ถุงพลาสติก
T-200169,2025-08-08,น้ำดื่ม
T-200169,2025-08-08,เบียร์
T-200170,2025-09-09,กาแฟสด
T-200170,2025-09-09,นมสด
T-200170,2025-09-09,แชมพู
T-200171,2025-08-30,กาแฟสด
T-200171,2025-08-30,ขนมปัง
T-200171,2025-08-30,ถุงพลาสติก
T-200171,2025-08-30,เบียร์
T-200171,2025-08-30,แชมพู
T-200172,2025-09-11,ชาเขียว
T-200172,2025-09-11,นมสด
T-200172,2025-09-11,น้ำดื่ม
T-200172,2025-09-11,ผ้าอ้อม
T-200172,2025-09-11,ผ้าเช็ดทำความสะอาด
T-200173,2025-07-09,ขนมปัง
T-200173,2025-07-09,ถุงพลาสติก
T-200173,2025-07-09,ไข่ไก่
T-200174,2025-09-14,ชาเขียว
T-200174,2025-09-14,ถุงพลาสติก
T-200174,2025-09-14,มันฝรั่งทอด
T-200174,2025-09-14,เบียร์
T-200175,2025-08-29,กาแฟสด
T-200175,2025-08-29,ถุงพลาสติก
T-200175,2025-08-29,นมสด
T-200175,2025-08-29,เบียร์
T-200176,2025-09-09,กาแฟสด
T-200176,2025-09-09,ถุงพลาสติก
T-200176,2025-09-09,น้ำดื่ม
T-200177,2025-07-16,ชาเขียว
T-200177,2025-07-16,ถุงพลาสติก
T-200177,2025-07-16,นมสด
T-200177,2025-07-16,น้ำดื่ม
T-200177,2025-07-16,บะหมี่กึ่งสำเร็จรูป
T-200177,2025-07-16,ผ้าอ้อม
