customer_id,recency_days,frequency,monetary
N-40104,45,42,129984.41
N-40105,83,3,169830.15
N-40106,215,28,150116.13
N-40107,127,4,48511.32
N-40108,262,29,97285.66
N-40109,72,6,59658.00
N-40110,149,31,184650.18
N-40111,411,23,28903.97
N-40112,224,42,72514.38
N-40113,182,25,183699.37
N-40114,209,18,149629.92
N-40115,395,31,171854.65
N-40116,97,19,173131.68
N-40117,293,15,2557.34
N-40118,246,12,205848.51
N-40119,62,1,107446.40
N-40120,247,43,32682.68
N-40121,72,29,194172.02
N-40122,266,25,832.06
N-40123,4,4,168185.92
N-40124,418,33,73742.56
N-40125,7,37,203784.78
N-40126,74,6,163158.12
N-40127,218,11,130892.90
N-40128,407,32,10201.91
N-40129,9,35,103130.15
N-40130,215,33,149087.51
N-40131,248,18,136241.67
N-40132,131,14,133445.68
N-40133,9,12,146532.42
N-40134,276,12,31763.59
N-40135,414,26,14078.33
N-40136,308,20,44387.99
N-40137,283,12,57347.36
N-40138,61,15,156555.23
N-40139,231,25,197080.46
N-40140,330,40,126865.12
N-40141,21,33,183207.24
N-40142,376,7,49332.61
N-40143,239,42,34650.06
N-40144,213,48,120883.06
N-40145,290,10,4910.96
N-40146,141,10,95069.18
N-40147,235,36,109772.21
N-40148,203,45,103720.94
N-40149,107,28,41284.75
N-40150,207,34,132894.71
N-40151,288,31,21769.87
N-40152,135,33,22177.58
N-40153,303,9,176000.33
N-40154,306,24,130578.75
N-40155,304,4,110383.93
N-40156,415,30,177516.17
N-40157,117,40,84487.44
N-40158,320,11,60255.81
N-40159,57,45,22586.29
N-40160,370,13,120296.73
N-40161,266,31,78232.66
N-40162,414,14,45331.76
N-40163,80,1,3424.01
N-40164,21,21,100886.57
N-40165,412,34,3350.82
N-40166,179,48,18675.56
N-40167,389,11,103551.41
N-40168,205,27,89540.80
N-40169,5,30,124348.88
N-40170,332,25,121659.86
N-40171,222,8,6309.09
N-40172,147,2,145938.78
N-40173,215,26,196343.91
N-40174,267,16,126012.16
N-40175,60,9,12351.76
N-40176,27,35,136374.75
N-40177,149,9,201874.53
N-40178,175,18,171116.84
N-40179,296,21,22591.34
N-40180,158,38,92145.88
N-40181,193,14,164846.46
N-40182,295,46,206065.59
N-40183,328,24,187690.55
N-40184,386,12,19754.54
N-40185,113,26,192662.25
N-40186,408,43,83092.56
N-40187,70,26,107154.42
N-40188,253,8,58912.06
N-40189,364,26,4340.87
N-40190,169,37,174812.49
N-40191,33,30,97284.21
N-40192,111,30,2883.50
N-40193,122,18,200359.19
N-40194,245,16,194231.99
N-40195,419,33,113971.01
N-40196,314,22,153058.05
N-40197,311,45,147294.76
N-40198,98,15,110238.49
N-40199,99,2,22813.98
N-40200,376,20,135184.94
N-40201,320,27,96338.63
N-40202,371,48,51531.55
N-40203,186,21,165660.63
N-40204,376,8,94871.93
N-40205,13,24,101233.92
N-40206,191,27,55068.40
N-40207,65,41,62456.71
N-40208,13,48,98677.76
N-40209,37,14,201822.00
N-40210,83,5,162861.67
N-40211,179,20,204762.88
N-40212,105,19,179344.08
N-40213,181,33,63435.75
N-40214,216,2,42910.75
N-40215,307,21,208249.49
N-40216,227,27,63077.66
N-40217,320,3,14965.85
N-40218,173,2,75291.53
N-40219,380,34,150089.30
N-40220,318,48,117213.46
N-40221,31,28,188016.33
N-40222,110,18,13997.60
N-40223,79,23,68268.97
N-40224,276,18,93594.01
N-40225,100,9,40242.65
N-40226,389,31,185785.37
N-40227,334,5,105459.67
N-40228,35,17,65768.94
N-40229,23,17,136420.45
N-40230,390,10,41946.30
N-40231,121,25,38184.37
N-40232,379,42,190762.85
N-40233,354,46,27340.80
N-40234,353,34,97313.69
N-40235,224,8,79531.19
N-40236,379,31,89726.61
N-40237,247,28,208778.11
N-40238,271,5,194882.61
N-40239,27,22,104675.18
N-40240,63,17,37857.99
N-40241,153,2,102723.37
N-40242,61,14,205911.04
N-40243,321,43,100483.86
N-40244,22,44,13232.08
N-40245,73,20,120088.39
N-40246,345,42,52992.30
N-40247,11,34,14385.73
N-40248,60,16,207644.90
N-40249,8,8,45116.90
N-40250,14,29,12738.93
N-40251,61,41,4583.13
N-40252,67,30,140888.39
N-40253,368,11,190803.92
N-40254,272,46,185729.47
N-40255,243,9,100330.42
N-40256,355,44,84767.89
N-40257,244,25,160513.75
N-40258,335,6,168222.15
N-40259,380,11,159764.59
N-40260,319,31,130499.83
N-40261,219,24,176462.15
N-40262,313,37,137303.70
N-40263,300,38,14782.42
N-40264,18,22,31676.88
N-40265,108,31,44515.76
N-40266,161,46,177045.76
N-40267,359,35,34204.10
N-40268,201,28,137499.44
N-40269,324,19,79138.59
N-40270,350,23,173783.08
N-40271,196,31,73594.76
N-40272,412,20,185640.27
N-40273,164,23,19565.93
N-40274,388,42,40877.66
N-40275,415,25,142930.52
N-40276,398,32,129180.34
N-40277,391,8,63030.56
N-40278,178,48,129529.70
N-40279,381,37,96896.89
N-40280,325,23,106251.03
N-40281,267,12,160708.92
N-40282,200,17,97476.15
N-40283,39,44,107219.17
N-40284,154,28,140278.59
N-40285,248,14,7673.06
N-40286,253,21,199455.40
N-40287,394,47,42519.39
N-40288,401,18,24581.79
N-40289,25,39,200115.04
N-40290,299,6,161315.50
N-40291,93,25,119896.61
N-40292,60,29,67121.23
N-40293,252,28,82201.12
N-40294,287,11,133041.06
N-40295,263,6,169067.22
N-40296,134,6,174784.73
N-40297,357,34,139017.71
N-40298,150,33,101001.27
N-40299,221,26,154068.40
N-40300,362,18,205168.98
N-40301,397,21,50848.22
N-40302,119,14,95331.83
N-40303,158,3,92611.31
N-40304,164,48,155228.96
N-40305,230,11,70994.60
N-40306,286,39,37684.35
N-40307,3,43,53217.99
N-40308,364,36,7969.30
N-40309,67,14,170764.45
N-40310,337,13,49621.34
N-40311,61,13,143502.15
N-40312,229,42,85902.03
N-40313,291,31,92339.42
N-40314,407,16,208753.34
N-40315,231,24,89975.47
N-40316,293,38,7291.18
N-40317,362,42,198153.66
N-40318,405,48,126430.94
N-40319,100,14,101792.21
N-40320,404,4,123154.65
N-40321,50,46,137992.02
N-40322,368,44,75315.82
N-40323,290,6,165623.96
N-40324,263,35,184030.35
N-40325,69,32,25732.89
N-40326,419,15,139430.20
N-40327,379,47,16626.13
N-40328,126,8,90760.70
N-40329,352,31,62939.93
N-40330,395,13,108979.94
N-40331,94,44,117252.73
N-40332,136,48,166756.20
N-40333,115,39,38576.03
N-40334,221,38,61164.01
N-40335,239,28,38346.94
N-40336,372,46,82407.10
N-40337,24,32,70541.78
N-40338,369,10,174528.27
N-40339,8,37,130251.87
N-40340,15,1,33267.66
N-40341,355,38,83850.82
N-40342,306,32,59976.52
N-40343,257,45,130723.06
N-40344,182,20,62470.45
N-40345,241,41,17277.18
N-40346,302,6,190262.05
N-40347,173,26,163014.42
N-40348,387,43,93718.99
N-40349,225,10,150577.13
N-40350,280,26,128206.69
N-40351,357,21,130740.45
N-40352,210,33,203396.82
N-40353,47,20,209787.23
N-40354,8,9,111835.64
N-40355,317,48,63569.39
N-40356,139,43,52851.01
N-40357,388,46,59704.94
N-40358,51,29,81980.40
N-40359,68,46,151398.05
N-40360,24,1,158856.12
N-40361,323,47,42571.15
N-40362,311,17,954.55
N-40363,188,25,65737.33
N-40364,356,26,186839.79
N-40365,310,27,134544.30
N-40366,133,41,4686.80
N-40367,229,26,181873.43
N-40368,8,20,39355.73
N-40369,269,28,135780.50
N-40370,280,39,93054.64
N-40371,45,23,77588.27
N-40372,272,39,9457.75
N-40373,184,8,117986.35
N-40374,76,7,133950.79
N-40375,135,21,39385.17
N-40376,407,6,126550.35
N-40377,267,25,65397.91
N-40378,229,5,202104.63
N-40379,236,31,131974.92
N-40380,332,23,189445.53
N-40381,408,8,80694.74
N-40382,276,16,137448.20
N-40383,285,16,48055.02
N-40384,42,5,117819.96
N-40385,201,21,2958.67
N-40386,64,26,143646.15
N-40387,148,15,65153.20
N-40388,286,22,194702.95
N-40389,244,11,96742.57
N-40390,86,23,205789.31
N-40391,300,12,196240.97
N-40392,83,42,209559.39
N-40393,153,31,94682.88
N-40394,240,16,195139.00
N-40395,399,34,52382.04
N-40396,333,23,70257.97
N-40397,240,41,85088.65
N-40398,328,42,70234.22
N-40399,286,42,16181.79
N-40400,97,1,172584.29
N-40401,326,43,205873.88
N-40402,375,36,147686.79
N-40403,255,15,147803.81
N-40404,29,14,80576.79
N-40405,194,16,46397.03
N-40406,321,32,42791.90
N-40407,341,27,165041.96
N-40408,225,47,169106.07
N-40409,179,21,92999.53
N-40410,274,15,105266.83
N-40411,356,26,202118.94
N-40412,335,43,35745.78
N-40413,328,34,129809.96
N-40414,123,1,110400.34
N-40415,354,11,114075.42
N-40416,180,28,46663.40
N-40417,333,30,153324.74
N-40418,113,27,195650.55
N-40419,368,45,89849.70
N-40420,138,34,158377.77
N-40421,37,28,56575.26
N-40422,182,12,201368.28
N-40423,304,1,100537.25
N-40424,244,17,147602.96
N-40425,119,39,91798.63
N-40426,14,40,102051.68
N-40427,29,6,77102.37
N-40428,112,21,136116.02
N-40429,364,12,209919.16
N-40430,129,37,104269.98
N-40431,119,18,197593.28
N-40432,128,8,198351.52
N-40433,82,20,136536.48
N-40434,23,47,131862.15
N-40435,402,15,137551.19
N-40436,21,23,111150.63
N-40437,314,8,58892.58
N-40438,314,10,101203.65
N-40439,118,24,126012.89
N-40440,68,42,34025.60
N-40441,225,25,155456.28
N-40442,35,35,118054.35
N-40443,106,21,144879.39
N-40444,206,33,176485.86
N-40445,96,35,177907.08
N-40446,296,47,138756.49
N-40447,147,5,151265.92
N-40448,169,6,191642.40
N-40449,282,27,119080.05
N-40450,134,25,34027.25
N-40451,114,19,204622.71
N-40452,299,27,69266.26
N-40453,325,31,196147.51
N-40454,165,40,187350.63
N-40455,290,35,20333.07
N-40456,354,47,25692.62
N-40457,311,48,55712.70
N-40458,401,40,2470.14
N-40459,278,23,181824.96
N-40460,378,7,67181.61
N-40461,96,44,92770.79
N-40462,373,25,206305.17
N-40463,236,37,77507.34
N-40464,399,25,31350.46
N-40465,110,16,88151.50
N-40466,419,48,177358.65
N-40467,340,30,13763.49
N-40468,37,39,13164.91
N-40469,246,32,127647.06
N-40470,401,47,182798.23
N-40471,74,35,150809.90
N-40472,375,45,22356.93
N-40473,406,4,104474.58
N-40474,250,12,3738.51
N-40475,179,33,11643.67
N-40476,202,32,163207.21
N-40477,84,34,106881.22
N-40478,200,37,145305.93
N-40479,29,2,24750.69
N-40480,130,1,136638.11
N-40481,231,40,195340.04
N-40482,228,38,193497.49
N-40483,370,47,131650.63
N-40484,394,26,95408.79
N-40485,144,12,58244.29
N-40486,147,27,68334.40
N-40487,163,41,55316.85
N-40488,72,41,14202.73
N-40489,293,7,141889.20
N-40490,160,2,141360.14
N-40491,230,29,154605.36
N-40492,366,39,176446.09
N-40493,159,2,202794.94
N-40494,282,6,137149.16
N-40495,166,25,128787.12
N-40496,222,23,156113.29
N-40497,91,43,169174.13
N-40498,133,16,174138.65
N-40499,227,37,91587.49
N-40500,176,33,167018.17
N-40501,62,28,36744.29
N-40502,53,31,31340.94
N-40503,418,22,27627.76
N-40504,292,30,39327.37
N-40505,197,5,68410.58
N-40506,114,27,93037.45
N-40507,38,27,101227.15
N-40508,221,1,86897.30
N-40509,267,2,207862.02
N-40510,82,4,123418.95
N-40511,54,32,108629.60
N-40512,186,34,79406.61
N-40513,145,16,207159.93
N-40514,73,33,35946.92
N-40515,238,35,128351.21
N-40516,96,9,134485.61
N-40517,154,4,26416.36
N-40518,204,8,191440.36
N-40519,239,23,57593.41
N-40520,134,20,107749.93
N-40521,187,16,72272.14
N-40522,359,26,173860.08
N-40523,79,5,98946.79
N-40524,79,26,108415.10
N-40525,349,36,204392.16
N-40526,236,10,103350.47
N-40527,26,9,166632.14
N-40528,74,13,115927.21
N-40529,419,34,5332.67
N-40530,345,8,83608.07
N-40531,410,18,143798.70
N-40532,147,3,32389.76
N-40533,372,29,2933.69
N-40534,99,35,181895.01
N-40535,406,22,106104.42
N-40536,391,37,57891.08
N-40537,349,25,66969.98
N-40538,250,29,142911.66
N-40539,126,23,102980.62
N-40540,175,6,61371.87
N-40541,308,20,147597.44
N-40542,377,43,68096.40
N-40543,350,15,113954.23
N-40544,263,5,183019.33
N-40545,379,27,112721.82
N-40546,67,46,129068.24
N-40547,392,43,91103.97
N-40548,277,1,31059.57
N-40549,175,19,121180.38
N-40550,173,17,45660.85
N-40551,169,20,97477.29
N-40552,21,4,195390.15
N-40553,79,40,59246.84
N-40554,181,37,141306.15
N-40555,248,47,7507.22
N-40556,41,42,207802.19
N-40557,82,11,147874.12
N-40558,387,23,108153.78
N-40559,76,5,114636.52
N-40560,258,28,146022.76
N-40561,58,36,192730.32
N-40562,34,48,98856.65
N-40563,400,21,38235.83
N-40564,413,17,31130.05
N-40565,411,5,147652.77
N-40566,159,18,117968.28
N-40567,270,2,142167.00
N-40568,202,35,105849.44
N-40569,275,43,83075.05
N-40570,368,45,195870.02
N-40571,410,15,115210.34
N-40572,123,22,116482.75
N-40573,47,28,28351.39
N-40574,154,41,101702.27
N-40575,184,21,154863.60
N-40576,215,5,111498.67
N-40577,3,42,16720.85
N-40578,148,43,121907.25
N-40579,226,42,84490.84
N-40580,151,2,700.19
N-40581,150,7,197885.23
N-40582,171,32,163179.41
N-40583,279,28,13321.37
N-40584,277,21,161878.09
N-40585,283,6,47325.24
N-40586,39,34,191930.83
N-40587,201,37,43523.12
N-40588,172,12,190728.50
N-40589,224,34,198256.28
N-40590,231,9,88716.33
N-40591,154,29,100074.05
N-40592,239,46,129001.08
N-40593,369,29,52876.32
N-40594,242,3,77863.04
N-40595,196,5,95396.19
N-40596,419,48,32971.44
N-40597,168,25,204178.46
N-40598,256,27,195932.87
N-40599,304,12,4690.22
N-40600,150,10,36972.56
N-40601,371,17,34841.47
N-40602,197,25,65273.21
N-40603,231,10,95483.44
N-40604,151,7,156936.36
N-40605,75,30,157669.24
N-40606,41,12,52525.23
N-40607,376,25,29994.30
N-40608,221,33,50687.26
N-40609,328,43,101525.74
N-40610,289,11,146326.83
N-40611,290,29,41441.75
N-40612,250,1,90817.21
N-40613,45,33,29268.09
N-40614,77,47,95691.36
N-40615,103,19,78513.61
N-40616,263,47,55724.69
N-40617,209,27,113347.33
N-40618,384,35,78427.84
N-40619,415,34,11794.13
N-40620,349,37,4990.94
N-40621,416,27,178609.66
N-40622,141,18,189750.22
N-40623,35,26,201466.03
N-40624,297,47,15345.04
N-40625,323,29,93974.58
N-40626,270,17,5300.65
N-40627,4,26,194466.47
N-40628,244,28,36601.12
N-40629,377,18,119194.67
N-40630,97,17,39950.44
N-40631,243,40,107437.12
N-40632,201,40,46486.88
N-40633,8,3,83613.30
N-40634,283,43,174342.29
N-40635,400,26,69791.78
N-40636,201,28,42143.45
N-40637,300,17,108185.30
N-40638,257,21,184434.65
N-40639,64,19,200467.99
N-40640,83,24,39917.05
N-40641,408,24,126501.96
N-40642,97,29,37318.64
N-40643,194,2,71142.71
N-40644,99,28,46971.95
N-40645,318,2,101900.21
N-40646,281,20,116829.86
N-40647,111,37,201534.17
N-40648,84,37,135770.46
N-40649,114,43,120047.54
N-40650,197,30,157741.69
N-40651,266,44,136969.14
N-40652,276,25,205398.89
N-40653,375,24,16176.55
N-40654,83,47,16463.03
N-40655,18,22,132484.69
N-40656,38,2,202672.02
N-40657,77,23,62289.01
N-40658,350,34,33753.89
N-40659,398,15,34294.37
N-40660,104,41,118890.59
N-40661,356,40,58847.17
N-40662,332,37,87694.45
N-40663,326,18,163142.12
N-40664,165,10,45070.54
N-40665,264,20,163952.00
N-40666,316,24,120991.19
N-40667,409,36,185743.84
N-40668,162,6,13629.98
N-40669,247,1,138893.81
N-40670,32,12,185265.85
N-40671,264,20,12775.22
N-40672,113,6,82599.24
N-40673,304,9,24567.55
N-40674,100,11,176604.27
N-40675,206,1,181436.48
N-40676,221,6,107479.12
N-40677,298,6,57574.21
N-40678,319,28,178495.37
N-40679,199,45,106454.68
N-40680,370,35,134853.53
N-40681,116,37,193776.49
N-40682,404,31,101360.70
N-40683,350,22,100763.93
N-40684,99,32,39942.14
N-40685,171,28,73036.73
N-40686,163,11,177209.30
N-40687,205,5,120742.05
N-40688,9,36,91252.02
N-40689,196,28,136045.95
N-40690,380,7,180029.34
N-40691,124,21,40010.14
N-40692,301,12,119786.38
N-40693,134,26,122381.27
N-40694,17,18,63676.63
N-40695,342,44,125478.60
N-40696,85,41,205724.88
N-40697,346,36,208221.75
N-40698,386,40,73443.21
N-40699,165,3,81076.92
N-40700,163,27,59448.90
N-40701,203,1,167314.77
N-40702,380,32,131628.52
N-40703,66,46,50211.62
N-40704,76,1,150459.82
N-40705,73,24,80843.30
N-40706,319,21,25964.83
N-40707,306,33,55188.20
N-40708,369,12,151214.73
N-40709,203,2,59931.72
N-40710,399,20,17176.13
N-40711,400,26,58674.04
N-40712,360,26,84317.12
N-40713,206,1,106432.40
N-40714,102,6,146497.83
N-40715,386,46,38045.43
N-40716,153,18,48275.06
N-40717,348,44,19809.52
N-40718,69,16,158403.62
N-40719,214,10,52732.92
N-40720,86,18,68175.23
N-40721,44,4,163886.33
N-40722,7,4,176193.63
N-40723,101,17,160962.33
N-40724,25,32,73390.66
N-40725,248,11,60504.52
N-40726,348,35,179707.28
N-40727,135,12,83640.08
N-40728,33,13,50171.32
N-40729,323,11,3156.70
N-40730,136,30,166442.45
N-40731,178,8,94463.66
N-40732,331,7,9852.22
N-40733,198,11,147574.76
N-40734,118,19,40456.59
N-40735,6,30,83867.49
N-40736,358,43,161763.58
N-40737,353,28,154333.64
N-40738,94,3,178875.13
N-40739,61,46,183826.15
N-40740,401,6,163784.53
N-40741,156,3,204734.74
N-40742,199,22,184411.78
N-40743,50,5,207797.03
N-40744,134,7,17843.95
N-40745,50,9,125205.29
N-40746,330,26,140345.35
N-40747,146,22,151913.26
N-40748,337,39,143843.32
N-40749,33,40,116257.27
N-40750,252,11,96698.59
N-40751,241,48,70651.71
N-40752,92,26,7929.92
N-40753,383,2,75934.45
N-40754,333,30,197841.97
N-40755,116,40,202414.94
N-40756,331,39,163485.68
N-40757,197,35,92643.74
N-40758,23,16,34730.66
N-40759,301,23,133632.69
N-40760,389,21,82978.37
N-40761,395,39,24717.52
N-40762,272,37,172678.61
N-40763,201,33,9019.21
N-40764,406,46,1647.66
N-40765,90,10,29921.15
N-40766,123,6,24670.66
N-40767,8,39,71738.90
N-40768,276,34,119314.28
N-40769,353,46,28449.31
N-40770,183,23,109554.99
N-40771,248,44,42101.72
N-40772,221,47,105110.81
N-40773,32,41,50850.83
N-40774,120,36,95137.87
N-40775,154,25,24627.33
N-40776,71,23,49800.31
N-40777,61,10,48858.05
N-40778,53,12,32004.79
N-40779,310,7,76127.09
N-40780,67,44,23941.62
N-40781,60,28,130858.02
N-40782,240,41,169809.91
N-40783,40,41,147071.96
N-40784,172,20,4861.88
N-40785,92,32,92916.58
N-40786,59,8,128740.33
N-40787,339,22,42520.06
N-40788,173,36,18796.25
N-40789,250,24,151338.74
N-40790,368,33,137434.60
N-40791,271,2,108711.46
N-40792,402,36,198433.62
N-40793,248,28,128485.23
N-40794,137,28,4310.97
N-40795,348,42,85584.01
N-40796,195,13,200284.06
N-40797,364,22,36260.97
N-40798,172,44,46038.99
N-40799,372,48,50345.74
N-40800,172,26,174851.27
N-40801,275,4,194744.43
N-40802,299,39,95820.89
N-40803,233,10,40041.14
N-40804,211,41,205593.07
N-40805,50,48,41406.84
N-40806,333,40,38448.92
N-40807,318,37,143219.59
N-40808,246,10,40304.19
N-40809,252,11,107808.38
N-40810,213,33,142251.69
N-40811,259,15,93014.68
N-40812,287,43,164892.68
N-40813,173,37,186948.78
N-40814,282,18,58829.07
N-40815,272,28,168804.51
N-40816,109,42,20265.83
N-40817,122,24,137507.59
N-40818,21,18,118538.42
N-40819,57,26,188479.69
N-40820,172,46,8363.94
N-40821,267,44,126187.84
N-40822,262,8,110945.46
N-40823,325,9,29722.31
N-40824,127,37,143875.46
N-40825,300,31,195153.60
N-40826,191,23,160204.29
N-40827,64,1,60641.64
N-40828,323,1,108685.44
N-40829,310,21,148927.44
N-40830,368,44,130227.73
N-40831,144,10,9920.68
N-40832,6,3,44202.43
N-40833,89,40,55968.77
N-40834,72,31,13138.98
N-40835,303,31,144946.19
N-40836,119,26,144132.43
N-40837,194,28,45690.62
N-40838,182,25,39726.55
N-40839,69,40,76507.71
N-40840,144,25,23237.11
N-40841,142,19,2263.19
N-40842,7,29,86579.77
N-40843,50,31,87167.98
N-40844,137,12,203606.40
N-40845,100,17,124623.55
N-40846,22,31,30986.13
N-40847,158,2,140502.28
N-40848,312,19,51147.54
N-40849,56,39,50343.15
N-40850,75,3,39907.32
N-40851,49,15,132697.24
N-40852,355,8,5449.82
N-40853,235,41,130944.39
N-40854,78,1,57571.23
N-40855,280,6,179453.48
N-40856,51,34,133066.38
N-40857,29,32,125870.09
N-40858,146,7,29746.68
N-40859,246,1,122513.03
N-40860,21,23,127741.81
N-40861,54,25,186640.62
N-40862,335,3,91784.52
N-40863,371,3,79251.54
N-40864,215,41,117767.66
N-40865,184,46,165076.05
N-40866,388,15,78003.25
N-40867,208,13,80572.80
N-40868,357,16,152380.82
N-40869,90,37,150876.22
N-40870,70,19,122153.31
N-40871,19,26,172940.25
N-40872,52,38,172099.87
N-40873,366,2,144466.89
N-40874,214,47,44216.24
N-40875,49,19,151399.70
N-40876,273,36,200752.84
N-40877,159,3,107165.19
N-40878,48,2,130799.63
N-40879,404,44,198219.14
N-40880,120,23,3033.80
N-40881,274,26,196032.76
N-40882,398,40,177925.73
N-40883,394,44,8363.52
N-40884,406,45,28354.54
N-40885,242,14,53847.29
N-40886,231,8,160532.13
N-40887,272,19,26062.69
N-40888,257,13,130390.77
N-40889,175,15,59477.75
N-40890,400,43,172556.97
N-40891,314,42,35300.51
N-40892,336,43,56885.17
N-40893,344,44,55363.21
N-40894,142,28,149356.88
N-40895,129,36,85611.41
N-40896,419,47,25137.88
N-40897,70,25,102005.75
N-40898,183,7,136735.49
N-40899,277,15,21896.90
